round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5865142857142857,0.04870521924061366,0.0
2,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5145142857142857,0.11456089126047231,0.0
3,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5548190476190477,0.1387526733677481,0.0
4,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.48624761904761904,0.09746083964304364,0.0
5,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5351238095238096,0.123773905164415,0.0
6,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5153142857142857,0.21965300564189894,0.0
7,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5282285714285715,0.06393942024127053,0.0
8,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5034666666666667,0.10284595773914762,0.0
9,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5057904761904762,0.13931289286361914,0.0
10,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.4657904761904762,0.1234348979452341,0.0
