round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.22213515639305115, 0.1976897120475769, 0.19648829102516174, 0.19218410551548004, 0.19150270521640778]",,,,,,,,,,,,,0.5712761904761905,0.16466646559967413,0.0
2,"[0.2503544092178345, 0.18989382684230804, 0.18683570623397827, 0.18052203953266144, 0.1923939734697342]",,,,,,,,,,,,,0.3420952380952382,0.1438955367795765,0.0
3,"[0.2349892407655716, 0.1949726790189743, 0.2021578550338745, 0.19616885483264923, 0.1717112809419632]",,,,,,,,,,,,,0.6346666666666667,0.22083504278599858,0.0
4,"[0.24947421252727509, 0.19396480917930603, 0.18702858686447144, 0.1892348676919937, 0.18029750883579254]",,,,,,,,,,,,,0.43580952380952376,0.03688917231485905,0.0
5,"[0.24678507447242737, 0.1839982569217682, 0.1861003041267395, 0.1943006068468094, 0.18881572782993317]",,,,,,,,,,,,,0.5632380952380953,0.07274283137734472,0.0
6,"[0.25188183784484863, 0.19537900388240814, 0.18685659766197205, 0.20105651021003723, 0.16482600569725037]",,,,,,,,,,,,,0.5533714285714286,0.0929490003984943,0.0
7,"[0.25509315729141235, 0.1923542022705078, 0.20336322486400604, 0.1866217404603958, 0.1625676155090332]",,,,,,,,,,,,,0.62,0.13133017888944376,0.0
8,"[0.27909526228904724, 0.1949053555727005, 0.20004060864448547, 0.17417821288108826, 0.1517806202173233]",,,,,,,,,,,,,0.6038857142857144,0.11565661590910675,0.0
9,"[0.2619020938873291, 0.19132503867149353, 0.19020698964595795, 0.1809244304895401, 0.17564140260219574]",,,,,,,,,,,,,0.5900952380952381,0.06663996325533661,0.0
10,"[0.28520768880844116, 0.20700141787528992, 0.1903085857629776, 0.1974712312221527, 0.12001107633113861]",,,,,,,,,,,,,0.5860571428571428,0.04585375112300072,0.0
