round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.4846131205558777, 0.06157790869474411, 0.0, 0.45380899310112, 0.0]","[0.12665259838104248, 0.01609325408935547, -0.002641419880092144, 0.11860200762748718, 0.1285158395767212]","[0.49930012226104736, 0.06344413012266159, -0.010413219220936298, 0.4675624370574951, 0.5066455602645874]","[0.12633681297302246, 0.015962090343236923, -0.002574613317847252, 0.11878779530525208, 0.12829998135566711]","[0.000315790151944384, 0.00013116037007421255, -6.682200182694942e-05, -0.0001857578317867592, 0.00021587991795968264]",,,0.0,0,"[0, 1, 2, 3]",6.291663646697998,6.401419639587402,"[0.49930012, 0.06344413, -0.01041322, 0.46756244, 0.50664556]",0.5868952380952381,0.005080418106997109,0.0
2,"[0.4715716242790222, 0.08597857505083084, 0.0349021814763546, 0.40754762291908264, 0.0]","[0.17870956659317017, 0.13165481388568878, 0.18331743776798248, 0.02499268762767315, 0.23417183756828308]","[0.4941611588001251, 0.09009717404842377, 0.03657408803701401, 0.4270702302455902, 0.5146729350090027]","[0.17533938586711884, 0.12962836027145386, 0.17950090765953064, 0.021716147661209106, 0.23529541492462158]","[0.003370183054357767, 0.002026434289291501, 0.003816519398242235, 0.003276532981544733, -0.0011235710699111223]",,,0.0,0,"[0, 1, 3, 2]",6.182559490203857,6.28359842300415,"[0.44791082, 0.32997459, 0.45945981, 0.06264072, 0.58691937]",0.6761904761904761,0.06756865719891975,0.0
3,"[0.4790323078632355, 0.08004070073366165, 0.03737938404083252, 0.40354764461517334, 0.0]","[0.010424794629216194, -0.015520633198320866, 0.005366763565689325, -0.015930339694023132, 0.05900902301073074]","[0.44883689284324646, 0.07499540597200394, 0.03502320498228073, 0.3781103491783142, 0.48636746406555176]","[0.010288875550031662, -0.01565741002559662, 0.005400491878390312, -0.01586233824491501, 0.05886998027563095]","[0.00013591116294264793, 0.0001367832737741992, -3.372365245013498e-05, -6.801349081797525e-05, 0.00013903235958423465]",,,0.0,0,"[0, 1, 3, 2]",6.084294319152832,6.108696937561035,"[0.04091869, -0.06092052, 0.02106525, -0.06252868, 0.23161817]",0.6322285714285715,0.04508596182882474,0.0
4,"[0.40568453073501587, 0.08149699866771698, 0.04856426268815994, 0.0, 0.4642541706562042]","[0.08022342622280121, 0.07061079889535904, 0.07680194824934006, -0.054196253418922424, 0.18976135551929474]","[0.4240526258945465, 0.0851869285106659, 0.050763100385665894, 0.32672080397605896, 0.48527413606643677]","[0.08007246255874634, 0.07049977034330368, 0.0768762081861496, -0.053989142179489136, 0.18959656357765198]","[0.00015096597780939192, 0.00011104281293228269, -7.426860247505829e-05, -0.0002071344351861626, 0.00016477359167765826]",,,0.0,0,"[1, 2, 0, 4]",6.024538516998291,6.167739391326904,"[0.20099445, 0.17691065, 0.19242217, -0.1357851, 0.47543442]",0.7014857142857143,0.002720159203587147,0.0
5,"[0.4678405523300171, 0.07272044569253922, 0.07949788123369217, 0.37994107604026794, 0.0]","[0.00027790525928139687, -0.03992508351802826, 0.04420730471611023, 0.03684791922569275, -0.01728341542184353]","[0.38176795840263367, 0.059341445565223694, 0.06487198173999786, 0.31004008650779724, 0.4292460083961487]","[-0.000727588078007102, -0.0389915406703949, 0.04205036535859108, 0.0361049622297287, -0.015368586406111717]","[0.0010054971789941192, -0.0009335472132079303, 0.0021569400560110807, 0.0007429420365951955, -0.0019148321589455009]",,,0.0,0,"[0, 3, 1, 2]",6.036535263061523,6.118167400360107,"[0.00120606, -0.17326784, 0.19185193, 0.1599135, -0.07500698]",0.6761142857142858,0.04793990573739726,0.0
6,"[0.4369315505027771, 0.07853618264198303, 0.12135089188814163, 0.36318135261535645, 0.0]","[-0.0366964191198349, 0.023471679538488388, 0.12317148596048355, -0.006884761620312929, 0.022451940923929214]","[0.3333985507488251, 0.05992666259407997, 0.09259621798992157, 0.2771238088607788, 0.3925575315952301]","[-0.036303818225860596, 0.023708932101726532, 0.12292156368494034, -0.007333589717745781, 0.02275162935256958]","[-0.00039260112680494785, -0.00023725272330921143, 0.00024990944075398147, 0.0004488294944167137, -0.00029968065791763365]",,,0.0,0,"[1, 0, 2, 3]",5.993170261383057,6.164842128753662,"[-0.10192594, 0.06519364, 0.3421143, -0.01912273, 0.06236127]",0.6812190476190476,0.049721169344898675,0.0
7,"[0.4193604290485382, 0.09206725656986237, 0.13847093284130096, 0.35010141134262085, 0.0]","[-0.05070168524980545, 0.038943640887737274, 0.04926777631044388, -0.03775149956345558, 0.043668244034051895]","[0.2879676818847656, 0.0632210224866867, 0.09508564323186874, 0.24040868878364563, 0.3637154698371887]","[-0.05053102225065231, 0.03908940404653549, 0.04910266399383545, -0.03818614035844803, 0.044018104672431946]","[-0.00017066944565158337, -0.00014577216643374413, 0.00016511908324901015, 0.00043463913607411087, -0.0003498624137137085]",,,0.0,0,"[1, 0, 2, 3]",6.026033401489258,6.23541784286499,"[-0.12091003, 0.09287022, 0.11749054, -0.09002728, 0.10413714]",0.6501333333333333,0.07273637283688938,0.0
8,"[0.4152311086654663, 0.1012297049164772, 0.14938253164291382, 0.3341566324234009, 0.0]","[0.001978564076125622, 0.03637555614113808, 0.044469043612480164, -0.04295762628316879, 0.08555746078491211]","[0.2595173418521881, 0.06326805055141449, 0.09336332976818085, 0.20884619653224945, 0.34232449531555176]","[0.0019330866634845734, 0.03632253408432007, 0.04447430372238159, -0.042973559349775314, 0.08552305400371552]","[4.547607386484742e-05, 5.300787233863957e-05, -5.282759957481176e-06, 1.5930096196825616e-05, 3.441565786488354e-05]",,,0.0,0,"[0, 1, 3, 2]",6.003958225250244,6.32900333404541,"[0.00346434, 0.06369131, 0.07786249, -0.0752161, 0.14980572]",0.6565333333333332,0.029634378210141032,0.0
9,"[0.41831377148628235, 0.13641700148582458, 0.14716288447380066, 0.2981063425540924, 0.0]","[0.0941217765212059, 0.17346873879432678, 0.019311057403683662, -0.09267933666706085, 0.2077511101961136]","[0.24624082446098328, 0.08030200749635696, 0.08662758022546768, 0.17548060417175293, 0.3360695540904999]","[0.09380276501178741, 0.1735440045595169, 0.018540864810347557, -0.09310106188058853, 0.20744362473487854]","[0.00031900344765745103, -7.524315878981724e-05, 0.000770188111346215, 0.000421725504565984, 0.00030749067082069814]",,,0.0,0,"[1, 0, 2, 3]",6.062431812286377,6.43615198135376,"[0.12675232, 0.23360762, 0.0260059, -0.1248098, 0.27977514]",0.6650666666666667,0.07027569176605863,0.0
10,"[0.3985777199268341, 0.1670675128698349, 0.1630333960056305, 0.2713213562965393, 0.0]","[-0.027003929018974304, 0.133391335606575, 0.07797214388847351, -0.06801635026931763, 0.13646914064884186]","[0.21776872873306274, 0.0912797600030899, 0.08907566964626312, 0.1482403576374054, 0.321909099817276]","[-0.02710624411702156, 0.13324272632598877, 0.07828851044178009, -0.0678500160574913, 0.13619771599769592]","[0.00010232826753053814, 0.00014858946087770164, -0.00031636544736102223, -0.00016633063205517828, 0.0002714553556870669]",,,0.0,0,"[0, 3, 2, 1]",6.073132038116455,6.429967403411865,"[-0.03847997, 0.19007954, 0.11110848, -0.09692171, 0.19446534]",0.637104761904762,0.0950066724400046,0.0
