aggregator,attack,seed,val_source,grad_clip,alpha,auc,dpd,eod,attacker_weight_frac,atk_w_mass,atk_w_max,atk_w_zeroed_frac,fair_share,benign_zeroed_frac,benign_w_min_med,g_norm_median_med,g_norm_max_med,fallback_frac,warmup_frac,nan_round_frac,degenerate_frac
bfwa,none,0,pooled,10.0,0.1,0.503,0.022,0.0008,0.0,0.0,0.0,1.0,0.0,0.0,0.0345,nan,nan,0.0,0.0,0.0,0.0
bfwa,fairness_poison,0,pooled,10.0,0.1,0.6341,0.7424,0.8396,1.0,0.8621,0.8621,0.0,0.2,0.0,0.0345,nan,nan,0.0,0.0,0.0,0.0
bfwa,sign_flip,0,pooled,10.0,0.1,0.4658,0.1234,0.0985,1.0,0.0345,0.0345,0.0,0.2,0.0,0.0345,nan,nan,0.0,0.0,0.0,0.0
bfwa,scaling,0,pooled,10.0,0.1,0.5427,0.0133,0.0194,1.0,0.0345,0.0345,0.0,0.2,0.0,0.0345,nan,nan,0.0,0.0,0.0,0.0
fu_shapley,none,0,pooled,10.0,0.1,0.683,0.0297,0.0283,0.0,0.0,0.0,1.0,0.0,0.1,0.0618,6.0409,6.164,0.0,0.0,0.0,0.0
fu_shapley,fairness_poison,0,pooled,10.0,0.1,0.6789,0.1086,0.1488,1.0,0.1629,0.269,0.0,0.2,0.1,0.0903,6.0601,6.1537,0.0,0.0,0.0,0.0
fu_shapley,sign_flip,0,pooled,10.0,0.1,0.6728,0.0251,0.0294,0.0,0.0,0.0,1.0,0.2,0.1,0.1513,6.083,60.7056,0.0,0.0,0.0,0.0
fu_shapley,scaling,0,pooled,10.0,0.1,0.668,0.0224,0.0163,1.0,0.3891,0.4339,0.0,0.2,0.2,0.0415,16.9065,165.6212,0.0,0.0,0.1,0.0
robust_fu_shapley,none,0,pooled,10.0,0.1,0.6371,0.095,0.1651,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0624,6.2836,0.0,0.0,0.0,0.0
robust_fu_shapley,fairness_poison,0,pooled,10.0,0.1,0.6014,0.1056,0.1606,0.6,0.159,0.4113,0.4,0.2,0.7,0.0,6.0743,6.2142,0.0,0.0,0.0,0.0
robust_fu_shapley,sign_flip,0,pooled,10.0,0.1,0.6732,0.024,0.0294,0.0,0.0,0.0,1.0,0.2,0.1,0.1513,6.083,60.7056,0.0,0.0,0.0,0.0
robust_fu_shapley,scaling,0,pooled,10.0,0.1,0.672,0.025,0.0294,0.0,0.0,0.0,1.0,0.2,0.1,0.1514,6.0829,60.7017,0.0,0.0,0.0,0.0
cgsv,none,0,pooled,10.0,0.1,0.6678,0.0391,0.0231,0.0,0.0,0.0,1.0,0.0,0.0,0.1977,nan,nan,0.0,0.0,0.0,0.0
cgsv,fairness_poison,0,pooled,10.0,0.1,0.6371,0.1525,0.1732,1.0,0.1964,0.1984,0.0,0.2,0.0,0.1992,nan,nan,0.0,0.0,0.0,0.0
cgsv,sign_flip,0,pooled,10.0,0.1,nan,nan,nan,1.0,1.0,1.0,0.0,0.2,1.0,0.0,nan,nan,0.0,0.0,0.0,0.0
cgsv,scaling,0,pooled,10.0,0.1,0.5861,0.0459,0.0438,1.0,0.2537,0.2852,0.0,0.2,0.0,0.1756,nan,nan,0.0,0.0,0.0,0.0
