round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.26896458864212036, 0.04469696432352066, 0.0, 0.32940199971199036, 0.35693639516830444]","[0.09684138000011444, 0.01609325408935547, -0.002641419880092144, 0.11860200762748718, 0.1285158395767212]","[0.3817759156227112, 0.06344413012266159, -0.010413219220936298, 0.4675624370574951, 0.5066455602645874]","[0.09744906425476074, 0.015962090343236923, -0.002574613317847252, 0.11878779530525208, 0.12829998135566711]","[-0.0006076737190596759, 0.00013116037007421255, -6.682200182694942e-05, -0.0001857578317867592, 0.00021587991795968264]",,,0.0,0,,6.327304363250732,6.56363582611084,"[0.38177592, 0.06344413, -0.01041322, 0.46756244, 0.50664556]",0.6525714285714286,0.1538905428503693,0.0
2,"[0.23290157318115234, 0.07456831634044647, 0.010967355221509933, 0.30846554040908813, 0.3730972111225128]","[-0.11466765403747559, 0.18175998330116272, 0.10010720789432526, -0.010361360386013985, 0.20629048347473145]","[0.31582775712013245, 0.10111887753009796, 0.014872357249259949, 0.41829681396484375, 0.5059410333633423]","[-0.09899921715259552, 0.176214799284935, 0.09963476657867432, -0.011354364454746246, 0.20141342282295227]","[-0.01566842570900917, 0.005545160733163357, 0.0004724389873445034, 0.0009929913794621825, 0.004877046681940556]",,,0.0,0,,4.786832332611084,4.996064186096191,"[-0.27770546, 0.4401916, 0.24244255, -0.02509344, 0.49960029]",0.6740571428571428,0.2671558955949762,0.0
3,"[0.1971782147884369, 0.10208437591791153, 0.02862313948571682, 0.2967263162136078, 0.375387966632843]","[-0.16848504543304443, 0.21298199892044067, 0.12457780539989471, 0.020620988681912422, 0.13793538510799408]","[0.25273004174232483, 0.13084502518177032, 0.036687254905700684, 0.38032424449920654, 0.48114755749702454]","[-0.14595410227775574, 0.2016497254371643, 0.11685371398925781, 0.012952753342688084, 0.12428046762943268]","[-0.022530928254127502, 0.01133227813988924, 0.007724087685346603, 0.007668220903724432, 0.013654899783432484]",,,0.0,0,,6.089147090911865,6.2359232902526855,"[-0.31514934, 0.3983804, 0.23302136, 0.03857132, 0.25800654]",0.6979809523809524,0.17449630186246062,0.0
4,"[0.17675253748893738, 0.11191632598638535, 0.052790116518735886, 0.28516122698783875, 0.37337982654571533]","[-0.045290447771549225, 0.10443483293056488, 0.16345277428627014, 0.051993366330862045, 0.14487965404987335]","[0.21852192282676697, 0.13836389780044556, 0.0652652457356453, 0.352549284696579, 0.46161529421806335]","[-0.03489159047603607, 0.09980155527591705, 0.16301898658275604, 0.05097004398703575, 0.1418447196483612]","[-0.010398869402706623, 0.004633299540728331, 0.00043380475835874677, 0.0010232990607619286, 0.0030349483713507652]",,,0.0,0,,6.116693496704102,6.15461540222168,"[-0.08935107, 0.20603384, 0.32246715, 0.1025749, 0.28582522]",0.7069714285714286,0.1558186109213866,0.0
5,"[0.16109846532344818, 0.1348332315683365, 0.06088574230670929, 0.26606273651123047, 0.37711986899375916]","[-0.07837341725826263, 0.13248935341835022, 0.04743800684809685, -0.09228867292404175, 0.03863104432821274]","[0.18081283569335938, 0.15133340656757355, 0.0683366134762764, 0.2986220717430115, 0.42326977849006653]","[-0.06806198507547379, 0.1290084570646286, 0.04610303044319153, -0.09337951987981796, 0.03298396244645119]","[-0.010311409831047058, 0.0034808949567377567, 0.0013349716318771243, 0.0010908333351835608, 0.005647072568535805]",,,0.0,0,,6.037515163421631,6.194901943206787,"[-0.15856896, 0.26805899, 0.09597892, -0.18672299, 0.07816023]",0.6902095238095238,0.15330549605417343,0.0
6,"[0.15222309529781342, 0.15679119527339935, 0.09033948183059692, 0.24840128421783447, 0.35224491357803345]","[-0.035570818930864334, 0.19982007145881653, 0.24288195371627808, -0.08221153914928436, -0.11528873443603516]","[0.1580057442188263, 0.1627473682165146, 0.09377129375934601, 0.25783753395080566, 0.3656259775161743]","[-0.032857686281204224, 0.19964629411697388, 0.24358999729156494, -0.08215604722499847, -0.1159382089972496]","[-0.0027131265960633755, 0.00017380468489136547, -0.0007080325740389526, -5.5468128266511485e-05, 0.0006494998815469444]",,,0.0,0,,5.984296798706055,6.147150039672852,"[-0.047258, 0.26547313, 0.32268345, -0.10922303, -0.1531681]",0.6984380952380953,0.17592309552067686,0.0
7,"[0.14141438901424408, 0.1799750179052353, 0.10950586199760437, 0.23057426512241364, 0.3385304808616638]","[-0.0558907724916935, 0.2382875382900238, 0.18737167119979858, -0.09283414483070374, -0.031937070190906525]","[0.1359717845916748, 0.17304833233356476, 0.10529132187366486, 0.22170017659664154, 0.3255015015602112]","[-0.045148130506277084, 0.23511162400245667, 0.18745453655719757, -0.08962129056453705, -0.03458986431360245]","[-0.010742624290287495, 0.0031759135890752077, -8.284614887088537e-05, -0.003212867071852088, 0.0026527876034379005]",,,0.0,0,,6.071794509887695,6.098259449005127,"[-0.06233378, 0.26575699, 0.2089716, -0.10353594, -0.03561873]",0.6742095238095238,0.21135706647333108,0.0
8,"[0.11170932650566101, 0.20175857841968536, 0.11847104877233505, 0.22578831017017365, 0.34227266907691956]","[-0.22550633549690247, 0.19706839323043823, 0.08506458252668381, -0.013114174827933311, 0.06822693347930908]","[0.09801723062992096, 0.17702923715114594, 0.10395017266273499, 0.19811366498470306, 0.30032065510749817]","[-0.21050074696540833, 0.19112206995487213, 0.0850367471575737, -0.01715894043445587, 0.059398241341114044]","[-0.015005593188107014, 0.005946348886936903, 2.7801796022686176e-05, 0.004044757224619389, 0.008828694000840187]",,,0.0,0,,6.0601019859313965,6.1088643074035645,"[-0.24357374, 0.21285737, 0.0918799, -0.01416487, 0.07369322]",0.6778666666666667,0.07388780271155748,0.0
9,"[0.09920113533735275, 0.21380232274532318, 0.12669327855110168, 0.21121200919151306, 0.34909123182296753]","[-0.0823732390999794, 0.09211084991693497, 0.06208668276667595, -0.09203746914863586, 0.0615827813744545]","[0.07880669087171555, 0.16984738409519196, 0.10064680874347687, 0.16778960824012756, 0.2773226797580719]","[-0.08150289952754974, 0.09196023643016815, 0.06254183501005173, -0.09208802878856659, 0.06127333641052246]","[-0.000870345626026392, 0.00015062425518408418, -0.00045511318603530526, 5.054406574345194e-05, 0.00030940581928007305]",,,0.0,0,,5.985160827636719,6.153680324554443,"[-0.09408819, 0.10521067, 0.07091653, -0.10512685, 0.07034096]",0.6789333333333334,0.10674477494102408,0.0
10,"[0.08762501925230026, 0.22903645038604736, 0.14763323962688446, 0.19953294098377228, 0.3361723721027374]","[-0.07482889294624329, 0.10522766411304474, 0.14136117696762085, -0.07331504672765732, -0.0788336917757988]","[0.0628352239727974, 0.1642402708530426, 0.10586665570735931, 0.14308352768421173, 0.2410666048526764]","[-0.07380460202693939, 0.10512050986289978, 0.14177566766738892, -0.07340633869171143, -0.07912847399711609]","[-0.0010242696152999997, 0.00010713236406445503, -0.00041447096737101674, 9.129109093919396e-05, 0.00029480698867700994]",,,0.0,0,,5.994429111480713,6.144199371337891,"[-0.08090797, 0.11377633, 0.15284532, -0.07927114, -0.08523812]",0.6789333333333333,0.10858937584310235,0.0
