round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.0, 0.061142001301050186, 0.0, 0.45059654116630554, 0.48826146125793457]","[0.09684138000011444, 0.01609325408935547, -0.002641419880092144, 0.11860200762748718, 0.1285158395767212]","[0.3817759156227112, 0.06344413012266159, -0.010413219220936298, 0.4675624370574951, 0.5066455602645874]","[0.09744906425476074, 0.015962090343236923, -0.002574613317847252, 0.11878779530525208, 0.12829998135566711]","[-0.0006076737190596759, 0.00013116037007421255, -6.682200182694942e-05, -0.0001857578317867592, 0.00021587991795968264]",,,0.0,0,"[1, 3, 2, 4]",6.327304363250732,6.56363582611084,"[0.38177592, 0.06344413, -0.01041322, 0.46756244, 0.50664556]",0.6567619047619048,0.0218454022482526,0.0
2,"[0.4112817347049713, 0.08121325075626373, 0.046923551708459854, 0.4605814516544342, 0.0]","[0.14394116401672363, 0.06770947575569153, 0.19396048784255981, 0.029535628855228424, 0.08081956207752228]","[0.38297975063323975, 0.07562462985515594, 0.043694548308849335, 0.42888695001602173, 0.4780927300453186]","[0.13779574632644653, 0.06821116805076599, 0.1910429447889328, 0.027891118079423904, 0.08167457580566406]","[0.006145427469164133, -0.0005016747745685279, 0.0029175456147640944, 0.0016445175278931856, -0.0008550220518372953]",,,0.0,0,"[2, 1, 3, 0]",6.1871747970581055,6.405190944671631,"[0.39381453, 0.18524913, 0.53066444, 0.08080774, 0.22111756]",0.5556571428571428,0.37156272715442973,0.0
3,"[0.0, 0.11838013678789139, 0.07317566126585007, 0.37056317925453186, 0.4378810226917267]","[-0.2299349009990692, 0.8008937239646912, 0.5278186798095703, 0.4449249505996704, 0.8338139653205872]","[0.3253975510597229, 0.13523170351982117, 0.08359231054782867, 0.42331331968307495, 0.5002139806747437]","[-0.20230969786643982, 0.7766804695129395, 0.5040292739868164, 0.41388076543807983, 0.8089767694473267]","[-0.027625177055597305, 0.024213243275880814, 0.023789266124367714, 0.03104417957365513, 0.024837126955389977]",,,0.0,0,"[1, 2, 3, 4]",6.180753707885742,6.240786552429199,"[-0.19284233, 0.67169541, 0.44267219, 0.37315071, 0.69930506]",0.6427428571428572,0.034284464512897794,0.0
4,"[0.33870169520378113, 0.13307946920394897, 0.12002288550138474, 0.40819597244262695, 0.0]","[0.09739481657743454, 0.014807265251874924, 0.1353408545255661, 0.018346095457673073, 0.04515925049781799]","[0.32043036818504333, 0.1259004771709442, 0.11354822665452957, 0.3861757814884186, 0.46297720074653625]","[0.09422430396080017, 0.014787495136260986, 0.1336669921875, 0.01714538224041462, 0.04550158977508545]","[0.0031704825814813375, 1.9752997104660608e-05, 0.0016738752601668239, 0.00120071810670197, -0.0003423452435526997]",,,0.0,0,"[2, 0, 1, 3]",6.055492401123047,6.241467475891113,"[0.27572581, 0.04191953, 0.38315147, 0.051938, 0.12784635]",0.6146285714285713,0.2300127557554928,0.0
5,"[0.0, 0.14042681455612183, 0.12373749911785126, 0.32240116596221924, 0.41343453526496887]","[-0.2736528515815735, 0.38633525371551514, 0.31920087337493896, 0.09753455221652985, 0.3871185779571533]","[0.2580864429473877, 0.15608835220336914, 0.13753771781921387, 0.3583579659461975, 0.4595441222190857]","[-0.2569681704044342, 0.37775933742523193, 0.31398794054985046, 0.08915329724550247, 0.37710654735565186]","[-0.016684649512171745, 0.008575926534831524, 0.005212853197008371, 0.008381250314414501, 0.010012008249759674]",,,0.0,0,"[2, 1, 4, 3]",6.111940383911133,6.1641845703125,"[-0.30300891, 0.42777929, 0.35344309, 0.10799755, 0.42864662]",0.625752380952381,0.06519967279817351,0.0
6,"[0.28659650683403015, 0.17935621738433838, 0.16165046393871307, 0.3723968267440796, 0.0]","[-0.005102780647575855, 0.016316113993525505, 0.026002520695328712, -0.08935409784317017, -0.007569910958409309]","[0.23100055754184723, 0.1445634663105011, 0.1302924007177353, 0.30015674233436584, 0.4116949439048767]","[-0.004857072606682777, 0.01630261540412903, 0.026050664484500885, -0.08933773636817932, -0.007574863266199827]","[-0.0002457043738104403, 1.3505695278581697e-05, -4.8135283577721566e-05, -1.633809915801976e-05, 4.952370545652229e-06]",,,0.0,0,"[1, 2, 3, 0]",6.005072116851807,6.19011116027832,"[-0.01277231, 0.04083939, 0.06508456, -0.22365418, -0.01894756]",0.6067047619047617,0.20313914229268115,0.0
7,"[0.2557028830051422, 0.22255881130695343, 0.17482028901576996, 0.3469179570674896, 0.0]","[-0.21371474862098694, 0.3376210629940033, 0.110066257417202, -0.1671692430973053, 0.2566697597503662]","[0.1871485710144043, 0.1628904789686203, 0.12795071303844452, 0.25390875339508057, 0.39544835686683655]","[-0.20136524736881256, 0.332535982131958, 0.1101202666759491, -0.16939470171928406, 0.24967797100543976]","[-0.012349531054496765, 0.005085096228867769, -5.402921306085773e-05, 0.002225468633696437, 0.0069917975924909115]",,,0.0,0,"[2, 1, 0, 3]",6.067479133605957,6.214194297790527,"[-0.20751926, 0.32783359, 0.10687549, -0.16232309, 0.24922903]",0.5703619047619047,0.24304991644253482,0.0
8,"[0.0, 0.18825189769268036, 0.14261922240257263, 0.24037601053714752, 0.4287528693675995]","[-0.31840264797210693, 0.26438069343566895, 0.15193791687488556, -0.15091587603092194, 0.3419402241706848]","[0.1414983719587326, 0.16896677017211914, 0.1280088573694229, 0.21575111150741577, 0.3848300278186798]","[-0.3023771643638611, 0.25788840651512146, 0.14551110565662384, -0.15524913370609283, 0.3347434997558594]","[-0.01602553017437458, 0.006492369808256626, 0.006426780018955469, 0.0043332697823643684, 0.007196775171905756]",,,0.0,0,"[2, 1, 3, 4]",6.0742902755737305,6.196509838104248,"[-0.26935345, 0.22365347, 0.12853223, -0.12766764, 0.28926513]",0.6211809523809523,0.11203455863010692,0.0
9,"[0.18631166219711304, 0.310100793838501, 0.20593121647834778, 0.2976563274860382, 0.0]","[-0.207101508975029, 0.21652647852897644, 0.010523226112127304, -0.24391613900661469, -0.10661621391773224]","[0.10524783283472061, 0.17517656087875366, 0.11633095145225525, 0.16814665496349335, 0.33496952056884766]","[-0.20248505473136902, 0.2153162658214569, 0.012234490364789963, -0.24387292563915253, -0.10804948210716248]","[-0.0046164351515471935, 0.0012102274922654033, -0.0017112561035901308, -4.318295032135211e-05, 0.0014332708669826388]",,,0.0,0,"[2, 0, 3, 1]",6.068012714385986,6.161166667938232,"[-0.22100693, 0.23106472, 0.01122979, -0.26029339, -0.11377475]",0.6031238095238095,0.15541478241729945,0.0
10,"[0.11160872876644135, 0.0, 0.1759682446718216, 0.2229265570640564, 0.4894964098930359]","[-0.2737634778022766, 0.34989720582962036, 0.14224502444267273, -0.06008876487612724, 0.26418042182922363]","[0.07342422753572464, 0.18488092720508575, 0.11576452851295471, 0.1466570794582367, 0.3220258355140686]","[-0.26361116766929626, 0.3463968336582184, 0.13966083526611328, -0.05859200656414032, 0.25858306884765625]","[-0.010152333416044712, 0.0035003803204745054, 0.002584204776212573, -0.0014967949828132987, 0.00559736043214798]",,,0.0,0,"[2, 3, 0, 4]",6.032815933227539,6.186289310455322,"[-0.2129882, 0.27222028, 0.11066674, -0.0467491, 0.20553257]",0.6014476190476191,0.10561874563781881,0.0
