round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.0, 0.061142001301050186, 0.0, 0.45059648156166077, 0.48826146125793457]","[0.20176532864570618, 0.01609325408935547, -0.002641419880092144, 0.11860200762748718, 0.1285158395767212]","[0.7954155802726746, 0.06344413012266159, -0.010413219220936298, 0.4675624370574951, 0.5066455602645874]","[1.2633681297302246, 0.015962090343236923, -0.002574613317847252, 0.11878779530525208, 0.12829998135566711]","[0.003157901344820857, 0.00013116037007421255, -6.682200182694942e-05, -0.0001857578317867592, 0.00021587991795968264]",,,0.0,1,"[1, 2, 4, 3]",6.327304363250732,62.772216796875,"[0.79541558, 0.06344413, -0.01041322, 0.46756244, 0.50664556]",0.6567619047619048,0.021845409159032658,0.0
2,"[0.0, 0.07368472963571548, 0.04270317032933235, 0.4179224371910095, 0.46568959951400757]","[0.1502079963684082, 0.06775079667568207, 0.19447006285190582, 0.029909472912549973, 0.08055846393108368]","[0.7569700479507446, 0.07563593983650208, 0.04383397102355957, 0.4289892315864563, 0.4780213236808777]","[0.9286623001098633, 0.06825383007526398, 0.19155192375183105, 0.028264909982681274, 0.0814133957028389]","[-0.0035227835178375244, -0.0005030301981605589, 0.002918160753324628, 0.0016445781802758574, -0.0008549222839064896]",,,0.0,1,"[1, 2, 4, 3]",6.187173843383789,61.59056854248047,"[0.41096026, 0.1853622, 0.53205866, 0.08183056, 0.22040322]",0.6729904761904763,0.1194235763524214,0.0
3,"[0.0, 0.10095427185297012, 0.06089577451348305, 0.39071834087371826, 0.44743165373802185]","[0.31984519958496094, 0.18584221601486206, 0.12158846855163574, -0.00310863321647048, 0.06661109626293182]","[0.7355720400810242, 0.09962212294340134, 0.060092221945524216, 0.38556256890296936, 0.44152751564979553]","[1.9565064907073975, 0.18487584590911865, 0.12199856340885162, -0.0034510581754148006, 0.06557850539684296]","[0.009884226135909557, 0.0009663248783908784, -0.0004100796359125525, 0.0003424286551307887, 0.0010325894691050053]",,,0.0,1,"[1, 3, 2, 4]",6.0828938484191895,61.47945022583008,"[0.54298997, 0.31549782, 0.20641647, -0.00527742, 0.11308332]",0.6940952380952381,0.04698806828066726,0.0
4,"[0.0, 0.10613925755023956, 0.10340312123298645, 0.3738531470298767, 0.41660451889038086]","[0.3121611773967743, 0.06229967623949051, 0.2441256046295166, 0.04740549623966217, -0.00610381830483675]","[0.7186256051063538, 0.10095802694559097, 0.09835545718669891, 0.35560333728790283, 0.3962678015232086]","[1.8967885971069336, 0.06251012533903122, 0.241937518119812, 0.045893676578998566, -0.005512150004506111]","[-0.001918541151098907, -0.00021043955348432064, 0.0021880727726966143, 0.0015118293231353164, -0.0005916592199355364]",,,0.0,1,"[2, 1, 3, 4]",6.026721477508545,60.701663970947266,"[0.56610787, 0.11298119, 0.44272462, 0.08597042, -0.01106935]",0.6867809523809525,0.050935143430494656,0.0
5,"[0.0, 0.12902535498142242, 0.12325458228588104, 0.3407480716705322, 0.4069719910621643]","[0.3441566824913025, 0.16123732924461365, 0.1424410343170166, -0.11306531727313995, 0.03724057972431183]","[0.6979068517684937, 0.11482308804988861, 0.10968752950429916, 0.3032407760620117, 0.36217519640922546]","[2.0834109783172607, 0.16099685430526733, 0.14296069741249084, -0.11310925334692001, 0.03660506382584572]","[0.0025608346331864595, 0.0002404359693173319, -0.0005196646088734269, 4.392407208797522e-05, 0.0006355203222483397]",,,0.0,1,"[1, 3, 2, 4]",6.079565525054932,60.61111068725586,"[0.51143819, 0.23960869, 0.21167623, -0.16802208, 0.05534181]",0.6645333333333333,0.05629514697128346,0.0
6,"[0.0, 0.15135134756565094, 0.15836761891841888, 0.30319473147392273, 0.38708624243736267]","[0.43678057193756104, 0.1822061538696289, 0.2648320496082306, -0.15433579683303833, -0.019934631884098053]","[0.6835392713546753, 0.1264609396457672, 0.13232335448265076, 0.2533330023288727, 0.3234281539916992]","[2.6543161869049072, 0.18219876289367676, 0.26400867104530334, -0.1553105115890503, -0.019127249717712402]","[-0.003899641102179885, 7.429573543049628e-06, 0.000823425711132586, 0.0009747151634655893, -0.0008073679055087268]",,,0.0,1,"[1, 2, 4, 3]",6.024885177612305,60.68073272705078,"[0.55423152, 0.23120166, 0.33604577, -0.19583692, -0.02529508]",0.681904761904762,0.04000317528133024,0.0
7,"[0.0, 0.1776004582643509, 0.18805570900440216, 0.2693730890750885, 0.36497074365615845]","[0.6485239863395691, 0.2206355333328247, 0.2458784580230713, -0.14184460043907166, -0.038761723786592484]","[0.6905497312545776, 0.13945472240447998, 0.14766435325145721, 0.21151605248451233, 0.2865808606147766]","[3.9463205337524414, 0.22092150151729584, 0.24505656957626343, -0.14252479374408722, -0.03788323327898979]","[-0.001708206720650196, -0.0002859614905901253, 0.0008218958973884583, 0.0006802101852372289, -0.0008784910896793008]",,,0.0,1,"[1, 2, 4, 3]",6.0991902351379395,60.82445526123047,"[0.75364429, 0.25639871, 0.28573328, -0.16483642, -0.04504467]",0.6534095238095238,0.029040616014544662,0.0
8,"[0.0, 0.19476845860481262, 0.20410524308681488, 0.2453906089067459, 0.3557356894016266]","[0.4906597435474396, 0.1387748271226883, 0.1334775686264038, -0.10590415447950363, 0.0036226448137313128]","[0.6778300404548645, 0.14144273102283478, 0.14822319149971008, 0.17820501327514648, 0.25833868980407715]","[2.9738450050354004, 0.13853120803833008, 0.13247781991958618, -0.10579901188611984, 0.004822511691600084]","[-0.0038537264335900545, 0.00024359743110835552, 0.0009997310116887093, -0.0001051275321515277, -0.0011998633854091167]",,,0.0,1,"[1, 2, 3, 4]",6.078073978424072,60.53055953979492,"[0.56335276, 0.15933482, 0.15325275, -0.12159424, 0.00415935]",0.6584380952380953,0.007139357314464467,0.0
9,"[0.0, 0.20707795023918152, 0.20211593806743622, 0.2131357640028, 0.37767040729522705]","[0.5309528112411499, 0.0727229118347168, -0.009449322707951069, -0.18316873908042908, 0.12967249751091003]","[0.6704684495925903, 0.13557419180870056, 0.13232555985450745, 0.13954025506973267, 0.24726130068302155]","[3.2169666290283203, 0.07263068854808807, -0.011376753449440002, -0.1832461655139923, 0.12888798117637634]","[-0.006818761583417654, 9.225375106325373e-05, 0.0019274287624284625, 7.743318565189838e-05, 0.0007845355430617929]",,,0.0,1,"[1, 2, 3, 4]",6.007532596588135,60.46013641357422,"[0.60421401, 0.08275726, -0.01075315, -0.20844248, 0.1475648]",0.6864,0.07989784304583503,0.0
10,"[0.0, 0.23307828605175018, 0.21218480169773102, 0.19047488272190094, 0.36426207423210144]","[0.5015296936035156, 0.14603109657764435, 0.05468304082751274, -0.13330861926078796, -0.08273392170667648]","[0.6547808051109314, 0.136971116065979, 0.12469282746315002, 0.11193473637104034, 0.21406278014183044]","[3.0416746139526367, 0.14599457383155823, 0.054756760597229004, -0.1333526074886322, -0.0827917754650116]","[0.00062899588374421, 3.6540059227263555e-05, -7.371156243607402e-05, 4.399891258799471e-05, 5.7896249927580357e-05]",,,0.0,1,"[2, 1, 3, 4]",6.103199481964111,60.66048812866211,"[0.51359242, 0.1495434, 0.05599827, -0.13651493, -0.08472382]",0.6720000000000002,0.025044601965977686,0.0
