round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5771428571428572,0.046535377652252685,0.0
2,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.6326095238095238,0.07472859034020418,0.0
3,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5659428571428571,0.15821274505904837,0.0
4,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5938285714285715,0.04789659278172964,0.0
5,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.6063238095238096,0.10572696254534797,0.0
6,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5792761904761905,0.0009325913719491208,0.0
7,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5619047619047619,0.07238351556344191,0.0
8,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5812571428571429,0.047180607640026184,0.0
9,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5863619047619049,0.05027848656206524,0.0
10,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5427047619047619,0.013339563753479777,0.0
