round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.2030901461839676, 0.2017076164484024, 0.20013631880283356, 0.19805888831615448, 0.19700711965560913]",,,,,,,,,,,,,0.6237714285714286,0.00163620337399617,0.0
2,"[0.20260119438171387, 0.20047621428966522, 0.19883184134960175, 0.19918517768383026, 0.1989055871963501]",,,,,,,,,,,,,0.6819809523809526,0.0571635653579704,0.0
3,"[0.20242394506931305, 0.20047836005687714, 0.19895395636558533, 0.20048309862613678, 0.1976606249809265]",,,,,,,,,,,,,0.6806095238095239,0.002332635517090509,0.0
4,"[0.2008584886789322, 0.2024269849061966, 0.20016957819461823, 0.19887879490852356, 0.19766612350940704]",,,,,,,,,,,,,0.7014857142857144,0.009068538872974874,0.0
5,"[0.20104862749576569, 0.20046629011631012, 0.19931024312973022, 0.20137879252433777, 0.1977960765361786]",,,,,,,,,,,,,0.6675047619047619,0.029199462279579702,0.0
6,"[0.20048171281814575, 0.20045387744903564, 0.199557825922966, 0.1997157633304596, 0.19979076087474823]",,,,,,,,,,,,,0.6893714285714285,0.0002524421434265678,0.0
7,"[0.2020641565322876, 0.1990545094013214, 0.20058566331863403, 0.20122528076171875, 0.19707033038139343]",,,,,,,,,,,,,0.6851809523809524,0.0543611792199975,0.0
8,"[0.20200186967849731, 0.2006095051765442, 0.20020566880702972, 0.20106977224349976, 0.19611315429210663]",,,,,,,,,,,,,0.6833523809523809,0.008424566558867141,0.0
9,"[0.20104877650737762, 0.1994563192129135, 0.20061883330345154, 0.20264673233032227, 0.19622929394245148]",,,,,,,,,,,,,0.6876190476190475,0.04224257147329491,0.0
10,"[0.20170007646083832, 0.2000093162059784, 0.19824491441249847, 0.20116974413394928, 0.19887588918209076]",,,,,,,,,,,,,0.6678095238095237,0.03911002934618801,0.0
