round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.3248637914657593, 0.041279181838035583, 0.0, 0.3042140305042267, 0.32964301109313965]","[0.12665259838104248, 0.01609325408935547, -0.002641419880092144, 0.11860200762748718, 0.1285158395767212]","[0.49930012226104736, 0.06344413012266159, -0.010413219220936298, 0.4675624370574951, 0.5066455602645874]","[0.12633681297302246, 0.015962090343236923, -0.002574613317847252, 0.11878779530525208, 0.12829998135566711]","[0.000315790151944384, 0.00013116037007421255, -6.682200182694942e-05, -0.0001857578317867592, 0.00021587991795968264]",,,0.0,0,,6.291663646697998,6.401419639587402,"[0.49930012, 0.06344413, -0.01041322, 0.46756244, 0.50664556]",0.6253714285714285,0.004103382119712284,0.0
2,"[0.31991881132125854, 0.05417685583233833, 0.02907216176390648, 0.28062835335731506, 0.31620386242866516]","[0.1396443247795105, 0.08667101711034775, 0.17923614382743835, 0.03417539224028587, 0.09878429025411606]","[0.4914678931236267, 0.08322794735431671, 0.04466143995523453, 0.43110883235931396, 0.4857609272003174]","[0.1358344554901123, 0.08706943690776825, 0.1749812364578247, 0.03092925250530243, 0.09982500970363617]","[0.00380987161770463, -0.00039841607213020325, 0.004254907835274935, 0.0032461497467011213, -0.0010406847577542067]",,,0.0,0,,6.175400257110596,6.278288841247559,"[0.42097804, 0.26128232, 0.54033333, 0.10302667, 0.29779956]",0.7048380952380952,0.0754441405309405,0.0
3,"[0.3181343972682953, 0.05043585225939751, 0.0314347930252552, 0.2749704420566559, 0.3250245153903961]","[-0.01146312989294529, -0.014116218313574791, 0.00789719820022583, -0.0245450921356678, 0.026143405586481094]","[0.4378648102283478, 0.06941746920347214, 0.04326533153653145, 0.3784560263156891, 0.44734805822372437]","[-0.011638523079454899, -0.014268521219491959, 0.007918656803667545, -0.024571314454078674, 0.025994809344410896]","[0.0001754023105604574, 0.00015232198347803205, -2.1456749891513027e-05, 2.6230050934827887e-05, 0.00014860369265079498]",,,0.0,0,,6.029108047485352,6.158767223358154,"[-0.04456294, -0.05487683, 0.03070038, -0.0954191, 0.10163255]",0.6951619047619049,0.03239071815672845,0.0
4,"[0.3106403946876526, 0.05315335839986801, 0.05683235079050064, 0.2556236684322357, 0.32375022768974304]","[0.048962704837322235, 0.026474982500076294, 0.1300719678401947, -0.019341589882969856, 0.08060091733932495]","[0.40748336911201477, 0.06972406059503555, 0.07454998791217804, 0.3353150486946106, 0.424680233001709]","[0.04946395754814148, 0.026850717142224312, 0.12814754247665405, -0.020512018352746964, 0.08150273561477661]","[-0.0005012573674321175, -0.00037574867019429803, 0.0019244154682382941, 0.001170428702607751, -0.0009018303244374692]",,,0.0,0,,6.022995948791504,6.114780426025391,"[0.13405041, 0.07248338, 0.35611185, -0.05295353, 0.2206697]",0.7126095238095238,0.005010669726653982,0.0
5,"[0.3128150403499603, 0.053987469524145126, 0.06499721109867096, 0.24563509225845337, 0.3225652575492859]","[0.005397408735007048, 0.0025996300391852856, 0.029164541512727737, -0.03828691691160202, -0.006895747967064381]","[0.3684875965118408, 0.06359577178955078, 0.07656494528055191, 0.2893514633178711, 0.37997308373451233]","[0.004930085502564907, 0.003172018565237522, 0.027908852323889732, -0.03819378837943077, -0.005709332413971424]","[0.0004673195944633335, -0.0005723913200199604, 0.0012556910514831543, -9.313844202551991e-05, -0.0011864168336614966]",,,0.0,0,,6.040945529937744,6.080748558044434,"[0.01752581, 0.0084412, 0.09469957, -0.12432065, -0.02239104]",0.6840380952380952,0.02645657058265427,0.0
6,"[0.30252784490585327, 0.061804112046957016, 0.09077846258878708, 0.23332983255386353, 0.3115597665309906]","[0.008086049929261208, 0.045719023793935776, 0.1306883990764618, -0.01318420097231865, 0.006500640884041786]","[0.3335683047771454, 0.06814543902873993, 0.10009266436100006, 0.25727033615112305, 0.3435269296169281]","[0.008610690012574196, 0.0456622838973999, 0.12921486794948578, -0.015059215947985649, 0.00734818447381258]","[-0.000524641596712172, 5.673669511452317e-05, 0.0014735389268025756, 0.0018750058952718973, -0.000847544171847403]",,,0.0,0,,6.000669479370117,6.107248783111572,"[0.01929453, 0.10909247, 0.3118422, -0.03145949, 0.01551151]",0.7142857142857143,0.006976628767134341,0.0
7,"[0.29401859641075134, 0.0714622363448143, 0.1103229820728302, 0.2200554609298706, 0.30414074659347534]","[0.0017485672142356634, 0.05330970138311386, 0.10319976508617401, -0.029835505411028862, 0.008046641014516354]","[0.3005962073802948, 0.07306094467639923, 0.11279106140136719, 0.22497841715812683, 0.3109447956085205]","[0.0010802121832966805, 0.05328528210520744, 0.1014050543308258, -0.031109686940908432, 0.008409988135099411]","[0.0006683375686407089, 2.4423736249445938e-05, 0.0017947368323802948, 0.0012741739628836513, -0.00036336059565655887]",,,0.0,0,,6.004150390625,6.168647766113281,"[0.00384748, 0.11730051, 0.22707659, -0.06564884, 0.0177055]",0.7102476190476189,0.0688968659303616,0.0
8,"[0.299270361661911, 0.08262208104133606, 0.1222640722990036, 0.20204055309295654, 0.29380300641059875]","[0.04812469705939293, 0.06500188261270523, 0.0718323141336441, -0.08234259486198425, -0.0352739542722702]","[0.27885064482688904, 0.07698463648557663, 0.11392178386449814, 0.18825498223304749, 0.27375632524490356]","[0.04824242740869522, 0.06508137285709381, 0.07178694009780884, -0.08239683508872986, -0.03499407693743706]","[-0.00011773444566642866, -7.947852282086387e-05, 4.539627843769267e-05, 5.4219966841628775e-05, -0.0002798791683744639]",,,0.0,0,,6.050769805908203,6.15840482711792,"[0.08314073, 0.11229794, 0.12409826, -0.14225593, -0.06093965]",0.6999619047619048,0.002951328886465099,0.0
9,"[0.29993629455566406, 0.09416606277227402, 0.12225870043039322, 0.18744471669197083, 0.2961941063404083]","[0.06656800210475922, 0.07587902247905731, 0.02579144760966301, -0.031213833019137383, 0.0741456151008606]","[0.26247438788414, 0.08240476995706558, 0.10698864609003067, 0.1640329658985138, 0.2591996192932129]","[0.06462148576974869, 0.07567271590232849, 0.023319091647863388, -0.03269454091787338, 0.07360678911209106]","[0.0019465190125629306, 0.00020630192011594772, 0.002472369931638241, 0.0014807026600465178, 0.0005388483987189829]",,,0.0,0,,6.048682689666748,6.220432281494141,"[0.11508836, 0.13118604, 0.04459042, -0.0539651, 0.12818918]",0.7267047619047619,0.08284993068530011,0.0
10,"[0.3067185878753662, 0.10483703017234802, 0.13107699155807495, 0.17219069600105286, 0.28517669439315796]","[0.034567661583423615, 0.05267084389925003, 0.04372820258140564, -0.07382899522781372, -0.05259321630001068]","[0.24179303646087646, 0.08264534920454025, 0.10333088785409927, 0.135741725564003, 0.22481109201908112]","[0.03446539491415024, 0.052513353526592255, 0.04403919354081154, -0.07388567924499512, -0.05284266918897629]","[0.0001022806391119957, 0.000157464062795043, -0.00031100254273042083, 5.66998751310166e-05, 0.00024943333119153976]",,,0.0,0,,6.037717819213867,6.1640496253967285,"[0.05566084, 0.08481058, 0.07041115, -0.11887943, -0.08468559]",0.6830476190476189,0.02967957004273869,0.0
