round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.0, 0.061142005026340485, 0.0, 0.45059651136398315, 0.48826146125793457]","[-0.20176532864570618, 0.01609325408935547, -0.002641419880092144, 0.11860200762748718, 0.1285158395767212]","[-0.7954155802726746, 0.06344413012266159, -0.010413219220936298, 0.4675624370574951, 0.5066455602645874]","[-1.2633681297302246, 0.015962090343236923, -0.002574613317847252, 0.11878779530525208, 0.12829998135566711]","[-0.003157901344820857, 0.00013116037007421255, -6.682200182694942e-05, -0.0001857578317867592, 0.00021587991795968264]",,,0.0,1,,6.327304363250732,62.772216796875,"[-0.79541558, 0.06344413, -0.01041322, 0.46756244, 0.50664556]",0.6567619047619048,0.02184539816087383,0.0
2,"[0.0, 0.07367948442697525, 0.04270053282380104, 0.41799741983413696, 0.46562257409095764]","[-0.15007303655147552, 0.06773731112480164, 0.19446372985839844, 0.030225876718759537, 0.08034604042768478]","[-0.7569330930709839, 0.075632244348526, 0.043832242488861084, 0.42907577753067017, 0.4779631793498993]","[-0.9278227090835571, 0.06824108958244324, 0.19154545664787292, 0.02858247421681881, 0.0812012255191803]","[0.003513385308906436, -0.0005037778755649924, 0.0029182645957916975, 0.001643405295908451, -0.0008551867795176804]",,,0.0,1,,6.1871657371521,61.590641021728516,"[-0.41059101, 0.18532531, 0.53204137, 0.08269622, 0.21982205]",0.6730666666666667,0.11948449905688519,0.0
3,"[0.0, 0.10094466060400009, 0.06110823526978493, 0.39064815640449524, 0.44729897379875183]","[-0.31718066334724426, 0.18442310392856598, 0.1219245046377182, -0.004369525238871574, 0.06521213054656982]","[-0.7354581356048584, 0.09959401935338974, 0.06029060482978821, 0.3854212760925293, 0.44131410121917725]","[-1.9400672912597656, 0.18345534801483154, 0.12234069406986237, -0.00471449876204133, 0.06417668610811234]","[-0.00994178932160139, 0.0009677535854279995, -0.0004161776159889996, 0.0003449646756052971, 0.0010354574769735336]",,,0.0,1,,6.0829620361328125,61.47944641113281,"[-0.5421837, 0.31525001, 0.20841587, -0.0074692, 0.11147261]",0.6943238095238096,0.04681898243547589,0.0
4,"[0.0, 0.10631870478391647, 0.10322953760623932, 0.3740275204181671, 0.4164242446422577]","[-0.31542736291885376, 0.06370095163583755, 0.24388408660888672, 0.048857152462005615, -0.006622997112572193]","[-0.7186936736106873, 0.10110167413949966, 0.09816409647464752, 0.3556740880012512, 0.39599043130874634]","[-1.9167234897613525, 0.06391315162181854, 0.24170267581939697, 0.04735136777162552, -0.006031491793692112]","[0.0019031033152714372, -0.00021217987523414195, 0.0021814422216266394, 0.0015057871351018548, -0.0005914968787692487]",,,0.0,1,,6.02735710144043,60.70559310913086,"[-0.56781346, 0.11467064, 0.43902552, 0.08794972, -0.01192232]",0.6869333333333334,0.05126054696272231,0.0
5,"[0.0, 0.12886177003383636, 0.12281239777803421, 0.34128081798553467, 0.40704506635665894]","[-0.35762178897857666, 0.15885400772094727, 0.14042627811431885, -0.11254136264324188, 0.036953650414943695]","[-0.6998869776725769, 0.11456172168254852, 0.1091836541891098, 0.3034081757068634, 0.36187443137168884]","[-2.16497802734375, 0.1586097627878189, 0.14094842970371246, -0.11258871853351593, 0.03630922734737396]","[-0.002554292557761073, 0.0002442274708300829, -0.0005221417522989213, 4.734677713713609e-05, 0.0006444421014748514]",,,0.0,1,,6.080001354217529,60.6096305847168,"[-0.53062701, 0.23570214, 0.2083597, -0.16698502, 0.05483056]",0.664,0.05565717002431336,0.0
6,"[0.0, 0.15126334130764008, 0.15787823498249054, 0.3037623167037964, 0.3870960772037506]","[-0.4382297396659851, 0.18318910896778107, 0.2652226984500885, -0.15479502081871033, -0.0207528043538332]","[-0.6852473616600037, 0.12624262273311615, 0.13176333904266357, 0.2535164952278137, 0.3230658769607544]","[-2.663058280944824, 0.18318718671798706, 0.26437950134277344, -0.15579141676425934, -0.01994122937321663]","[0.0038961288519203663, 1.8988648662343621e-06, 0.0008431986789219081, 0.000996417598798871, -0.0008115684031508863]",,,0.0,1,,6.025503158569336,60.67963409423828,"[-0.55349123, 0.23137079, 0.33498055, -0.1955086, -0.02621113]",0.681752380952381,0.040369466933453446,0.0
7,"[0.0, 0.17698568105697632, 0.18821050226688385, 0.26986828446388245, 0.36493557691574097]","[-0.6436490416526794, 0.21733182668685913, 0.2504851818084717, -0.14408524334430695, -0.04089290648698807]","[-0.6910668611526489, 0.13872112333774567, 0.14751912653446198, 0.21152237057685852, 0.2860359847545624]","[-3.9180824756622314, 0.2176186740398407, 0.24965202808380127, -0.1447610855102539, -0.04000876098871231]","[0.0017329670954495668, -0.00028684313292615116, 0.0008331806748174131, 0.0006758384988643229, -0.0008841443923301995]",,,0.0,1,,6.098301410675049,60.84604263305664,"[-0.74344248, 0.25102767, 0.28932121, -0.16642469, -0.04723307]",0.653942857142857,0.02972539300160104,0.0
8,"[0.0, 0.19440849125385284, 0.20413386821746826, 0.24591387808322906, 0.35554373264312744]","[-0.4857340157032013, 0.1397843360900879, 0.1320730447769165, -0.10840943455696106, -0.000202864408493042]","[-0.6772119998931885, 0.14074936509132385, 0.14779041707515717, 0.17803864181041718, 0.25740930438041687]","[-2.94352388381958, 0.13954298198223114, 0.13107971847057343, -0.1083172857761383, 0.0010063187219202518]","[0.0037208539433777332, 0.00024134638078976423, 0.0009933131514117122, -9.213570592692122e-05, -0.001209191046655178]",,,0.0,1,,6.074372291564941,60.52290344238281,"[-0.55251837, 0.15900351, 0.15023197, -0.12331482, -0.00023076]",0.6585904761904762,0.006824648844108161,0.0
9,"[0.0, 0.20714426040649414, 0.2015339583158493, 0.2143741399049759, 0.37694767117500305]","[-0.5462219715118408, 0.07422059774398804, -0.014659290201961994, -0.18233704566955566, 0.1247946172952652]","[-0.6709089875221252, 0.1350199282169342, 0.13136304914951324, 0.1397324800491333, 0.24570050835609436]","[-3.3126211166381836, 0.07413777709007263, -0.01668630912899971, -0.1824105978012085, 0.12399066239595413]","[0.0068985833786427975, 8.281270856969059e-05, 0.002027065260335803, 7.352331158472225e-05, 0.0008039592648856342]",,,0.0,1,,6.0161004066467285,60.519771575927734,"[-0.61418188, 0.08345498, -0.01648317, -0.20502307, 0.14032133]",0.6852571428571428,0.08004187058255341,0.0
10,"[0.0, 0.23500575125217438, 0.21114446222782135, 0.19164660573005676, 0.3622031509876251]","[-0.5182369351387024, 0.16503912210464478, 0.05737527459859848, -0.1333106905221939, -0.085668183863163]","[-0.6553935408592224, 0.13794280588626862, 0.12393679469823837, 0.11249200999736786, 0.21260465681552887]","[-3.143899440765381, 0.16499856114387512, 0.05746318772435188, -0.13336460292339325, -0.0857386514544487]","[-0.0007666985620744526, 4.050858478876762e-05, -8.793870074441656e-05, 5.393038736656308e-05, 7.048842235235497e-05]",,,0.0,1,,6.10654354095459,60.680084228515625,"[-0.51575488, 0.16424868, 0.05710048, -0.13267221, -0.08525788]",0.6728380952380952,0.02505186359527467,0.0
