round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.0, 0.061142005026340485, 0.0, 0.45059651136398315, 0.48826146125793457]","[-0.20176532864570618, 0.01609325408935547, -0.002641419880092144, 0.11860200762748718, 0.1285158395767212]","[-0.7954155802726746, 0.06344413012266159, -0.010413219220936298, 0.4675624370574951, 0.5066455602645874]","[-1.2633681297302246, 0.015962090343236923, -0.002574613317847252, 0.11878779530525208, 0.12829998135566711]","[-0.003157901344820857, 0.00013116037007421255, -6.682200182694942e-05, -0.0001857578317867592, 0.00021587991795968264]",,,0.0,1,"[1, 2, 3, 4]",6.327304363250732,62.772216796875,"[-0.79541558, 0.06344413, -0.01041322, 0.46756244, 0.50664556]",0.6567619047619048,0.02184539816087383,0.0
2,"[0.0, 0.07367948442697525, 0.04270053282380104, 0.41799741983413696, 0.46562257409095764]","[-0.15007303655147552, 0.06773731112480164, 0.19446372985839844, 0.030225876718759537, 0.08034604042768478]","[-0.7569330930709839, 0.075632244348526, 0.043832242488861084, 0.42907577753067017, 0.4779631793498993]","[-0.9278227090835571, 0.06824108958244324, 0.19154545664787292, 0.02858247421681881, 0.0812012255191803]","[0.003513385308906436, -0.0005037778755649924, 0.0029182645957916975, 0.001643405295908451, -0.0008551867795176804]",,,0.0,1,"[4, 1, 3, 2]",6.1871657371521,61.590641021728516,"[-0.41059101, 0.18532531, 0.53204137, 0.08269622, 0.21982205]",0.6730666666666667,0.11948449905688519,0.0
3,"[0.0, 0.10094466060400009, 0.06110823526978493, 0.39064815640449524, 0.44729897379875183]","[-0.31718066334724426, 0.18442310392856598, 0.1219245046377182, -0.004369525238871574, 0.06521213054656982]","[-0.7354581356048584, 0.09959401935338974, 0.06029060482978821, 0.3854212760925293, 0.44131410121917725]","[-1.9400672912597656, 0.18345534801483154, 0.12234069406986237, -0.00471449876204133, 0.06417668610811234]","[-0.00994178932160139, 0.0009677535854279995, -0.0004161776159889996, 0.0003449646756052971, 0.0010354574769735336]",,,0.0,1,"[3, 1, 4, 2]",6.0829620361328125,61.47944641113281,"[-0.5421837, 0.31525001, 0.20841587, -0.0074692, 0.11147261]",0.6943238095238096,0.04681898243547589,0.0
4,"[0.0, 0.10631870478391647, 0.10322953760623932, 0.3740275204181671, 0.4164242446422577]","[-0.31542736291885376, 0.06370095163583755, 0.24388408660888672, 0.048857152462005615, -0.006622997112572193]","[-0.7186936736106873, 0.10110167413949966, 0.09816409647464752, 0.3556740880012512, 0.39599043130874634]","[-1.9167234897613525, 0.06391315162181854, 0.24170267581939697, 0.04735136777162552, -0.006031491793692112]","[0.0019031033152714372, -0.00021217987523414195, 0.0021814422216266394, 0.0015057871351018548, -0.0005914968787692487]",,,0.0,1,"[3, 2, 4, 1]",6.02735710144043,60.70559310913086,"[-0.56781346, 0.11467064, 0.43902552, 0.08794972, -0.01192232]",0.6869333333333334,0.05126054696272231,0.0
5,"[0.0, 0.12886177003383636, 0.12281239777803421, 0.34128081798553467, 0.40704506635665894]","[-0.35762178897857666, 0.15885400772094727, 0.14042627811431885, -0.11254136264324188, 0.036953650414943695]","[-0.6998869776725769, 0.11456172168254852, 0.1091836541891098, 0.3034081757068634, 0.36187443137168884]","[-2.16497802734375, 0.1586097627878189, 0.14094842970371246, -0.11258871853351593, 0.03630922734737396]","[-0.002554292557761073, 0.0002442274708300829, -0.0005221417522989213, 4.734677713713609e-05, 0.0006444421014748514]",,,0.0,1,"[3, 1, 4, 2]",6.080001354217529,60.6096305847168,"[-0.53062701, 0.23570214, 0.2083597, -0.16698502, 0.05483056]",0.664,0.05565717002431336,0.0
6,"[0.0, 0.15126335620880127, 0.15787824988365173, 0.3037623465061188, 0.387096107006073]","[-0.4382297396659851, 0.18318910896778107, 0.2652226984500885, -0.15479502081871033, -0.0207528043538332]","[-0.6852473616600037, 0.12624262273311615, 0.13176333904266357, 0.2535164952278137, 0.3230658769607544]","[-2.663058280944824, 0.18318718671798706, 0.26437950134277344, -0.15579141676425934, -0.01994122937321663]","[0.0038961288519203663, 1.8988648662343621e-06, 0.0008431986789219081, 0.000996417598798871, -0.0008115684031508863]",,,0.0,1,"[3, 4, 2, 1]",6.025503158569336,60.67963409423828,"[-0.55349123, 0.23137079, 0.33498055, -0.1955086, -0.02621113]",0.681752380952381,0.04036947007895797,0.0
7,"[0.0, 0.1773659884929657, 0.1879349648952484, 0.2699134051799774, 0.36478570103645325]","[-0.6467959880828857, 0.22035062313079834, 0.24907946586608887, -0.14311234652996063, -0.041009124368429184]","[-0.6914303302764893, 0.1390698105096817, 0.1473567634820938, 0.21163474023342133, 0.2860225737094879]","[-3.937194347381592, 0.22063863277435303, 0.24824532866477966, -0.14378809928894043, -0.04012525454163551]","[0.0017395835602656007, -0.0002880272513721138, 0.0008341431966982782, 0.0006757548544555902, -0.000883883039932698]",,,0.0,1,"[3, 2, 4, 1]",6.098303318023682,60.84538650512695,"[-0.74707735, 0.25451452, 0.28769755, -0.16530095, -0.04736731]",0.6540190476190476,0.029668451348496272,0.0
8,"[0.0, 0.1952255517244339, 0.20364606380462646, 0.2454928159713745, 0.3556355834007263]","[-0.4903514087200165, 0.14216122031211853, 0.13021190464496613, -0.11163578182458878, 0.0007472881115972996]","[-0.6781458258628845, 0.1413571685552597, 0.14745421707630157, 0.1777542382478714, 0.2575054168701172]","[-2.9715685844421387, 0.14191828668117523, 0.1292119324207306, -0.11154411733150482, 0.001961427042260766]","[0.0037234239280223846, 0.00024294706236105412, 0.0010000045876950026, -9.167083771899343e-05, -0.0012141148326918483]",,,0.0,1,"[3, 2, 1, 4]",6.07451057434082,60.52486038208008,"[-0.55858546, 0.16194344, 0.14833134, -0.12717028, 0.00085128]",0.6580571428571429,0.006695804949772066,0.0
9,"[0.0, 0.20788046717643738, 0.20092996954917908, 0.21406890451908112, 0.3771206736564636]","[-0.5374355316162109, 0.0743836835026741, -0.014617642387747765, -0.1806989163160324, 0.12641897797584534]","[-0.670843243598938, 0.1355966031551361, 0.13106292486190796, 0.1396332085132599, 0.2459888756275177]","[-3.259479522705078, 0.07429813593626022, -0.01665680855512619, -0.18077737092971802, 0.12560532987117767]","[0.006892328150570393, 8.554374653613195e-05, 0.002039145678281784, 7.84269068390131e-05, 0.0008137112599797547]",,,0.0,1,"[3, 2, 4, 1]",6.016693592071533,60.5205078125,"[-0.60511988, 0.08375152, -0.01645858, -0.20345603, 0.14234011]",0.6857904761904762,0.08056621252379748,0.0
10,"[0.0, 0.23597104847431183, 0.21076412498950958, 0.19104991853237152, 0.36221498250961304]","[-0.5158593654632568, 0.16714486479759216, 0.059355124831199646, -0.13444830477237701, -0.08549743890762329]","[-0.6551294326782227, 0.13868162035942078, 0.12386735528707504, 0.1122812032699585, 0.21287594735622406]","[-3.1295580863952637, 0.1670999825000763, 0.05945183336734772, -0.13450826704502106, -0.0855756551027298]","[-0.0008416026830673218, 4.48581668024417e-05, -9.669060091255233e-05, 5.9959525970043615e-05, 7.820954488124698e-05]",,,0.0,1,"[3, 2, 4, 1]",6.106136798858643,60.683197021484375,"[-0.51370502, 0.16644682, 0.05910724, -0.13388681, -0.08514038]",0.6732190476190477,0.024014451794801772,0.0
