round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.8620690703392029, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167]",,,,,,,,,,,,,0.5709714285714287,0.5120928371588926,0.0
2,"[0.8620690703392029, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167]",,,,,,,,,,,,,0.5916952380952382,0.666279677122753,0.0
3,"[0.8620690703392029, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167]",,,,,,,,,,,,,0.6294095238095238,0.6939097562281122,0.0
4,"[0.8620690703392029, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167]",,,,,,,,,,,,,0.6366476190476191,0.6898135248376637,0.0
5,"[0.8620690703392029, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167]",,,,,,,,,,,,,0.6565333333333333,0.6698027677681937,0.0
6,"[0.8620690703392029, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167]",,,,,,,,,,,,,0.6539428571428572,0.6636239619538679,0.0
7,"[0.8620690703392029, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167]",,,,,,,,,,,,,0.6166095238095238,0.7039480043871751,0.0
8,"[0.8620690703392029, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167]",,,,,,,,,,,,,0.662552380952381,0.6992685137733687,0.0
9,"[0.8620690703392029, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167]",,,,,,,,,,,,,0.6497523809523811,0.7367304014349892,0.0
10,"[0.8620690703392029, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167, 0.03448276221752167]",,,,,,,,,,,,,0.6340571428571429,0.7423897900115639,0.0
