round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.584952380952381,0.025996826660192318,0.0
2,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5812571428571428,0.16019498058814124,0.0
3,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5347809523809525,0.15178808300896418,0.0
4,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5441523809523809,0.017623198282509023,0.0
5,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5510095238095238,0.0826443547788912,0.0
6,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5526095238095238,0.04719595280412048,0.0
7,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5286857142857143,0.008444184704795354,0.0
8,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5639619047619049,0.10593242847433426,0.0
9,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5220571428571429,0.04243360542107455,0.0
10,"[0.03448275849223137, 0.03448275849223137, 0.03448275849223137, 0.8620690107345581, 0.03448275849223137]",,,,,,,,,,,,,0.5030476190476191,0.021987992337170192,0.0
