round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.19835808873176575, 0.2017018347978592, 0.20057815313339233, 0.2016540914773941, 0.19770783185958862]",,,,,,,,,,,,,0.6318476190476191,0.105756279909689,0.0
2,"[0.19397711753845215, 0.20184870064258575, 0.2019481062889099, 0.20105625689029694, 0.20116981863975525]",,,,,,,,,,,,,0.6672000000000001,0.1516066323643685,0.0
3,"[0.1948309689760208, 0.20158503949642181, 0.20093421638011932, 0.2032935470342636, 0.1993562877178192]",,,,,,,,,,,,,0.6710857142857142,0.14106215144072753,0.0
4,"[0.19766995310783386, 0.2012302726507187, 0.20171496272087097, 0.20123866200447083, 0.19814613461494446]",,,,,,,,,,,,,0.6814476190476191,0.1873722915328288,0.0
5,"[0.19459980726242065, 0.20010818541049957, 0.202254518866539, 0.20266534388065338, 0.20037220418453217]",,,,,,,,,,,,,0.6707047619047618,0.1542831880446428,0.0
6,"[0.19649919867515564, 0.2013218253850937, 0.20161277055740356, 0.20174992084503174, 0.19881626963615417]",,,,,,,,,,,,,0.6592761904761903,0.1890101357183786,0.0
7,"[0.19771245121955872, 0.19917403161525726, 0.2008316069841385, 0.20223118364810944, 0.20005077123641968]",,,,,,,,,,,,,0.6565333333333333,0.21397408228239834,0.0
8,"[0.19722609221935272, 0.200219064950943, 0.20294512808322906, 0.20235614478588104, 0.19725356996059418]",,,,,,,,,,,,,0.6451809523809524,0.15047251791112926,0.0
9,"[0.19754362106323242, 0.19628021121025085, 0.2031787484884262, 0.2038588523864746, 0.1991385966539383]",,,,,,,,,,,,,0.6361142857142857,0.19607324833544632,0.0
10,"[0.1958085000514984, 0.19997698068618774, 0.20237207412719727, 0.20115068554878235, 0.20069171488285065]",,,,,,,,,,,,,0.637104761904762,0.15251939552327975,0.0
