warmup_rounds,warmup_agg,attack,seed,auc,dpd,diverged,atk_w_mass,fair_share,nan_round_frac
0,n/a,none,0,0.7048,0.0473,0.0,0.0,0.0,0.0
0,n/a,none,1,0.5598,0.0786,0.0,0.0,0.0,0.0
0,n/a,none,2,0.6958,0.1251,0.0,0.0,0.0,0.0
0,n/a,sign_flip,0,0.7128,0.0323,0.0,0.0,0.2,0.0
0,n/a,sign_flip,1,0.5994,0.0691,0.0,0.0,0.2,0.0
0,n/a,sign_flip,2,0.6961,0.1481,0.0,0.0,0.2,0.0
0,n/a,fairness_poison,0,0.7264,0.0777,0.0,0.1232,0.2,0.0
0,n/a,fairness_poison,1,0.5994,0.0691,0.0,0.0,0.2,0.0
0,n/a,fairness_poison,2,0.7076,0.2044,0.0,0.0826,0.2,0.0
3,fedavg,none,0,0.6952,0.0467,0.0,0.0,0.0,0.0
3,fedavg,none,1,0.5578,0.085,0.0,0.0,0.0,0.0
3,fedavg,none,2,0.7064,0.1508,0.0,0.0,0.0,0.0
3,fedavg,sign_flip,0,0.6562,0.1105,0.0,0.0293,0.2,0.2
3,fedavg,sign_flip,1,0.6135,0.0457,0.0,0.0151,0.2,0.04
3,fedavg,sign_flip,2,0.6891,0.135,0.0,0.0065,0.2,0.0
3,fedavg,fairness_poison,0,0.715,0.0953,0.0,0.1326,0.2,0.0
3,fedavg,fairness_poison,1,0.6034,0.097,0.0,0.0151,0.2,0.0
3,fedavg,fairness_poison,2,0.7227,0.2465,0.0,0.0582,0.2,0.0
3,median,none,0,0.6986,0.0713,0.0,0.0,0.0,0.0
3,median,none,1,0.5619,0.0624,0.0,0.0,0.0,0.0
3,median,none,2,0.7173,0.1468,0.0,0.0,0.0,0.0
3,median,sign_flip,0,0.7131,0.0228,0.0,0.0,0.2,0.0
3,median,sign_flip,1,0.6111,0.0633,0.0,0.0,0.2,0.0
3,median,sign_flip,2,0.6399,0.1285,0.0,0.0,0.2,0.0
3,median,fairness_poison,0,0.6831,0.1021,0.0,0.0719,0.2,0.0
3,median,fairness_poison,1,0.6056,0.0529,0.0,0.0,0.2,0.0
3,median,fairness_poison,2,0.7121,0.2106,0.0,0.044,0.2,0.0
5,fedavg,none,0,0.6868,0.0319,0.0,0.0,0.0,0.0
5,fedavg,none,1,0.5646,0.0698,0.0,0.0,0.0,0.0
5,fedavg,none,2,0.6963,0.1217,0.0,0.0,0.0,0.0
5,fedavg,sign_flip,0,0.6982,0.0608,0.0,0.0488,0.2,0.4
5,fedavg,sign_flip,1,0.66,0.1341,0.0,0.0252,0.2,0.2
5,fedavg,sign_flip,2,0.7243,0.1514,0.0,0.0108,0.2,0.12
5,fedavg,fairness_poison,0,0.697,0.0482,0.0,0.0974,0.2,0.0
5,fedavg,fairness_poison,1,0.6021,0.0584,0.0,0.0252,0.2,0.0
5,fedavg,fairness_poison,2,0.6914,0.2295,0.0,0.0733,0.2,0.0
5,median,none,0,0.7071,0.0549,0.0,0.0,0.0,0.0
5,median,none,1,0.5442,0.052,0.0,0.0,0.0,0.0
5,median,none,2,0.7179,0.1128,0.0,0.0,0.0,0.0
5,median,sign_flip,0,0.7251,0.0198,0.0,0.0,0.2,0.0
5,median,sign_flip,1,0.5771,0.0528,0.0,0.0,0.2,0.0
5,median,sign_flip,2,0.6744,0.1685,0.0,0.0,0.2,0.0
5,median,fairness_poison,0,0.7135,0.042,0.0,0.0568,0.2,0.0
5,median,fairness_poison,1,0.5876,0.0644,0.0,0.0,0.2,0.0
5,median,fairness_poison,2,0.7281,0.185,0.0,0.0,0.2,0.0
10,fedavg,none,0,0.7125,0.0641,0.0,0.0,0.0,0.0
10,fedavg,none,1,0.5617,0.0803,0.0,0.0,0.0,0.0
10,fedavg,none,2,0.7091,0.1657,0.0,0.0,0.0,0.0
10,fedavg,sign_flip,0,0.4726,0.0759,0.0,0.0976,0.2,0.76
10,fedavg,sign_flip,1,0.6689,0.0861,0.0,0.0504,0.2,0.56
10,fedavg,sign_flip,2,0.715,0.1151,0.0,0.0216,0.2,0.36
10,fedavg,fairness_poison,0,0.7154,0.0638,0.0,0.1256,0.2,0.0
10,fedavg,fairness_poison,1,0.6032,0.0412,0.0,0.0504,0.2,0.0
10,fedavg,fairness_poison,2,0.7258,0.2459,0.0,0.0416,0.2,0.0
10,median,none,0,0.6916,0.0332,0.0,0.0,0.0,0.0
10,median,none,1,0.5718,0.0905,0.0,0.0,0.0,0.0
10,median,none,2,0.7236,0.1797,0.0,0.0,0.0,0.0
10,median,sign_flip,0,0.7309,0.0569,0.0,0.0,0.2,0.0
10,median,sign_flip,1,0.6222,0.0253,0.0,0.0,0.2,0.0
10,median,sign_flip,2,0.7314,0.1456,0.0,0.0,0.2,0.0
10,median,fairness_poison,0,0.7003,0.0319,0.0,0.0316,0.2,0.0
10,median,fairness_poison,1,0.5922,0.0346,0.0,0.0,0.2,0.0
10,median,fairness_poison,2,0.7037,0.1733,0.0,0.0,0.2,0.0
