round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.2776172459125519, 0.0, 0.0, 0.4347687363624573, 0.28761398792266846]","[0.096720851957798, -0.013019319623708725, -0.011768316850066185, 0.15147188305854797, 0.10020367801189423]","[0.3813009560108185, -0.05132583901286125, -0.04639403149485588, 0.5971449613571167, 0.39503124356269836]","[0.09732832759618759, -0.013286063447594643, -0.011855780147016048, 0.1515287160873413, 0.0998978465795517]","[-0.0006074713892303407, 0.0002667598892003298, 8.744796650717035e-05, -5.682184928446077e-05, 0.000305819179629907]",,,0.0,0,,6.373783111572266,6.563526630401611,"[0.38130096, -0.05132584, -0.04639403, 0.59714496, 0.39503124]",0.6394666666666666,0.10890072177635757,0.0
2,"[0.26421111822128296, 0.0, 0.0, 0.4227505922317505, 0.31303831934928894]","[-0.04066137596964836, 0.18084004521369934, 0.14620335400104523, -0.01323688868433237, 0.17878010869026184]","[0.334022581577301, -0.005506701767444611, -0.008860856294631958, 0.5344523191452026, 0.3957512080669403]","[-0.03265327215194702, 0.17807868123054504, 0.1462917923927307, -0.014331316575407982, 0.1755862683057785]","[-0.008008102886378765, 0.0027613090351223946, -8.84403707459569e-05, 0.0010944114765152335, 0.003193835960701108]",,,0.0,0,,6.229229927062988,6.346871376037598,"[-0.09148256, 0.40686551, 0.32893768, -0.0297812, 0.40223095]",0.6320761904761905,0.22025913971303546,0.0
3,"[0.22482137382030487, 0.036362722516059875, 0.015408108942210674, 0.39568865299224854, 0.32771918177604675]","[-0.16304533183574677, 0.27597954869270325, 0.15009371936321259, -0.015590772032737732, 0.22526095807552338]","[0.27172762155532837, 0.04394936189055443, 0.01862282305955887, 0.47824427485466003, 0.39609381556510925]","[-0.14383773505687714, 0.26569700241088867, 0.14265123009681702, -0.022633064538240433, 0.21579726040363312]","[-0.01920759491622448, 0.010282512754201889, 0.007442507427185774, 0.007042308803647757, 0.0094636594876647]",,,0.0,0,,6.118450164794922,6.242550849914551,"[-0.28892708, 0.48905393, 0.26597595, -0.02762787, 0.39917725]",0.6703238095238095,0.1682921872620311,0.0
4,"[0.19507041573524475, 0.05489664897322655, 0.0405903160572052, 0.3642183244228363, 0.3452242314815521]","[-0.11130017042160034, 0.13607124984264374, 0.1720205843448639, -0.05801292508840561, 0.2394932061433792]","[0.22509440779685974, 0.06334599107503891, 0.04683771729469299, 0.4202764928340912, 0.39835894107818604]","[-0.09878358244895935, 0.13244739174842834, 0.1716635823249817, -0.05931682884693146, 0.23292312026023865]","[-0.01251657959073782, 0.0036238443572074175, 0.0003570578701328486, 0.0013038794277235866, 0.006570124067366123]",,,0.0,0,,6.069325923919678,6.169097900390625,"[-0.19460434, 0.23791566, 0.30077177, -0.10143351, 0.41874522]",0.6425142857142857,0.1491231444354525,0.0
5,"[0.1695818156003952, 0.0826595202088356, 0.05582539737224579, 0.338580846786499, 0.3533523678779602]","[-0.12037165462970734, 0.18902796506881714, 0.10599744319915771, -0.08468229323625565, 0.12663975358009338]","[0.18230365216732025, 0.08886054158210754, 0.06001335754990578, 0.36398079991340637, 0.37986046075820923]","[-0.10846426337957382, 0.18419261276721954, 0.10489289462566376, -0.08839519321918488, 0.12006303668022156]","[-0.011907370761036873, 0.004835423547774553, 0.001104549621231854, 0.0037129023112356663, 0.0065767779015004635]",,,0.0,0,,6.040257930755615,6.203294277191162,"[-0.20281312, 0.31849152, 0.17859414, -0.14268044, 0.21337418]",0.6587428571428571,0.12036461020571598,0.0
6,"[0.1576695591211319, 0.11293240636587143, 0.08329211920499802, 0.30012965202331543, 0.34597620368003845]","[-0.03643060103058815, 0.2717534303665161, 0.23987512290477753, -0.19043324887752533, 0.0640750601887703]","[0.15948109328746796, 0.11422993242740631, 0.0842490941286087, 0.3035779595375061, 0.34995126724243164]","[-0.035199619829654694, 0.2714306712150574, 0.23994441330432892, -0.19010259211063385, 0.06356176733970642]","[-0.0012309972662478685, 0.0003227086563128978, -6.933655095053837e-05, -0.0003306440485175699, 0.0005133040249347687]",,,0.0,0,,6.042984962463379,6.189209461212158,"[-0.04592201, 0.34255442, 0.30237073, -0.24004757, 0.08076879]",0.6603428571428571,0.10322923336975554,0.0
7,"[0.14227509498596191, 0.13749997317790985, 0.1072162613272667, 0.26966214179992676, 0.34334656596183777]","[-0.05461190268397331, 0.25082850456237793, 0.23227949440479279, -0.11343397200107574, 0.13391396403312683]","[0.1370738446712494, 0.13247328996658325, 0.1032966822385788, 0.2598039209842682, 0.3307946026325226]","[-0.04714464023709297, 0.2482522428035736, 0.23247449100017548, -0.11197987198829651, 0.13099995255470276]","[-0.007467255927622318, 0.0025762561708688736, -0.00019496293680276722, -0.0014540933771058917, 0.002914005657657981]",,,0.0,0,,6.082151889801025,6.169331073760986,"[-0.06459139, 0.29666355, 0.27472499, -0.13416229, 0.15838468]",0.6454857142857142,0.11979653820901948,0.0
8,"[0.11618054658174515, 0.16219739615917206, 0.12102039158344269, 0.24121229350566864, 0.35938936471939087]","[-0.16916871070861816, 0.14550122618675232, 0.07969494163990021, -0.19058705866336823, 0.08087677508592606]","[0.09987380355596542, 0.1394318789243698, 0.10403434187173843, 0.20735648274421692, 0.3089465796947479]","[-0.16057004034519196, 0.14314720034599304, 0.07978015393018723, -0.19232125580310822, 0.07719750702381134]","[-0.008598661981523037, 0.0023540330585092306, -8.523260476067662e-05, 0.00173424300737679, 0.003679238958284259]",,,0.0,0,,6.077247619628906,6.143867015838623,"[-0.23492657, 0.20205925, 0.11067329, -0.26467046, 0.11231452]",0.6555428571428572,0.050578606530988446,0.0
9,"[0.0976637527346611, 0.19408994913101196, 0.11975108087062836, 0.21326924860477448, 0.37522590160369873]","[-0.11937624216079712, 0.19153480231761932, -0.012574836611747742, -0.18270596861839294, 0.08427643030881882]","[0.07509014010429382, 0.1492287665605545, 0.09207229316234589, 0.1639750450849533, 0.2884976863861084]","[-0.11814749240875244, 0.19130751490592957, -0.012220580130815506, -0.18230776488780975, 0.08413402736186981]","[-0.001228750916197896, 0.0002272663259645924, -0.00035422213841229677, -0.0003981541085522622, 0.00014241276949178427]",,,0.0,0,,6.040362358093262,6.186546325683594,"[-0.14796278, 0.23740084, -0.01558608, -0.2264578, 0.10445776]",0.6886095238095239,0.1310412329268965,0.0
10,"[0.06720826029777527, 0.2075415402650833, 0.14765995740890503, 0.19386300444602966, 0.38372713327407837]","[-0.16997699439525604, 0.06706196069717407, 0.14869536459445953, -0.1134115606546402, 0.03385050594806671]","[0.046221308410167694, 0.14273308217525482, 0.10155056416988373, 0.13332590460777283, 0.26390165090560913]","[-0.16242389380931854, 0.06387466192245483, 0.1483374983072281, -0.1144450306892395, 0.03100397065281868]","[-0.007553090341389179, 0.0031872906256467104, 0.0003578601754270494, 0.0010334427934139967, 0.002846545074135065]",,,0.0,0,,6.059479236602783,6.177894115447998,"[-0.21359818, 0.08427206, 0.18685505, -0.14251636, 0.04253756]",0.6703238095238095,0.02374692704277559,0.0
