round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.3373219072818756, 0.0, 0.0, 0.39883530139923096, 0.2638428211212158]","[0.12810997664928436, -0.013019319623708725, -0.011768316850066185, 0.15147188305854797, 0.10020367801189423]","[0.5050457715988159, -0.05132583901286125, -0.04639403149485588, 0.5971449613571167, 0.39503124356269836]","[0.12773944437503815, -0.013286063447594643, -0.011855780147016048, 0.1515287160873413, 0.0998978465795517]","[0.0003705285780597478, 0.0002667598892003298, 8.744796650717035e-05, -5.682184928446077e-05, 0.000305819179629907]",,,0.0,0,,6.373783111572266,6.401370048522949,"[0.50504577, -0.05132584, -0.04639403, 0.59714496, 0.39503124]",0.6060190476190477,0.01995152697082636,0.0
2,"[0.3492699861526489, 0.0, 0.005978518631309271, 0.37956365942955017, 0.2651877999305725]","[0.18752184510231018, 0.1211499571800232, 0.20659002661705017, 0.0253286212682724, 0.09962974488735199]","[0.5002138018608093, -0.016686080023646355, 0.008562251925468445, 0.5435994863510132, 0.37979385256767273]","[0.18182852864265442, 0.1232505664229393, 0.20244333148002625, 0.02199394628405571, 0.10282003879547119]","[0.005693315993994474, -0.002100627636536956, 0.004146719817072153, 0.0033346284180879593, -0.003190272254869342]",,,0.0,0,,6.218174934387207,6.260431289672852,"[0.45672646, 0.29507172, 0.50316876, 0.06169016, 0.24265729]",0.6723809523809523,0.02010939835826775,0.0
3,"[0.35604554414749146, 0.0, 0.018196428194642067, 0.36506953835487366, 0.2606884837150574]","[0.04330950975418091, -0.02902229316532612, 0.04200628772377968, -0.027462922036647797, 1.9534491002559662e-07]","[0.46684667468070984, -0.026177717372775078, 0.023859143257141113, 0.4786789119243622, 0.3418145477771759]","[0.04200969636440277, -0.02789164148271084, 0.04181180149316788, -0.02887897565960884, 0.0011028328444808722]","[0.0012998145539313555, -0.0011306514497846365, 0.00019449424871709198, 0.0014160554856061935, -0.001102651352994144]",,,0.0,0,,6.079390048980713,6.161181926727295,"[0.16654259, -0.11160246, 0.16153118, -0.10560605, 7.5e-07]",0.6640761904761905,0.06914092343107314,0.0
4,"[0.3521084785461426, 0.0, 0.03906717896461487, 0.33775654435157776, 0.2710677981376648]","[0.029423788189888, 0.07214650511741638, 0.10217010974884033, -0.08102676272392273, 0.08489930629730225]","[0.4276423752307892, -0.005218219012022018, 0.047447822988033295, 0.4102116823196411, 0.32921692728996277]","[0.029345480725169182, 0.07205226272344589, 0.10218947380781174, -0.08103716373443604, 0.0848122090101242]","[7.830526010366157e-05, 9.42417755140923e-05, -1.939074536494445e-05, 1.040378901961958e-05, 8.711319969734177e-05]",,,0.0,0,,6.064741134643555,6.102141857147217,"[0.07480377, 0.18341725, 0.25974593, -0.20599343, 0.21583855]",0.623847619047619,0.021421035412936718,0.0
5,"[0.348897784948349, 0.0012865409953519702, 0.06361109018325806, 0.31851187348365784, 0.2676926851272583]","[0.060008421540260315, 0.027364017441868782, 0.13285107910633087, -0.02436029352247715, 0.041618820279836655]","[0.39839881658554077, 0.0014690733514726162, 0.07263612747192383, 0.36370182037353516, 0.3056724965572357]","[0.05927898362278938, 0.02883608266711235, 0.13056889176368713, -0.02565067447721958, 0.04243287444114685]","[0.0007294374518096447, -0.0014720344915986061, 0.002282218774780631, 0.001290376647375524, -0.0008139878627844155]",,,0.0,0,,6.0858612060546875,6.137887477874756,"[0.1352068, 0.06165471, 0.29933083, -0.05488692, 0.09377263]",0.6750476190476191,0.047815392448049776,0.0
6,"[0.34284818172454834, 0.01704513654112816, 0.09036323428153992, 0.29577377438545227, 0.2539696991443634]","[0.014367181807756424, 0.08937698602676392, 0.16028651595115662, -0.08432751893997192, -0.04038003087043762]","[0.36123329401016235, 0.017959175631403923, 0.09520892798900604, 0.31163454055786133, 0.26758873462677]","[0.015130443498492241, 0.08986680209636688, 0.15944644808769226, -0.08526679128408432, -0.03951467201113701]","[-0.0007632577326148748, -0.0004898353363387287, 0.0008400853839702904, 0.0009392712381668389, -0.0008653776603750885]",,,0.0,0,,6.073781490325928,6.129899024963379,"[0.02674368, 0.16637011, 0.29836413, -0.15697083, -0.0751651]",0.6540952380952382,0.008645542253077565,0.0
7,"[0.32630571722984314, 0.03926937282085419, 0.10817138850688934, 0.2732026278972626, 0.25305089354515076]","[0.010661937296390533, 0.1357763707637787, 0.13290122151374817, -0.03950973600149155, 0.07441740483045578]","[0.32693028450012207, 0.039344534277915955, 0.10837843269109726, 0.2737255394458771, 0.2535352408885956]","[0.010131875053048134, 0.13622677326202393, 0.1314454823732376, -0.04089048504829407, 0.07536569237709045]","[0.0005300445482134819, -0.0004503660893533379, 0.001455720397643745, 0.0013807236682623625, -0.0009483066387474537]",,,0.0,0,,6.05267333984375,6.131776332855225,"[0.01820326, 0.23181275, 0.22690398, -0.06745549, 0.1270538]",0.6671238095238095,0.047297735288117204,0.0
8,"[0.3245648443698883, 0.05969901382923126, 0.11948554962873459, 0.24515533447265625, 0.2510952651500702]","[0.024772265926003456, 0.12306450307369232, 0.07739821821451187, -0.13396412134170532, 0.01568775251507759]","[0.29814842343330383, 0.0548400953412056, 0.1097605898976326, 0.22520208358764648, 0.23065856099128723]","[0.025091096758842468, 0.12357957661151886, 0.07728571444749832, -0.13401803374290466, 0.016294492408633232]","[-0.00031883540214039385, -0.0005150617216713727, 0.00011246348731219769, 5.3922238294035196e-05, -0.0006067441427148879]",,,0.0,0,,6.041613578796387,6.13375997543335,"[0.03911164, 0.19430016, 0.12220003, -0.211509, 0.02476858]",0.6700190476190476,0.0038851141811891976,0.0
9,"[0.3194180428981781, 0.08027782291173935, 0.11930373311042786, 0.22576433420181274, 0.25523602962493896]","[0.06340538710355759, 0.13412173092365265, 0.033087026327848434, -0.040307190269231796, 0.09526197612285614]","[0.27803483605384827, 0.06987717747688293, 0.1038469597697258, 0.19651472568511963, 0.22216811776161194]","[0.06214544177055359, 0.1342957615852356, 0.031378716230392456, -0.04140542820096016, 0.09561487287282944]","[0.0012599511537700891, -0.0001740657608024776, 0.0017083181301131845, 0.001098237349651754, -0.0003529366513248533]",,,0.0,0,,6.057494640350342,6.145668029785156,"[0.09701245, 0.20521092, 0.0506243, -0.06167141, 0.14575414]",0.6939428571428572,0.03815639671493598,0.0
10,"[0.3198023736476898, 0.08814668655395508, 0.12952622771263123, 0.20900265872478485, 0.253522127866745]","[-0.04136442393064499, 0.025229791179299355, 0.030749106779694557, -0.10731182992458344, -0.04231644794344902]","[0.24336405098438263, 0.06707809865474701, 0.09856721013784409, 0.15904739499092102, 0.19292594492435455]","[-0.04096188396215439, 0.025570807978510857, 0.030003361403942108, -0.10780197381973267, -0.04199804738163948]","[-0.0004025459347758442, -0.0003410350764170289, 0.0007457290776073933, 0.0004901313222944736, -0.00031837340793572366]",,,0.0,0,,6.011189937591553,6.125089168548584,"[-0.06867304, 0.04188639, 0.05104953, -0.17815863, -0.07025358]",0.6457904761904761,0.042640577882337216,0.0
11,"[0.32679200172424316, 0.10521633923053741, 0.13126786053180695, 0.18567714095115662, 0.25104665756225586]","[0.11028486490249634, 0.12003776431083679, 0.0382193848490715, -0.09304117411375046, 0.03997396305203438]","[0.2322695106267929, 0.07478319108486176, 0.09329947829246521, 0.13197122514247894, 0.17843301594257355]","[0.11041036993265152, 0.12030123174190521, 0.03772175684571266, -0.09337079524993896, 0.04030372202396393]","[-0.00012551741383504122, -0.0002634449047036469, 0.0004976968630217016, 0.0003296614740975201, -0.0003297331277281046]",,,0.0,0,,6.022168159484863,6.243114471435547,"[0.13241872, 0.14412899, 0.04588991, -0.11171427, 0.04799662]",0.6758857142857144,0.03344211070567871,0.0
12,"[0.32306310534477234, 0.11184138059616089, 0.13597896695137024, 0.1727551817893982, 0.2563614547252655]","[-0.013864345848560333, 0.0329676978290081, 0.024129608646035194, -0.05955181270837784, 0.02847304753959179]","[0.20718368887901306, 0.0717250257730484, 0.087204709649086, 0.11078967154026031, 0.16440723836421967]","[-0.013844389468431473, 0.03306811302900314, 0.023412011563777924, -0.05934779345989227, 0.02848479151725769]","[-1.995011007238645e-05, -0.00010044379450846463, 0.0007175820064730942, -0.00020399389904923737, -1.174348290078342e-05]",,,0.0,0,,6.025652885437012,6.144641876220703,"[-0.01858866, 0.04420154, 0.03235185, -0.07984427, 0.03817533]",0.665295238095238,0.04953086651505134,0.0
