round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.3284527361392975, 0.18947044014930725, 0.16230686008930206, 0.14780913293361664, 0.17196081578731537]","[0.2758448123931885, 0.15912315249443054, 0.13631033897399902, 0.12413470447063446, 0.14441803097724915]","[0.9738608598709106, 0.5617789626121521, 0.48123908042907715, 0.43825340270996094, 0.509863018989563]","[0.27495837211608887, 0.1586335301399231, 0.13590823113918304, 0.1245419830083847, 0.14386658370494843]","[0.0008864723495207727, 0.000489629979711026, 0.00040211528539657593, -0.0004072853771504015, 0.0005514255608431995]",,,0.0,1,,6.347287654876709,62.82038116455078,"[0.97386086, 0.56177896, 0.48123908, 0.4382534, 0.50986302]",0.4128,0.3750845982532393,0.0
2,"[0.3162429630756378, 0.19091366231441498, 0.16524946689605713, 0.15251490473747253, 0.17507894337177277]","[3.0132598876953125, 3.329570770263672, 3.172178268432617, 3.2687368392944336, 3.3609516620635986]","[0.9233958125114441, 0.5574475526809692, 0.48251083493232727, 0.4453272819519043, 0.5112118721008301]","[3.005246877670288, 3.3007712364196777, 3.1489739418029785, 3.272285223007202, 3.3407649993896484]","[0.00801281351596117, 0.028800060972571373, 0.02320524863898754, -0.003548453329131007, 0.020186830312013626]",,,0.0,1,,5.94472074508667,82.60017395019531,"[0.46921083, 0.51846528, 0.49395686, 0.50899249, 0.52335179]",0.3833142857142857,0.0447052731672849,0.0
3,"[0.3080557584762573, 0.1889941245317459, 0.16607385873794556, 0.16138547658920288, 0.17549078166484833]","[1.874215841293335, 1.7609081268310547, 2.041802406311035, 3.5730581283569336, 2.067141056060791]","[0.8560698628425598, 0.5252041816711426, 0.46151003241539, 0.4484812617301941, 0.487679123878479]","[1.8738994598388672, 1.7605589628219604, 2.0406031608581543, 3.572669506072998, 2.0663938522338867]","[0.00031650709570385516, 0.0003494417469482869, 0.0011994859669357538, 0.000389315391657874, 0.0007466769893653691]",,,0.0,1,,8.051961898803711,150.1614990234375,"[0.25013641, 0.23501414, 0.27250281, 0.47686711, 0.27588457]",0.5974857142857143,0.1793434942816805,0.0
4,"[0.3017672002315521, 0.18786849081516266, 0.1644071787595749, 0.16927137970924377, 0.17668578028678894]","[2.0949158668518066, 1.7158796787261963, 1.4010024070739746, 2.8595385551452637, 1.9463448524475098]","[0.8059646487236023, 0.5017621517181396, 0.43910130858421326, 0.452092707157135, 0.4718952178955078]","[2.093388795852661, 1.7116187810897827, 1.4014867544174194, 2.8542799949645996, 1.9435043334960938]","[0.0015270168660208583, 0.004260855261236429, -0.00048476728261448443, 0.0052588097751140594, 0.0028404127806425095]",,,0.0,4,,10.319445610046387,98.81867980957031,"[0.35501802, 0.29078409, 0.23742296, 0.48459595, 0.32984021]",0.35222857142857145,0.090028425536196,0.0
5,"[0.2976294159889221, 0.1864752620458603, 0.16519708931446075, 0.17371098697185516, 0.17698729038238525]","[2.0659263134002686, 1.4742438793182373, 1.6096137762069702, 2.2338600158691406, 1.642782211303711]","[0.7584778070449829, 0.4752129316329956, 0.42098769545555115, 0.44268447160720825, 0.4510338008403778]","[2.06593656539917, 1.474473237991333, 1.6087799072265625, 2.233219623565674, 1.6428494453430176]","[-1.0502454642846715e-05, -0.00022949533013161272, 0.0008338551269844174, 0.0006401239079423249, -6.666892295470461e-05]",,,0.0,4,,10.834019660949707,102.64996337890625,"[0.33109644, 0.23627023, 0.25796536, 0.35801041, 0.26328111]",0.5235809523809524,0.034204617603128096,0.0
6,"[0.2857663333415985, 0.18798710405826569, 0.16759519279003143, 0.17907632887363434, 0.17957495152950287]","[1.5454671382904053, 1.9677915573120117, 1.861567497253418, 2.275270938873291, 1.996485710144043]","[0.7173475623130798, 0.47189635038375854, 0.4207073748111725, 0.4495279788970947, 0.45077967643737793]","[1.545598030090332, 1.968557596206665, 1.8619860410690308, 2.2748422622680664, 1.9981794357299805]","[-0.00013090517313685268, -0.0007660074043087661, -0.00041868124390020967, 0.00042861909605562687, -0.001693430356681347]",,,0.0,1,,9.521848678588867,118.28982543945312,"[0.34717554, 0.442047, 0.4181847, 0.51111954, 0.44849288]",0.4261333333333333,0.12155024895388589,0.0
7,"[0.27935007214546204, 0.18900838494300842, 0.16772402822971344, 0.1819739043712616, 0.18194365501403809]","[1.0321872234344482, 1.3321363925933838, 1.090242624282837, 1.5087976455688477, 1.4460978507995605]","[0.6653444170951843, 0.4501723051071167, 0.39947810769081116, 0.4334178864955902, 0.43334582448005676]","[1.0326709747314453, 1.3313615322113037, 1.0916376113891602, 1.5084445476531982, 1.4476733207702637]","[-0.00048380691441707313, 0.0007748361094854772, -0.0013949265703558922, 0.0003530890680849552, -0.0015755019849166274]",,,0.0,5,,11.993579864501953,176.3980255126953,"[0.19731666, 0.25465602, 0.20841473, 0.28842723, 0.27644131]",0.5785142857142858,0.18500313738367824,0.0
8,"[0.2699269950389862, 0.19139285385608673, 0.17075452208518982, 0.18402661383152008, 0.1838989555835724]","[0.4076901078224182, 0.9379055500030518, 0.9014043211936951, 0.884631335735321, 0.8771499395370483]","[0.6110209822654724, 0.4332469701766968, 0.38652893900871277, 0.41657236218452454, 0.41628339886665344]","[0.4054291248321533, 0.9380315542221069, 0.9011368751525879, 0.8840493559837341, 0.875522792339325]","[0.0022609997540712357, -0.00012601148046087474, 0.0002674885035958141, 0.0005819887737743556, 0.0016272403299808502]",,,0.0,5,,15.90955638885498,154.75250244140625,"[0.12211029, 0.28091905, 0.2699863, 0.26496249, 0.26272169]",0.4097142857142857,0.33398948985453664,0.0
9,"[0.2664865553379059, 0.18828819692134857, 0.16804759204387665, 0.18955141305923462, 0.18762622773647308]","[1.1148018836975098, 0.7293697595596313, 0.656499981880188, 1.4827650785446167, 1.3170223236083984]","[0.5761663317680359, 0.40709492564201355, 0.3633330166339874, 0.4098260998725891, 0.4056636691093445]","[1.1093902587890625, 0.7230015993118286, 0.6487155556678772, 1.4726637601852417, 1.3067643642425537]","[0.005411576014012098, 0.0063682133331894875, 0.007784430868923664, 0.010101484134793282, 0.010257950983941555]",,,0.0,5,,14.646388053894043,153.23135375976562,"[0.2624746, 0.17172651, 0.15456967, 0.34910971, 0.3100864]",0.6206476190476191,0.1616443001686731,0.0
10,"[0.25634658336639404, 0.19140328466892242, 0.17083872854709625, 0.19194990396499634, 0.18946143984794617]","[0.1532163769006729, 0.597191572189331, 0.5335145592689514, 0.5661202073097229, 0.5347381234169006]","[0.5251487493515015, 0.3921066224575043, 0.3499782979488373, 0.39322641491889954, 0.3881285786628723]","[0.15135326981544495, 0.5953351259231567, 0.5334702134132385, 0.5666265487670898, 0.5338685512542725]","[0.0018631309503689408, 0.0018564242636784911, 4.4339965825201944e-05, -0.0005063703865744174, 0.0008695241413079202]",,,0.0,5,,14.528663635253906,119.65096282958984,"[0.06599067, 0.25721189, 0.22978605, 0.24382938, 0.23031303]",0.47504761904761905,0.07734780727564783,0.0
