round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.07081986963748932, 0.23555989563465118, 0.19186291098594666, 0.23978541791439056, 0.26197192072868347]",,,,,,,,,,,,,0.6252190476190476,0.03832954336257649,0.0
2,"[0.22307664155960083, 0.22044797241687775, 0.14387884736061096, 0.209242045879364, 0.20335452258586884]",,,,,,,,,,,,,0.6152380952380953,0.15000043466873803,0.0
3,"[0.2197265475988388, 0.2277315855026245, 0.13076359033584595, 0.2205735445022583, 0.20120474696159363]",,,,,,,,,,,,,0.6297904761904761,0.2523418084013547,0.0
4,"[0.18864479660987854, 0.20370201766490936, 0.14354418218135834, 0.22807559370994568, 0.23603340983390808]",,,,,,,,,,,,,0.6507428571428572,0.29092162213142186,0.0
5,"[0.17182894051074982, 0.20187202095985413, 0.17223581671714783, 0.1905858963727951, 0.2634773850440979]",,,,,,,,,,,,,0.6732952380952382,0.3005372808710825,0.0
6,"[0.17234785854816437, 0.18717123568058014, 0.1717180609703064, 0.22197915613651276, 0.24678370356559753]",,,,,,,,,,,,,0.6876190476190476,0.30486819652099656,0.0
7,"[0.21161018311977386, 0.15716885030269623, 0.17961575090885162, 0.23759885132312775, 0.21400637924671173]",,,,,,,,,,,,,0.6860190476190478,0.3317875184341443,0.0
8,"[0.16329032182693481, 0.169086754322052, 0.18922102451324463, 0.2555428147315979, 0.22285911440849304]",,,,,,,,,,,,,0.6959238095238095,0.3260832914166801,0.0
9,"[0.1856369823217392, 0.18845054507255554, 0.20006874203681946, 0.21510270237922668, 0.21074099838733673]",,,,,,,,,,,,,0.6936380952380953,0.3417770384492093,0.0
10,"[0.17025378346443176, 0.1425657570362091, 0.21628159284591675, 0.26276853680610657, 0.20813030004501343]",,,,,,,,,,,,,0.6956190476190477,0.34353171668215904,0.0
11,"[0.16107088327407837, 0.16630145907402039, 0.2053365558385849, 0.24581091105937958, 0.22148017585277557]",,,,,,,,,,,,,0.7062857142857143,0.33639531657843896,0.0
12,"[0.2029225081205368, 0.1661834567785263, 0.16203130781650543, 0.21162761747837067, 0.2572351098060608]",,,,,,,,,,,,,0.6956190476190476,0.37620935874150324,0.0
13,"[0.0936596617102623, 0.22957223653793335, 0.2507040202617645, 0.20977884531021118, 0.21628522872924805]",,,,,,,,,,,,,0.7132190476190475,0.3271216509329765,0.0
14,"[0.23718875646591187, 0.17419478297233582, 0.16124294698238373, 0.22674788534641266, 0.20062565803527832]",,,,,,,,,,,,,0.6840380952380952,0.3996596180125596,0.0
15,"[0.11081155389547348, 0.1828482747077942, 0.23400834202766418, 0.2630361318588257, 0.20929567515850067]",,,,,,,,,,,,,0.7085714285714285,0.3400632406198395,0.0
16,"[0.23776325583457947, 0.14044125378131866, 0.1938720941543579, 0.23303240537643433, 0.1948910355567932]",,,,,,,,,,,,,0.6838857142857143,0.3997545229891241,0.0
17,"[0.14909397065639496, 0.20698854327201843, 0.2270364612340927, 0.25422465801239014, 0.16265632212162018]",,,,,,,,,,,,,0.7001904761904761,0.37190922396500486,0.0
18,"[0.16858480870723724, 0.2303784191608429, 0.20245622098445892, 0.21691474318504333, 0.18166586756706238]",,,,,,,,,,,,,0.696304761904762,0.37627622562056023,0.0
19,"[0.19311107695102692, 0.18315225839614868, 0.25342822074890137, 0.2076595425605774, 0.16264887154102325]",,,,,,,,,,,,,0.6904380952380953,0.38701292426506845,0.0
20,"[0.15789426863193512, 0.18255747854709625, 0.22784417867660522, 0.23015746474266052, 0.20154662430286407]",,,,,,,,,,,,,0.6950095238095239,0.36847887288006526,0.0
