round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.22631219029426575, 0.2150174081325531, 0.12158983945846558, 0.25140219926834106, 0.1856784075498581]",,,,,,,,,,,,,0.64,0.0044210646929365716,0.0
2,"[0.23345381021499634, 0.21880267560482025, 0.1167168989777565, 0.24443016946315765, 0.18659652769565582]",,,,,,,,,,,,,0.6549333333333333,0.002643997149632704,0.0
3,"[0.22729767858982086, 0.22517773509025574, 0.1262524574995041, 0.241759791970253, 0.17951233685016632]",,,,,,,,,,,,,0.6669714285714287,0.008903928389412341,0.0
4,"[0.24473761022090912, 0.22549620270729065, 0.1357199251651764, 0.205338254570961, 0.18870794773101807]",,,,,,,,,,,,,0.6682666666666667,0.003477661597185544,0.0
5,"[0.20952802896499634, 0.21444940567016602, 0.1467861831188202, 0.20888833701610565, 0.2203480452299118]",,,,,,,,,,,,,0.6734476190476191,0.0005277382900540362,0.0
6,"[0.17671164870262146, 0.2314215451478958, 0.18817263841629028, 0.2016625553369522, 0.20203161239624023]",,,,,,,,,,,,,0.6816761904761905,0.00033925389510558457,0.0
7,"[0.22023531794548035, 0.19891758263111115, 0.19693031907081604, 0.18114981055259705, 0.202767014503479]",,,,,,,,,,,,,0.6852571428571429,0.002463113293330821,0.0
8,"[0.17228111624717712, 0.20830075442790985, 0.2517623007297516, 0.14815038442611694, 0.21950548887252808]",,,,,,,,,,,,,0.688,0.007373160253582367,0.0
9,"[0.1887570172548294, 0.21193093061447144, 0.2237107753753662, 0.15422214567661285, 0.22137905657291412]",,,,,,,,,,,,,0.6870095238095238,0.012879085188705952,0.0
10,"[0.20451794564723969, 0.21667802333831787, 0.2108355462551117, 0.14943280816078186, 0.21853572130203247]",,,,,,,,,,,,,0.6863238095238096,0.013839041453771017,0.0
11,"[0.17759424448013306, 0.17716066539287567, 0.23798635601997375, 0.18885859847068787, 0.21840015053749084]",,,,,,,,,,,,,0.689752380952381,0.010564828700805662,0.0
12,"[0.2157101184129715, 0.2067292034626007, 0.2234749048948288, 0.15120036900043488, 0.20288535952568054]",,,,,,,,,,,,,0.6841904761904762,0.0026565655954321477,0.0
13,"[0.169046089053154, 0.19337959587574005, 0.24480870366096497, 0.15630550682544708, 0.23646003007888794]",,,,,,,,,,,,,0.6855619047619048,0.014092054156430667,0.0
14,"[0.1904967576265335, 0.2092519998550415, 0.24232955276966095, 0.1556052565574646, 0.20231641829013824]",,,,,,,,,,,,,0.6879238095238095,0.000942485510475155,0.0
15,"[0.17618496716022491, 0.20292438566684723, 0.24179178476333618, 0.19939197599887848, 0.1797069013118744]",,,,,,,,,,,,,0.685104761904762,0.008747499744255594,0.0
16,"[0.2409106343984604, 0.204020693898201, 0.24870727956295013, 0.0621846541762352, 0.2441767454147339]",,,,,,,,,,,,,0.6773333333333333,0.007889026213209416,0.0
17,"[0.1471031755208969, 0.20551656186580658, 0.24458569288253784, 0.2142435759305954, 0.18855099380016327]",,,,,,,,,,,,,0.6861714285714285,0.00838086541077021,0.0
18,"[0.2216425985097885, 0.1839013695716858, 0.20947127044200897, 0.16869139671325684, 0.2162933498620987]",,,,,,,,,,,,,0.6831238095238095,0.005950610884715268,0.0
19,"[0.19537952542304993, 0.2022784948348999, 0.28972238302230835, 0.1712571233510971, 0.1413625031709671]",,,,,,,,,,,,,0.6966857142857142,0.025677625959583228,0.0
20,"[0.24304763972759247, 0.20152582228183746, 0.21202445030212402, 0.0791783481836319, 0.26422375440597534]",,,,,,,,,,,,,0.6664380952380953,0.00489865904080955,0.0
