round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.4350651800632477, 0.15887540578842163, 0.09856085479259491, 0.16059288382530212, 0.14690576493740082]",,,,,,,,,,,,,0.5990857142857143,0.07237542785723325,0.0
2,"[0.2484481781721115, 0.17034468054771423, 0.19726307690143585, 0.19793102145195007, 0.18601307272911072]",,,,,,,,,,,,,0.5945904761904762,0.0024642532132677086,0.0
3,"[0.2617867588996887, 0.21893413364887238, 0.18171902000904083, 0.15274330973625183, 0.18481674790382385]",,,,,,,,,,,,,0.504152380952381,0.02775920717157848,0.0
4,"[0.25727084279060364, 0.17115063965320587, 0.18457168340682983, 0.19994619488716125, 0.1870606392621994]",,,,,,,,,,,,,0.6931047619047619,0.039755188368514105,0.0
5,"[0.2879089415073395, 0.22284017503261566, 0.17114323377609253, 0.14718905091285706, 0.1709185540676117]",,,,,,,,,,,,,0.5382095238095238,0.046907293379873816,0.0
6,"[0.2541379928588867, 0.1720588058233261, 0.17891831696033478, 0.19860263168811798, 0.19628220796585083]",,,,,,,,,,,,,0.7065142857142858,0.049744984313854435,0.0
7,"[0.33612385392189026, 0.20997537672519684, 0.15937376022338867, 0.14114555716514587, 0.15338151156902313]",,,,,,,,,,,,,0.5801142857142857,0.024697981539859054,0.0
8,"[0.26335206627845764, 0.15528324246406555, 0.19221073389053345, 0.19439686834812164, 0.19475702941417694]",,,,,,,,,,,,,0.7414857142857142,0.06489720335035853,0.0
9,"[0.372907817363739, 0.2028505653142929, 0.15997950732707977, 0.14579269289970398, 0.11846943199634552]",,,,,,,,,,,,,0.6011428571428572,0.012390005640433507,0.0
10,"[0.2598874270915985, 0.17228300869464874, 0.18693706393241882, 0.19288398325443268, 0.18800850212574005]",,,,,,,,,,,,,0.6707047619047619,0.13297087742270064,0.0
11,"[0.47555598616600037, 0.16602295637130737, 0.1628263294696808, 0.08872520178556442, 0.10686955600976944]",,,,,,,,,,,,,0.664457142857143,0.000538982079532041,0.0
12,"[0.26174429059028625, 0.16653117537498474, 0.19063585996627808, 0.1920994371175766, 0.1889892816543579]",,,,,,,,,,,,,0.7384380952380953,0.08087916337575635,0.0
13,"[0.5212862491607666, 0.08453910797834396, 0.15483184158802032, 0.13459669053554535, 0.10474609583616257]",,,,,,,,,,,,,0.5878857142857142,0.20940887389471147,0.0
14,"[0.3323943018913269, 0.1837111860513687, 0.21152059733867645, 0.1378738433122635, 0.13450010120868683]",,,,,,,,,,,,,0.6505904761904763,0.03280709887375488,0.0
15,"[0.4678797125816345, 0.18478479981422424, 0.11298291385173798, 0.08607667684555054, 0.1482759565114975]",,,,,,,,,,,,,0.6400761904761905,0.12129067056733245,0.0
16,"[0.27692165970802307, 0.16175533831119537, 0.18129657208919525, 0.18797697126865387, 0.19204945862293243]",,,,,,,,,,,,,0.6735619047619048,0.09918398211210899,0.0
17,"[0.3278209865093231, 0.1981082260608673, 0.1703805774450302, 0.1475321352481842, 0.15615804493427277]",,,,,,,,,,,,,0.6456380952380952,0.02294707688708794,0.0
18,"[0.26105496287345886, 0.17862164974212646, 0.17881128191947937, 0.19407743215560913, 0.18743467330932617]",,,,,,,,,,,,,0.6922666666666666,0.12836870497337516,0.0
19,"[0.4304947257041931, 0.17079928517341614, 0.16033773124217987, 0.10343843698501587, 0.1349298357963562]",,,,,,,,,,,,,0.645104761904762,0.00880513742033067,0.0
20,"[0.2619670033454895, 0.1774628609418869, 0.18050050735473633, 0.19500362873077393, 0.18506601452827454]",,,,,,,,,,,,,0.706895238095238,0.07348816228220667,0.0
