round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.8678318858146667, 0.050029002130031586, 0.08213909715414047, 0.0, 0.0]",,,,,,,,,,,,,0.43504761904761907,0.002810920706782522,0.0
2,"[1.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,0.500304761904762,5.955300917184063e-29,0.0
3,"[1.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,0.500304761904762,5.95173823320403e-29,0.0
4,"[1.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,0.500304761904762,5.948126157733856e-29,0.0
5,"[1.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,0.500304761904762,5.944521621589952e-29,0.0
6,"[1.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,0.500304761904762,5.940918141383586e-29,0.0
7,"[1.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,0.500304761904762,5.937359114469444e-29,0.0
8,"[1.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,0.500304761904762,5.933826344695822e-29,0.0
9,"[1.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,0.500304761904762,5.930247800048377e-29,0.0
10,"[1.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,0.500304761904762,5.926666569389758e-29,0.0
11,"[0.5930269956588745, 0.0, 0.0, 0.4069729745388031, 0.0]",,,,,,,,,,,,,0.500304761904762,5.926811991333544e-29,0.0
12,"[1.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,0.500304761904762,5.923270209012451e-29,0.0
13,"[1.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,0.500304761904762,5.919712688445403e-29,0.0
14,"[1.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,0.500304761904762,5.916124726518088e-29,0.0
15,"[1.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,0.500304761904762,5.912525808034972e-29,0.0
16,"[1.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,0.500304761904762,5.908975219006719e-29,0.0
17,"[1.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,0.500304761904762,5.905443905138011e-29,0.0
18,"[0.13578997552394867, 0.0, 0.0, 0.6723986268043518, 0.19181141257286072]",,,,,,,,,,,,,0.500304761904762,5.915557670882585e-29,0.0
19,"[1.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,0.500304761904762,5.911975983512145e-29,0.0
20,"[1.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,0.500304761904762,5.908448835005657e-29,0.0
