round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.32476478815078735, 0.04126213490962982, 0.0, 0.30431118607521057, 0.3296619951725006]","[0.1266271024942398, 0.016088273376226425, -0.0026034796610474586, 0.11865215748548508, 0.12853653728961945]","[0.49919983744621277, 0.06342452019453049, -0.010263652540743351, 0.4677603542804718, 0.506727397441864]","[0.126311257481575, 0.015957077965140343, -0.002536630257964134, 0.1188378632068634, 0.12832072377204895]","[0.00031584096723236144, 0.00013121282972861081, -6.68642605887726e-05, -0.00018570697284303606, 0.00021583191119134426]",,,0.0,0,,6.29165506362915,6.401373863220215,"[0.49919984, 0.06342452, -0.01026365, 0.46776035, 0.5067274]",0.625295238095238,0.004137909251998861,0.0
2,"[0.3198992908000946, 0.054043371230363846, 0.029098952189087868, 0.28072261810302734, 0.31623581051826477]","[0.13942617177963257, 0.08592687547206879, 0.1787501722574234, 0.033771634101867676, 0.09832211583852768]","[0.4913468062877655, 0.08300749212503433, 0.04469430819153786, 0.431173712015152, 0.4857199192047119]","[0.1356140524148941, 0.0863254964351654, 0.1744941622018814, 0.03052496537566185, 0.0993666797876358]","[0.0038120963145047426, -0.00039862474659457803, 0.004255970474332571, 0.0032466587144881487, -0.0010445648804306984]",,,0.0,0,,6.175255298614502,6.278137683868408,"[0.42066959, 0.25925422, 0.53931594, 0.10189406, 0.2966525]",0.7045333333333332,0.07536714707074177,0.0
3,"[0.318132221698761, 0.05046144127845764, 0.03156644105911255, 0.27505162358283997, 0.32478827238082886]","[-0.010989784263074398, -0.013513904064893723, 0.008331520482897758, -0.024272628128528595, 0.025702418759465218]","[0.43795090913772583, 0.06946682184934616, 0.04345536231994629, 0.37864479422569275, 0.44711384177207947]","[-0.011161575093865395, -0.013663582503795624, 0.00835253857076168, -0.02429771050810814, 0.025557294487953186]","[0.0001717884442768991, 0.00014967894821893424, -2.1005927919759415e-05, 2.5071309210034087e-05, 0.00014514428039547056]",,,0.0,0,,6.028853416442871,6.158956527709961,"[-0.04261207, -0.05239916, 0.03230485, -0.09411532, 0.09965922]",0.6951619047619048,0.03262201640877116,0.0
4,"[0.31077831983566284, 0.053264398127794266, 0.056951504200696945, 0.25535911321640015, 0.3236466646194458]","[0.050478652119636536, 0.02714483067393303, 0.13091756403446198, -0.02064749412238598, 0.08222821354866028]","[0.407897412776947, 0.06990966945886612, 0.07474900782108307, 0.3351595401763916, 0.42478713393211365]","[0.05098633095622063, 0.027518274262547493, 0.12901896238327026, -0.02180933952331543, 0.08311639726161957]","[-0.000507680291775614, -0.00037344099837355316, 0.001898625516332686, 0.001161866937763989, -0.0008881708490662277]",,,0.0,0,,6.023947238922119,6.113519191741943,"[0.13741608, 0.07389532, 0.35639182, -0.05620787, 0.22384669]",0.7132190476190476,0.005165512691883367,0.0
5,"[0.3127962052822113, 0.05418429523706436, 0.06466934084892273, 0.24597789347171783, 0.32237228751182556]","[0.004691194277256727, 0.0028836398851126432, 0.027479320764541626, -0.036137040704488754, -0.007344033569097519]","[0.36863377690315247, 0.06385678797960281, 0.0762135311961174, 0.2898876667022705, 0.37991929054260254]","[0.004214432090520859, 0.0034630796872079372, 0.026236653327941895, -0.036042384803295135, -0.0061790053732693195]","[0.00047675726818852127, -0.0005794460885226727, 0.0012426764005795121, -9.466875781072304e-05, -0.0011650407686829567]",,,0.0,0,,6.041390419006348,6.079724311828613,"[0.01526113, 0.0093809, 0.08939421, -0.11755902, -0.0238912]",0.6843428571428571,0.026001212790777162,0.0
6,"[0.3023431599140167, 0.06076354533433914, 0.09074069559574127, 0.23406413197517395, 0.3120884299278259]","[0.005440066568553448, 0.03936830163002014, 0.13042888045310974, -0.012638893909752369, 0.0078472550958395]","[0.33307892084121704, 0.06694068014621735, 0.09996526688337326, 0.2578587532043457, 0.3438149094581604]","[0.005963755771517754, 0.03931419551372528, 0.1290113776922226, -0.014482881873846054, 0.008667292073369026]","[-0.0005236901924945414, 5.408678771345876e-05, 0.0014174599200487137, 0.0018440030980855227, -0.0008200266747735441]",,,0.0,0,,6.004411220550537,6.1067962646484375,"[0.01308542, 0.09469569, 0.3137309, -0.03040133, 0.01887562]",0.715352380952381,0.007364750594860303,0.0
7,"[0.294218510389328, 0.07013209909200668, 0.1104779839515686, 0.221114844083786, 0.3040565550327301]","[0.003020242787897587, 0.051473893225193024, 0.103439562022686, -0.028452973812818527, 0.004757269751280546]","[0.3004380464553833, 0.07161463052034378, 0.11281339079141617, 0.22578902542591095, 0.31048405170440674]","[0.00238155759871006, 0.051435235887765884, 0.10168924927711487, -0.029765047132968903, 0.0051116435788571835]","[0.0006386871682479978, 3.8665813917759806e-05, 0.001750368275679648, 0.001312084379605949, -0.00035438156919553876]",,,0.0,0,,6.005744934082031,6.169472694396973,"[0.00667021, 0.11368019, 0.22844647, -0.06283845, 0.01050644]",0.7093333333333334,0.07034865895271769,0.0
8,"[0.2989985942840576, 0.08210170269012451, 0.12235072255134583, 0.20314712822437286, 0.29340195655822754]","[0.048880480229854584, 0.07038320600986481, 0.07300613820552826, -0.08018417656421661, -0.034053344279527664]","[0.278798907995224, 0.07655509561300278, 0.11408498138189316, 0.18942296504974365, 0.2735803723335266]","[0.048990607261657715, 0.07045073062181473, 0.07296910136938095, -0.08023591339588165, -0.03380222246050835]","[-0.00011013205221388489, -6.751566979801282e-05, 3.7041732866782695e-05, 5.173003228264861e-05, -0.0002511137572582811]",,,0.0,0,,6.047542572021484,6.190959453582764,"[0.0840468, 0.12101933, 0.12552929, -0.13787146, -0.0585525]",0.6989714285714286,0.0023725886635379556,0.0
9,"[0.2985500991344452, 0.09358642995357513, 0.12324424088001251, 0.1887732446193695, 0.29584595561027527]","[0.062015973031520844, 0.0759945660829544, 0.030848193913698196, -0.029333382844924927, 0.0755058079957962]","[0.26161709427833557, 0.08200904726982117, 0.10799795389175415, 0.1654205024242401, 0.25924748182296753]","[0.06014126539230347, 0.07579876482486725, 0.02838825061917305, -0.030803080648183823, 0.07491254806518555]","[0.0018747050780802965, 0.00019579350191634148, 0.0024599337484687567, 0.0014696953585371375, 0.0005932647036388516]",,,0.0,0,,6.048027038574219,6.26479959487915,"[0.10698078, 0.13109457, 0.05321474, -0.05060161, 0.13025145]",0.7273142857142857,0.08553371712294411,0.0
10,"[0.3045298159122467, 0.10640491545200348, 0.13206464052200317, 0.17254088819026947, 0.2844596803188324]","[0.03279823809862137, 0.06461839377880096, 0.04507669806480408, -0.07862813025712967, -0.05345224216580391]","[0.2406761348247528, 0.08409397304058075, 0.10437338054180145, 0.13636258244514465, 0.2248142957687378]","[0.032668352127075195, 0.06440652906894684, 0.04545930027961731, -0.07869762182235718, -0.053758472204208374]","[0.00012988732487428933, 0.00021189276594668627, -0.00038258437416516244, 6.948834197828546e-05, 0.0003062276809941977]",,,0.0,0,,6.033689975738525,6.217405319213867,"[0.05220762, 0.10285835, 0.07175224, -0.12515879, -0.08508428]",0.6856380952380953,0.03297719937961907,0.0
