round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.43381547927856445, 0.03459828719496727, 0.0, 0.25516483187675476, 0.276421457529068]","[0.2017250657081604, 0.016088273376226425, -0.0026034796610474586, 0.11865215748548508, 0.12853653728961945]","[0.7952572703361511, 0.06342452019453049, -0.010263652540743351, 0.4677603542804718, 0.506727397441864]","[0.20122194290161133, 0.015957077965140343, -0.002536630257964134, 0.1188378632068634, 0.12832072377204895]","[0.0005031548789702356, 0.00013121282972861081, -6.68642605887726e-05, -0.00018570697284303606, 0.00021583191119134426]",,,0.0,1,,6.327268600463867,62.77211380004883,"[0.79525727, 0.06342452, -0.01026365, 0.46776035, 0.5067274]",nan,nan,1.0
2,"[0.43381547927856445, 0.03459828719496727, 0.0, 0.25516483187675476, 0.276421457529068]","[nan, nan, nan, nan, nan]","[0.7952572703361511, 0.06342452019453049, -0.010263652540743351, 0.4677603542804718, 0.506727397441864]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",,,1.0,1,,7.396260738372803,73.50212097167969,"[nan, nan, nan, nan, nan]",0.6272761904761905,0.0986608980884831,0.0
3,"[0.41247639060020447, 0.049049872905015945, 0.014334688894450665, 0.2505994737148285, 0.27353960275650024]","[1.0273470878601074, 1.2887166738510132, 1.4553494453430176, 1.2008888721466064, 1.4551095962524414]","[0.7404163479804993, 0.08804704248905182, 0.02573150396347046, 0.4498389661312103, 0.4910176694393158]","[1.0248456001281738, 1.286134958267212, 1.4487934112548828, 1.1959842443466187, 1.4535471200942993]","[0.0025014879647642374, 0.0025819370057433844, 0.00655607832595706, 0.004904541652649641, 0.0015622942009940743]",,,0.0,2,,9.349337577819824,122.92340850830078,"[0.24684849, 0.30964974, 0.34968787, 0.28854668, 0.34963024]",0.4608761904761905,0.029763709144671302,0.0
4,"[0.40426912903785706, 0.05381525307893753, 0.02001390978693962, 0.24777325987815857, 0.27412840723991394]","[0.44104766845703125, 0.4017215371131897, 0.37817347049713135, 0.3993658125400543, 0.6594140529632568]","[0.6785432696342468, 0.09032590687274933, 0.033592235296964645, 0.415873646736145, 0.46010926365852356]","[0.43950703740119934, 0.40084800124168396, 0.3773151636123657, 0.3991244435310364, 0.6567592620849609]","[0.0015406353631988168, 0.0008735726587474346, 0.0008582739974372089, 0.0002413343172520399, 0.0026548055466264486]",,,0.0,5,,14.831679344177246,167.05511474609375,"[0.12168593, 0.11083577, 0.10433881, 0.11018582, 0.18193366]",0.4502095238095238,0.04976863566871159,0.0
5,"[0.39319875836372375, 0.06738559901714325, 0.030942032113671303, 0.23951539397239685, 0.26895812153816223]","[1.205578327178955, 0.9955196380615234, 0.6966831684112549, 0.6571332812309265, 0.9471668004989624]","[0.6463947892189026, 0.11077781021595001, 0.05086681246757507, 0.3937487006187439, 0.442150741815567]","[1.2053368091583252, 0.9955613017082214, 0.6979544162750244, 0.6566787958145142, 0.9462596774101257]","[0.0002414207992842421, -4.176803122390993e-05, -0.0012712478637695312, 0.0004545320407487452, 0.0009071173262782395]",,,0.0,5,,14.0680570602417,160.56661987304688,"[0.35705847, 0.29484499, 0.206338, 0.19462444, 0.28052422]",0.6137142857142857,0.08959860016872684,0.0
6,"[0.3849230408668518, 0.06935542076826096, 0.03794869780540466, 0.24082839488983154, 0.26694440841674805]","[0.24174995720386505, 0.16278256475925446, 0.2933080196380615, 0.3748476505279541, 0.2959917485713959]","[0.5921383500099182, 0.10669147223234177, 0.05837759003043175, 0.37047335505485535, 0.410648375749588]","[0.24051201343536377, 0.1613939106464386, 0.29252195358276367, 0.3731345534324646, 0.2939050793647766]","[0.001237968448549509, 0.0013886649394407868, 0.0007860916666686535, 0.0017131032655015588, 0.002086646156385541]",,,0.0,5,,19.32307243347168,176.89947509765625,"[0.10383064, 0.06991446, 0.12597461, 0.16099556, 0.12712726]",0.7001142857142858,0.10613182143707522,0.0
7,"[0.38085874915122986, 0.08659558743238449, 0.04571868106722832, 0.23127132654190063, 0.2555555999279022]","[0.6014237403869629, 0.8634352087974548, 0.4025644063949585, 0.08159583061933517, 0.05702963471412659]","[0.5537377595901489, 0.1259029656648636, 0.06647125631570816, 0.33624976873397827, 0.3715571165084839]","[0.6011568903923035, 0.8632153868675232, 0.40286096930503845, 0.08136788010597229, 0.056727297604084015]","[0.00026680526207201183, 0.00021987900254316628, -0.000296584126772359, 0.00022792609524913132, 0.0003023316676262766]",,,0.0,5,,14.954985618591309,160.96502685546875,"[0.20813291, 0.29880643, 0.13931425, 0.02823762, 0.01973607]",0.35420952380952375,0.007961308718411164,0.0
8,"[0.3717450797557831, 0.08910421282052994, 0.05120827630162239, 0.23206603527069092, 0.25587642192840576]","[0.34017670154571533, 0.28606224060058594, 0.3408070206642151, 0.49493202567100525, 0.5215087532997131]","[0.5085780620574951, 0.12190195173025131, 0.07005716860294342, 0.3174855709075928, 0.3500601649284363]","[0.3399512469768524, 0.2859531342983246, 0.3403914272785187, 0.4945225715637207, 0.5208309888839722]","[0.00022543617524206638, 0.00010910239507211372, 0.0004155533970333636, 0.00040945931687019765, 0.0006777980597689748]",,,0.0,5,,21.516386032104492,292.24932861328125,"[0.10214117, 0.08589281, 0.10233043, 0.14860788, 0.15658778]",0.6177523809523809,0.09918952800815828,0.0
9,"[0.3666796088218689, 0.09875168651342392, 0.05596088990569115, 0.22904635965824127, 0.24956145882606506]","[0.8355971574783325, 0.8835396766662598, 0.45796269178390503, 0.5305949449539185, 0.3972322344779968]","[0.4749249815940857, 0.12790361046791077, 0.07248078286647797, 0.2966618239879608, 0.32323306798934937]","[0.8344666361808777, 0.8835668563842773, 0.45705997943878174, 0.5299023389816284, 0.3971370458602905]","[0.0011305345688015223, -2.7105725166620687e-05, 0.000902724452316761, 0.0006926888017915189, 9.516089630778879e-05]",,,0.0,5,,25.663253784179688,178.0746612548828,"[0.17204735, 0.18191859, 0.09429336, 0.10924815, 0.08178911]",0.45150476190476185,0.09098289887045935,0.0
10,"[0.35339710116386414, 0.10705015808343887, 0.06728199124336243, 0.2251667082309723, 0.24710401892662048]","[0.40845611691474915, 0.6105336546897888, 0.6249339580535889, 0.44131985306739807, 0.5554366111755371]","[0.43948426842689514, 0.13312746584415436, 0.08367180824279785, 0.28001707792282104, 0.30729830265045166]","[0.4084979295730591, 0.6107642650604248, 0.6249154806137085, 0.441514790058136, 0.5560539960861206]","[-4.182852717349306e-05, -0.00023061914544086903, 1.8493028619559482e-05, -0.00019491625425871462, -0.0006174242007546127]",,,0.0,5,,20.2747859954834,350.31854248046875,"[0.12051781, 0.18014218, 0.18439108, 0.13021448, 0.16388541]",0.4445714285714286,0.04060203030252285,0.0
