round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.0, 0.30787116289138794, 0.14894145727157593, 0.3382577896118164, 0.20492954552173615]","[-0.29193994402885437, 0.26601260900497437, 0.1286911815404892, 0.2922678291797638, 0.17706705629825592]","[-0.8518796563148499, 0.7762237787246704, 0.37552037835121155, 0.8528364300727844, 0.5166810154914856]","[-0.29217541217803955, 0.2633762061595917, 0.1285085380077362, 0.2884959578514099, 0.17680366337299347]","[0.00023542321287095547, 0.002636358141899109, 0.00018264329992234707, 0.0037718273233622313, 0.00026333212736062706]",,,0.0,1,,6.368542671203613,63.13842010498047,"[-0.85187966, 0.77622378, 0.37552038, 0.85283643, 0.51668102]",0.6873904761904762,0.0604044384580017,0.0
2,"[0.0, 0.30146288871765137, 0.17329661548137665, 0.3320271968841553, 0.1932133585214615]","[-0.24129825830459595, 0.01314527913928032, 0.21353816986083984, 0.02055608108639717, -0.04747266322374344]","[-0.8412246704101562, 0.7026616930961609, 0.40392667055130005, 0.7739022374153137, 0.4503493905067444]","[-0.24134467542171478, 0.01264532096683979, 0.2142600268125534, 0.02038884535431862, -0.04842923581600189]","[4.639441249310039e-05, 0.0004999400116503239, -0.0007218215032480657, 0.00016723184671718627, 0.0009565984946675599]",,,0.0,1,,6.238863468170166,61.322044372558594,"[-0.74532962, 0.04060355, 0.65958339, 0.06349427, -0.14663506]",0.7280761904761904,0.06699885944655626,0.0
3,"[0.0, 0.3046497404575348, 0.18575982749462128, 0.32337966561317444, 0.18621066212654114]","[-0.11483848839998245, 0.1231732964515686, 0.14266519248485565, 0.05348609387874603, 0.017805468291044235]","[-0.7946138381958008, 0.6726296544075012, 0.4101351499557495, 0.7139830589294434, 0.41113054752349854]","[-0.11398886889219284, 0.1226864755153656, 0.14263343811035156, 0.05314992368221283, 0.017129894345998764]","[-0.0008496359223499894, 0.0004867723328061402, 3.174498488078825e-05, 0.00033614723361097276, 0.0006756006623618305]",,,0.0,1,,6.116350173950195,62.12535858154297,"[-0.37511635, 0.40234172, 0.4660114, 0.17471066, 0.05816101]",0.6703238095238095,0.011860688155361121,0.0
4,"[0.0, 0.29357168078422546, 0.19883787631988525, 0.323720782995224, 0.1838696300983429]","[-0.1718023121356964, 0.014467797242105007, 0.13818717002868652, 0.09428435564041138, 0.037740252912044525]","[-0.7698785066604614, 0.6099752187728882, 0.41313987970352173, 0.6726181507110596, 0.38203927874565125]","[-0.17242437601089478, 0.015053268522024155, 0.1378515064716339, 0.09331674873828888, 0.037848059087991714]","[0.0006220648647285998, -0.0005854680202901363, 0.00033562499447725713, 0.0009675920009613037, -0.00010780832235468552]",,,0.0,1,,6.0150275230407715,61.33584976196289,"[-0.54726052, 0.04608584, 0.44018257, 0.30033419, 0.12021811]",0.7531428571428572,0.06023487366838254,0.0
5,"[0.0, 0.28693827986717224, 0.211236834526062, 0.31537064909935, 0.18645423650741577]","[-0.053271327167749405, -0.01851237379014492, 0.08372284471988678, -0.026314448565244675, 0.02681022137403488]","[-0.7105752229690552, 0.54283207654953, 0.3996194899082184, 0.5966206789016724, 0.35273557901382446]","[-0.05391388759016991, -0.018165461719036102, 0.0837884470820427, -0.02633748948574066, 0.026790983974933624]","[0.0006425701430998743, -0.00034690587199293077, -6.561740156030282e-05, 2.3052265532896854e-05, 1.9237804735894315e-05]",,,0.0,1,,5.948261737823486,63.49221420288086,"[-0.17684582, -0.06145587, 0.27793628, -0.08735657, 0.08900239]",0.7353904761904762,0.047711710195602386,0.0
6,"[0.0, 0.27859318256378174, 0.2232028692960739, 0.31569957733154297, 0.18250437080860138]","[0.022604264318943024, -0.01715811714529991, 0.07108096778392792, 0.025060415267944336, -0.004341189283877611]","[-0.6310552358627319, 0.48212528228759766, 0.38626840710639954, 0.5463405251502991, 0.3158367872238159]","[0.02157709375023842, -0.016749989241361618, 0.07044978439807892, 0.024232810363173485, -0.004398120567202568]","[0.0010271661449223757, -0.00040814466774463654, 0.0006311812903732061, 0.0008275959989987314, 5.6936383771244437e-05]",,,0.0,1,,5.959813117980957,62.460350036621094,"[0.08462453, -0.06423556, 0.26610878, 0.09381972, -0.01625229]",0.7405714285714287,0.09345295602285975,0.0
7,"[0.0, 0.27376872301101685, 0.2316049486398697, 0.314310759305954, 0.1803155541419983]","[-0.02946937084197998, -0.0015902034938335419, 0.0518932044506073, 0.01587321050465107, 0.003169482573866844]","[-0.5787122249603271, 0.43333199620246887, 0.36659348011016846, 0.49750351905822754, 0.285410612821579]","[-0.029208865016698837, -0.0017352874856442213, 0.0518781803548336, 0.015829268842935562, 0.00289253331720829]","[-0.000260519387666136, 0.00014507804007735103, 1.5008781701908447e-05, 4.3953197746304795e-05, 0.00027696017059497535]",,,0.0,1,,6.008987903594971,63.049739837646484,"[-0.10762516, -0.00580759, 0.1895193, 0.05797059, 0.01157528]",0.7358476190476191,0.05956301965707744,0.0
8,"[0.0, 0.2660239040851593, 0.23442517220973969, 0.32144007086753845, 0.17811086773872375]","[-0.09381610155105591, -0.012738977558910847, 0.022676173597574234, 0.04255985468626022, 0.0019478709436953068]","[-0.5588633418083191, 0.3848358690738678, 0.339124470949173, 0.4650020897388458, 0.257658988237381]","[-0.09464789181947708, -0.013173013925552368, 0.022810664027929306, 0.041732899844646454, 0.0022039662580937147]","[0.0008317854371853173, 0.00043403488234616816, -0.0001344973425148055, 0.0008269838872365654, -0.0002560900757089257]",,,0.0,1,,6.0017991065979,62.14630126953125,"[-0.38022366, -0.05162931, 0.09190339, 0.1724892, 0.00789445]",0.7437714285714285,0.10883770386029157,0.0
9,"[0.0, 0.2634333670139313, 0.2533870339393616, 0.3158145844936371, 0.16736504435539246]","[-0.04594039544463158, 0.0029311575926840305, 0.09364955127239227, -0.007154555059969425, -0.03666529059410095]","[-0.51710444688797, 0.3472536504268646, 0.3340107500553131, 0.41630175709724426, 0.22061792016029358]","[-0.04575446620583534, 0.0028432197868824005, 0.09371893107891083, -0.007208510767668486, -0.036817606538534164]","[-0.000185925789992325, 8.79144572536461e-05, -6.938434671610594e-05, 5.395484186010435e-05, 0.00015231757424771786]",,,0.0,1,,6.027749061584473,62.72292709350586,"[-0.14127408, 0.00901378, 0.28798738, -0.0220014, -0.11275164]",0.7379809523809524,0.07768009256538971,0.0
10,"[0.0, 0.2698161005973816, 0.24776795506477356, 0.3169630765914917, 0.16545289754867554]","[-0.042818304151296616, 0.026343543082475662, -0.013793920166790485, 0.009937952272593975, -0.0031227152794599533]","[-0.480746865272522, 0.3219740092754364, 0.2956637442111969, 0.3782349228858948, 0.19743645191192627]","[-0.0438501238822937, 0.02609962970018387, -0.013823101297020912, 0.009832602925598621, -0.0031768130138516426]","[0.001031814725138247, 0.0002439235831843689, 2.9178336262702942e-05, 0.00010534538159845397, 5.409906225395389e-05]",,,0.0,1,,5.990413188934326,64.48064422607422,"[-0.15352887, 0.09445713, -0.04945934, 0.03563342, -0.01119678]",0.7362285714285716,0.09574966030904597,0.0
11,"[0.0, 0.2608707845211029, 0.2607792317867279, 0.3133147656917572, 0.16503514349460602]","[-0.003196585923433304, 0.01808498613536358, 0.137466698884964, 0.06030677258968353, 0.03994475677609444]","[-0.43330344557762146, 0.29334813356399536, 0.29324519634246826, 0.35232120752334595, 0.18558135628700256]","[-0.0034402310848236084, 0.018162395805120468, 0.13751444220542908, 0.060396842658519745, 0.04003563150763512]","[0.00024365125864278525, -7.740084402030334e-05, -4.7739660658407956e-05, -9.005847823573276e-05, -9.086672071134672e-05]",,,0.0,1,,6.040207386016846,62.80965042114258,"[-0.00631283, 0.03571541, 0.27147821, 0.11909774, 0.07888551]",0.753752380952381,0.08445161236066379,0.0
12,"[0.0, 0.26356443762779236, 0.24964392185211182, 0.3441815972328186, 0.14261002838611603]","[-0.08129433542490005, -0.002918032929301262, -0.046910740435123444, 0.08440527319908142, -0.07861292362213135]","[-0.4154801070690155, 0.26309776306152344, 0.24920189380645752, 0.3435721695423126, 0.14235752820968628]","[-0.08185650408267975, -0.0025038523599505424, -0.047132708132267, 0.08400991559028625, -0.07808846235275269]","[0.0005621638847514987, -0.0004141718673054129, 0.00022195721976459026, 0.0003953562118113041, -0.0005244486383162439]",,,0.0,1,,6.051757335662842,62.976348876953125,"[-0.25507009, -0.00915566, -0.14718769, 0.26483101, -0.24665685]",0.7363809523809524,0.10058179970763237,0.0
13,"[0.0, 0.2535204291343689, 0.26875200867652893, 0.3440271317958832, 0.13370047509670258]","[-0.011265354230999947, -0.00716552697122097, 0.1439228504896164, 0.05889395624399185, -0.022174719721078873]","[-0.3759196400642395, 0.2355237603187561, 0.24967409670352936, 0.31960564851760864, 0.12420947849750519]","[-0.011623259633779526, -0.00701656099408865, 0.14352752268314362, 0.05888304486870766, -0.021669190376996994]","[0.0003579106123652309, -0.00014895749336574227, 0.0003953400591854006, 1.0909616321441717e-05, -0.0005054962821304798]",,,0.0,1,,6.027219772338867,63.7760124206543,"[-0.01987553, -0.01264218, 0.25392392, 0.10390694, -0.03912299]",0.7302095238095238,0.12081114672061599,0.0
14,"[0.0, 0.2778524160385132, 0.24286909401416779, 0.35159021615982056, 0.12768825888633728]","[-0.09504637867212296, 0.10382089763879776, -0.07928331941366196, 0.04761737585067749, -0.014292259700596333]","[-0.3603651523590088, 0.236043319106102, 0.2063240259885788, 0.29868564009666443, 0.1084747165441513]","[-0.09537649899721146, 0.10367054492235184, -0.07932373881340027, 0.04769380763173103, -0.0140669085085392]","[0.00033011517371051013, 0.00015035485557746142, 4.042604996357113e-05, -7.641821866855025e-05, -0.00022535787138622254]",,,0.0,1,,6.05635929107666,63.97578048706055,"[-0.22037485, 0.24071948, -0.18382658, 0.11040581, -0.03313808]",0.7036190476190476,0.07111316878370677,0.0
15,"[0.0, 0.2725678086280823, 0.24376538395881653, 0.35189691185951233, 0.13176986575126648]","[-0.05397901311516762, 0.05099990963935852, 0.07219024002552032, 0.09954622387886047, 0.05602812394499779]","[-0.33305880427360535, 0.22068732976913452, 0.19736714661121368, 0.2849169373512268, 0.10668882727622986]","[-0.054119374603033066, 0.051081959158182144, 0.07213207334280014, 0.09945007413625717, 0.05596364289522171]","[0.00014034406922291964, -8.20524146547541e-05, 5.8167574024992064e-05, 9.614053851692006e-05, 6.44587489659898e-05]",,,0.0,1,,6.02867317199707,63.5102424621582,"[-0.0873017, 0.08248352, 0.1167552, 0.16099878, 0.09061579]",0.7279238095238095,0.12622249033025928,0.0
16,"[0.0, 0.2783234119415283, 0.22815588116645813, 0.36465513706207275, 0.1288655400276184]","[-0.06482070684432983, 0.0012986420188099146, -0.06045976281166077, 0.01749243214726448, -0.016254687681794167]","[-0.3153592050075531, 0.1989312469959259, 0.1630740761756897, 0.26063671708106995, 0.09210644662380219]","[-0.06438922137022018, 0.0011232919059693813, -0.06042888015508652, 0.01733534038066864, -0.016559714451432228]","[-0.0004314898978918791, 0.0001753456745063886, -3.087628647335805e-05, 0.00015708367573097348, 0.00030502775916829705]",,,0.0,1,,6.059577465057373,63.12342834472656,"[-0.15606287, 0.00312662, -0.14556342, 0.04211492, -0.03913492]",0.7081142857142857,0.08062281626417356,0.0
17,"[0.0, 0.28400135040283203, 0.22843922674655914, 0.3822330832481384, 0.10532640665769577]","[-0.10895779728889465, 0.0338834710419178, 0.010717051103711128, 0.0839618593454361, -0.08643630146980286]","[-0.30197879672050476, 0.18468408286571503, 0.14855243265628815, 0.2485634982585907, 0.06849302351474762]","[-0.10930509120225906, 0.03350602835416794, 0.010706594213843346, 0.08390069752931595, -0.08599746227264404]","[0.0003472972603049129, 0.00037742112181149423, 1.0474599548615515e-05, 6.117218435974792e-05, -0.0004388669622130692]",,,0.0,1,,6.076685905456543,64.96294403076172,"[-0.18155509, 0.05645963, 0.01785769, 0.13990465, -0.14402778]",0.7162666666666667,0.13460306506635933,0.0
18,"[0.0, 0.2790835499763489, 0.2290472835302353, 0.37571677565574646, 0.11615236103534698]","[-0.020864341408014297, -0.007357539143413305, 0.009061861783266068, -0.009565923362970352, 0.03879290446639061]","[-0.27553650736808777, 0.164891317486763, 0.13532832264900208, 0.22198526561260223, 0.06862646341323853]","[-0.02095140516757965, -0.0073247444815933704, 0.009067021310329437, -0.009516775608062744, 0.03880646452307701]","[8.705845539225265e-05, -3.280091186752543e-05, -5.1418132898106705e-06, -4.914759847451933e-05, -1.3561434570874553e-05]",,,0.0,1,,6.070195198059082,63.76094055175781,"[-0.03755594, -0.01324362, 0.01631141, -0.01721872, 0.06982747]",0.7084190476190476,0.06769215856148592,0.0
19,"[0.0, 0.2894003987312317, 0.21336454153060913, 0.3928849697113037, 0.10435014218091965]","[0.08453364670276642, 0.08845697343349457, -0.033686086535453796, 0.13351687788963318, -0.03402351215481758]","[-0.23739811778068542, 0.15947817265987396, 0.11757754534482956, 0.21650481224060059, 0.05750362202525139]","[0.08403101563453674, 0.08826638758182526, -0.03415403515100479, 0.1333518922328949, -0.033999234437942505]","[0.0005026292055845261, 0.0001905933750094846, 0.0004679444245994091, 0.0001650134363444522, -2.430332278891001e-05]",,,0.0,1,,6.14738130569458,64.05010986328125,"[0.1058473, 0.11075982, -0.04217943, 0.16718078, -0.04260193]",0.7205333333333334,0.12208901937369643,0.0
20,"[0.0, 0.3014359474182129, 0.22254782915115356, 0.3910743296146393, 0.08494189381599426]","[0.04047619551420212, -0.01583571918308735, -0.01073751226067543, -0.07641337811946869, -0.07756277173757553]","[-0.20739714801311493, 0.14108076691627502, 0.10415883362293243, 0.18303412199020386, 0.03975526988506317]","[0.04049710929393768, -0.01584227755665779, -0.01073841005563736, -0.07642227411270142, -0.07758432626724243]","[-2.089873123622965e-05, 6.577387011930114e-06, 8.96072947398352e-07, 8.880359928298276e-06, 2.1537749489652924e-05]",,,0.0,1,,6.069728851318359,65.30915832519531,"[0.06261159, -0.02449587, -0.01660958, -0.11820191, -0.11997988]",0.7137523809523809,0.0794938663160254,0.0
