round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.0, 0.061107780784368515, 0.0, 0.45067426562309265, 0.48821794986724854]","[0.096720851957798, 0.016088273376226425, -0.0026034796610474586, 0.11865215748548508, 0.12853653728961945]","[0.3813009560108185, 0.06342452019453049, -0.010263652540743351, 0.4677603542804718, 0.506727397441864]","[0.09732832759618759, 0.015957077965140343, -0.002536630257964134, 0.1188378632068634, 0.12832072377204895]","[-0.0006074713892303407, 0.00013121282972861081, -6.68642605887726e-05, -0.00018570697284303606, 0.00021583191119134426]",,,0.0,0,"[1, 3, 2, 4]",6.327268600463867,6.563526630401611,"[0.38130096, 0.06342452, -0.01026365, 0.46776035, 0.5067274]",0.6568380952380953,0.021844457268501594,0.0
2,"[0.4106142222881317, 0.08118816465139389, 0.04721930995583534, 0.46097832918167114, 0.0]","[0.14318376779556274, 0.06762251257896423, 0.19421343505382538, 0.030369548127055168, 0.08031398057937622]","[0.3824015259742737, 0.07560984790325165, 0.04397493973374367, 0.42930519580841064, 0.4780597686767578]","[0.13704043626785278, 0.06812382489442825, 0.19129730761051178, 0.02872650697827339, 0.08116935193538666]","[0.00614332128316164, -0.0005012933979742229, 0.00291616003960371, 0.0016430473187938333, -0.0008553997031413019]",,,0.0,0,"[2, 1, 3, 0]",6.187110424041748,6.404983043670654,"[0.39230689, 0.18527783, 0.53212225, 0.08320904, 0.22005098]",0.5551238095238096,0.3712242447666171,0.0
3,"[0.0, 0.11823052912950516, 0.0733790174126625, 0.3708162009716034, 0.43757423758506775]","[-0.23367635905742645, 0.7991325855255127, 0.5276209115982056, 0.44633665680885315, 0.8325749039649963]","[0.3245435357093811, 0.13513848185539246, 0.08387282490730286, 0.42384597659111023, 0.5001509785652161]","[-0.2060929536819458, 0.7748758792877197, 0.5037859678268433, 0.4152888059616089, 0.8077382445335388]","[-0.02758340910077095, 0.024256838485598564, 0.023834845051169395, 0.03104797936975956, 0.024836456403136253]",,,0.0,0,"[1, 2, 3, 4]",6.180482864379883,6.240845203399658,"[-0.19617839, 0.67089605, 0.44295377, 0.37471315, 0.69897187]",0.6424380952380953,0.033718740442055806,0.0
4,"[0.338569313287735, 0.1326446831226349, 0.11990740150213242, 0.4088785648345947, 0.0]","[0.09954237937927246, 0.01360384188592434, 0.13401037454605103, 0.018791362643241882, 0.04689241200685501]","[0.32027214765548706, 0.12547622621059418, 0.1134272962808609, 0.3867816925048828, 0.4634122848510742]","[0.09636598080396652, 0.013583935797214508, 0.13232985138893127, 0.01758517324924469, 0.04722310230135918]","[0.0031763878650963306, 1.9901810446754098e-05, 0.0016804923070594668, 0.0012062076712027192, -0.00033070697099901736]",,,0.0,0,"[2, 0, 1, 3]",6.055491924285889,6.241593360900879,"[0.28182989, 0.03851595, 0.37941757, 0.05320314, 0.13276438]",0.6154666666666666,0.2295832933905797,0.0
5,"[0.0, 0.13948623836040497, 0.12356764823198318, 0.322957307100296, 0.41398876905441284]","[-0.2735358476638794, 0.3773094415664673, 0.3159334659576416, 0.09714540094137192, 0.38579338788986206]","[0.25772398710250854, 0.1550285518169403, 0.13733622431755066, 0.3589429557323456, 0.4601176381111145]","[-0.2567770183086395, 0.36865735054016113, 0.310701847076416, 0.08877155929803848, 0.3757191300392151]","[-0.01675884798169136, 0.008651920594274998, 0.005231664981693029, 0.00837386678904295, 0.010074276477098465]",,,0.0,0,"[2, 1, 4, 3]",6.1132049560546875,6.164875507354736,"[-0.30520961, 0.42099953, 0.35251659, 0.10839424, 0.43046588]",0.6271238095238096,0.06520485672733223,0.0
6,"[0.28692713379859924, 0.1778797209262848, 0.1618308573961258, 0.373362272977829, 0.0]","[-0.0021219728514552116, 0.015749651938676834, 0.027649186551570892, -0.08753815293312073, -0.008417431265115738]","[0.2314203679561615, 0.1434684544801712, 0.13052427768707275, 0.3011344373226166, 0.4119986593723297]","[-0.001895972527563572, 0.015737444162368774, 0.02769329771399498, -0.08752325922250748, -0.008422622457146645]","[-0.00022600444208364934, 1.2211421562824398e-05, -4.413932401803322e-05, -1.4906309843354393e-05, 5.193719061935553e-06]",,,0.0,0,"[1, 2, 3, 0]",6.004571914672852,6.1989030838012695,"[-0.00531213, 0.03942753, 0.06921671, -0.2191422, -0.02107212]",0.6051809523809524,0.2062261234335801,0.0
7,"[0.2555061876773834, 0.22148026525974274, 0.17446209490299225, 0.34855154156684875, 0.0]","[-0.2184581160545349, 0.3378235697746277, 0.10451039671897888, -0.1636601984500885, 0.2623540163040161]","[0.18697071075439453, 0.16207170486450195, 0.1276654154062271, 0.2550581395626068, 0.39638787508010864]","[-0.2058151662349701, 0.3325797915458679, 0.10458660125732422, -0.16582690179347992, 0.2552379369735718]","[-0.012642934918403625, 0.005243784748017788, -7.623955752933398e-05, 0.0021666791290044785, 0.007116110064089298]",,,0.0,0,"[2, 1, 0, 3]",6.067942142486572,6.215747356414795,"[-0.21307622, 0.329501, 0.1019357, -0.1596283, 0.25589073]",0.570895238095238,0.24597295568606192,0.0
8,"[0.0, 0.18641792237758636, 0.1427527368068695, 0.24111977219581604, 0.42970961332321167]","[-0.31836092472076416, 0.2543036937713623, 0.1565975397825241, -0.15829075872898102, 0.3416818380355835]","[0.1415577083826065, 0.16720496118068695, 0.12804007530212402, 0.21626901626586914, 0.3854220509529114]","[-0.3019390106201172, 0.24786025285720825, 0.1499253511428833, -0.1628304123878479, 0.3341714143753052]","[-0.016421830281615257, 0.006443514954298735, 0.006672222167253494, 0.0045396736823022366, 0.007510452065616846]",,,0.0,0,"[2, 1, 3, 4]",6.080718517303467,6.202515125274658,"[-0.26715931, 0.21340434, 0.13141215, -0.13283305, 0.28672957]",0.6192,0.11529833275978063,0.0
9,"[0.18549901247024536, 0.30737265944480896, 0.2069975882768631, 0.3001307547092438, 0.0]","[-0.21675588190555573, 0.2225654274225235, 0.016559846699237823, -0.24044662714004517, -0.1104816347360611]","[0.10481420159339905, 0.17367759346961975, 0.11696173995733261, 0.16958561539649963, 0.33536675572395325]","[-0.21192169189453125, 0.22137808799743652, 0.01818937435746193, -0.24043793976306915, -0.11195244640111923]","[-0.004834162537008524, 0.001187258749268949, -0.0016294916858896613, -8.683454325364437e-06, 0.001470852643251419]",,,0.0,0,"[2, 0, 1, 3]",6.070529460906982,6.16184139251709,"[-0.22587729, 0.23193131, 0.01725671, -0.25056499, -0.11513086]",0.6040380952380953,0.15721366411440413,0.0
10,"[0.11078157275915146, 0.0, 0.1791878640651703, 0.22355970740318298, 0.4864708483219147]","[-0.2704199552536011, 0.35320132970809937, 0.17574569582939148, -0.05668164789676666, 0.2691660523414612]","[0.07346445322036743, 0.1835663914680481, 0.11882787197828293, 0.1482529193162918, 0.32260164618492126]","[-0.26001572608947754, 0.3496437668800354, 0.17256730794906616, -0.05520155280828476, 0.26312798261642456]","[-0.010404238477349281, 0.0035574862267822027, 0.0031783354934304953, -0.0014801300130784512, 0.006038076709955931]",,,0.0,0,"[2, 3, 4, 0]",6.026758193969727,6.177846431732178,"[-0.20868321, 0.27256563, 0.13562304, -0.04374126, 0.20771557]",0.604647619047619,0.09840781189119208,0.0
