round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.20042572915554047, 0.28924670815467834, 0.0, 0.31779512763023376, 0.1925324648618698]","[0.18432627618312836, 0.26601260900497437, 0.1286911815404892, 0.2922678291797638, 0.17706705629825592]","[0.5378633737564087, 0.7762237787246704, 0.37552037835121155, 0.8528364300727844, 0.5166810154914856]","[0.184474915266037, 0.2633762061595917, 0.1285085380077362, 0.2884959578514099, 0.17680366337299347]","[-0.0001486425317125395, 0.002636358141899109, 0.00018264329992234707, 0.0037718273233622313, 0.00026333212736062706]",,,0.0,0,"[3, 1, 4, 0]",6.36782169342041,6.391322135925293,"[0.53786337, 0.77622378, 0.37552038, 0.85283643, 0.51668102]",0.6374095238095239,0.022062224904528693,0.0
2,"[0.2112441509962082, 0.28347158432006836, 0.0, 0.32052457332611084, 0.184759721159935]","[0.1859048455953598, 0.06030236929655075, 0.3114061653614044, 0.15450060367584229, 0.001934882253408432]","[0.5322434902191162, 0.7142252326011658, 0.41865116357803345, 0.807582676410675, 0.465514212846756]","[0.18560566008090973, 0.059402208775281906, 0.3103044629096985, 0.15261399745941162, 0.0033261198550462723]","[0.00029919619555585086, 0.0009001782163977623, 0.001101763336919248, 0.0018865781603381038, -0.0013912691501900554]",,,0.0,0,"[1, 3, 4, 0]",6.1408891677856445,6.34929084777832,"[0.48166451, 0.15623859, 0.80682832, 0.40029863, 0.00501312]",0.7091047619047619,0.052901054584838625,0.0
3,"[0.21414460241794586, 0.28614771366119385, 0.0, 0.3151336908340454, 0.18457406759262085]","[0.09405051171779633, 0.11686790734529495, 0.16541093587875366, 0.06749708950519562, 0.061348866671323776]","[0.5080713629722595, 0.6789032220840454, 0.42788150906562805, 0.747674286365509, 0.4379134476184845]","[0.09392845630645752, 0.1166863963007927, 0.16543513536453247, 0.06746208667755127, 0.061298102140426636]","[0.00012206738028908148, 0.00018153393466491252, -2.4187020244426094e-05, 3.5007291444344446e-05, 5.074558430351317e-05]",,,0.0,0,"[1, 3, 4, 0]",6.068001747131348,6.211593151092529,"[0.29052231, 0.36100531, 0.51095486, 0.2084987, 0.18950683]",0.7100190476190477,0.042916259287708924,0.0
4,"[0.21983128786087036, 0.2788424789905548, 0.0, 0.3211691081523895, 0.18015709519386292]","[0.0423421785235405, -0.02773449197411537, 0.13207732141017914, 0.04911177605390549, -0.016220085322856903]","[0.47338178753852844, 0.6004557013511658, 0.43536868691444397, 0.6916012167930603, 0.3879479169845581]","[0.04284922406077385, -0.027373772114515305, 0.13138607144355774, 0.04678340256214142, -0.01641039177775383]","[-0.0005070404731668532, -0.00036072032526135445, 0.0006912202225066721, 0.0023283816408365965, 0.00019030447583645582]",,,0.0,0,"[4, 1, 3, 0]",6.006588935852051,6.221147537231445,"[0.16117576, -0.10557152, 0.50275314, 0.18694428, -0.06174185]",0.7080380952380952,0.05892665830025734,0.0
5,"[0.22583052515983582, 0.2798210680484772, 0.0, 0.31756338477134705, 0.17678497731685638]","[0.042392320930957794, 0.01610712893307209, 0.12297552078962326, -0.008330702781677246, -0.012338540516793728]","[0.4406048655509949, 0.5459427237510681, 0.43407246470451355, 0.619579553604126, 0.344914972782135]","[0.042562179267406464, 0.016351789236068726, 0.12301012873649597, -0.008306070230901241, -0.012012875638902187]","[-0.00016985752154141665, -0.00024466399918310344, -3.46218585036695e-05, -2.464387762302067e-05, -0.0003256821946706623]",,,0.0,0,"[1, 3, 4, 0]",6.032006740570068,6.291653633117676,"[0.14561264, 0.05532609, 0.42240646, -0.02861498, -0.04238144]",0.7020952380952382,0.051220955882923636,0.0
6,"[0.2209092080593109, 0.2798912525177002, 0.0, 0.3232288360595703, 0.17597071826457977]","[0.006262831389904022, 0.04282870143651962, 0.14152613282203674, 0.08036362379789352, 0.022176610305905342]","[0.39853161573410034, 0.5049382448196411, 0.4355723559856415, 0.5831214785575867, 0.31746023893356323]","[0.007005732506513596, 0.04294273257255554, 0.1403127908706665, 0.07795392721891403, 0.022082220762968063]","[-0.0007428945391438901, -0.00011402799282222986, 0.0012133893324062228, 0.0024096963461488485, 9.436783147975802e-05]",,,0.0,0,"[4, 1, 3, 0]",5.982021331787109,6.4153547286987305,"[0.01987236, 0.1358982, 0.44907144, 0.25499889, 0.0703678]",0.7062857142857143,0.09943769034579597,0.0
7,"[0.21559707820415497, 0.290616899728775, 0.0, 0.3248428404331207, 0.16894319653511047]","[-0.04113695025444031, 0.029305286705493927, 0.15914422273635864, -0.01640579104423523, -0.045810800045728683]","[0.34458327293395996, 0.4644855558872223, 0.44654425978660583, 0.5191880464553833, 0.2700175940990448]","[-0.04089944064617157, 0.02954838052392006, 0.15923266112804413, -0.016870366409420967, -0.04541010037064552]","[-0.0002375063340878114, -0.00024309424043167382, -8.845744741847739e-05, 0.00046456558629870415, -0.00040069129317998886]",,,0.0,0,"[1, 3, 4, 0]",6.022077560424805,6.366354465484619,"[-0.14095159, 0.1004116, 0.54529154, -0.05621278, -0.15696608]",0.6755047619047619,0.0776252345683126,0.0
8,"[0.0, 0.2724657952785492, 0.2713779807090759, 0.30162864923477173, 0.15452761948108673]","[0.03729856759309769, 0.06688395142555237, 0.12310701608657837, 0.05653008446097374, 0.014802531339228153]","[0.3196844160556793, 0.43517908453941345, 0.4334416687488556, 0.48175767064094543, 0.24680966138839722]","[0.037807464599609375, 0.06702920794487, 0.12310957908630371, 0.056480854749679565, 0.0156262069940567]","[-0.0005088815814815462, -0.0001452905562473461, -2.583582045190269e-06, 4.922503649140708e-05, -0.0008236380526795983]",,,0.0,0,"[1, 4, 3, 2]",6.022365093231201,6.300073623657227,"[0.09559478, 0.17142096, 0.3155185, 0.14488441, 0.03793831]",0.722895238095238,0.094499136122425,0.0
9,"[0.22738716006278992, 0.29049932956695557, 0.0, 0.3204958140850067, 0.161617711186409]","[0.07076732814311981, 0.011556153185665607, 0.0024186144582927227, 0.007909975945949554, -0.007417907938361168]","[0.30933448672294617, 0.3951914310455322, 0.39083635807037354, 0.4359982907772064, 0.21986261010169983]","[0.07108485698699951, 0.011290399357676506, 0.0020577022805809975, 0.007950333878397942, -0.0068321190774440765]","[-0.0003175344318151474, 0.00026576462551020086, 0.0003609156410675496, -4.035846723127179e-05, -0.0005857788491994143]",,,0.0,0,"[4, 3, 1, 0]",6.039102077484131,6.373751163482666,"[0.21618518, 0.03530258, 0.00738856, 0.02416397, -0.02266076]",0.7007238095238096,0.10903245475626877,0.0
10,"[0.0, 0.26803433895111084, 0.29210034012794495, 0.29724031686782837, 0.14262507855892181]","[-0.056013498455286026, 0.07633477449417114, 0.25776779651641846, 0.0945325493812561, -0.0013423487544059753]","[0.26689720153808594, 0.371349573135376, 0.4046919345855713, 0.4118131399154663, 0.19760066270828247]","[-0.0554938018321991, 0.07687021791934967, 0.257720947265625, 0.0946032702922821, -0.0005632145330309868]","[-0.0005196898127906024, -0.0005354435415938497, 4.686884494731203e-05, -7.073782762745395e-05, -0.0007791447569616139]",,,0.0,0,"[3, 1, 4, 2]",6.016515731811523,6.313023090362549,"[-0.11503808, 0.15677303, 0.52939224, 0.19414683, -0.00275686]",0.7199238095238095,0.0744313767131013,0.0
