round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.0, 0.30787116289138794, 0.14894144237041473, 0.3382577896118164, 0.20492954552173615]","[0.29193994402885437, 0.26601260900497437, 0.1286911815404892, 0.2922678291797638, 0.17706705629825592]","[0.8518796563148499, 0.7762237787246704, 0.37552037835121155, 0.8528364300727844, 0.5166810154914856]","[0.29217541217803955, 0.2633762061595917, 0.1285085380077362, 0.2884959578514099, 0.17680366337299347]","[-0.00023542321287095547, 0.002636358141899109, 0.00018264329992234707, 0.0037718273233622313, 0.00026333212736062706]",,,0.0,1,"[3, 1, 4, 2]",6.368542671203613,63.13842010498047,"[0.85187966, 0.77622378, 0.37552038, 0.85283643, 0.51668102]",0.6873904761904762,0.060404440413662885,0.0
2,"[0.0, 0.3014645576477051, 0.1732804775238037, 0.3320443034172058, 0.19321061670780182]","[0.2412940263748169, 0.013054878450930119, 0.21335723996162415, 0.02057158760726452, -0.0475594699382782]","[0.8412233591079712, 0.702633798122406, 0.40387076139450073, 0.7739070057868958, 0.45032259821891785]","[0.24134013056755066, 0.012554552406072617, 0.21407949924468994, 0.020404361188411713, -0.04851601645350456]","[-4.6100805775495246e-05, 0.0005003060796298087, -0.0007222373387776315, 0.00016722343571018428, 0.0009565519285388291]",,,0.0,1,"[3, 1, 4, 2]",6.238865375518799,61.32173156738281,"[0.74531657, 0.04032432, 0.65902454, 0.06354216, -0.14690319]",0.728152380952381,0.06702240523922909,0.0
3,"[0.0, 0.3046343922615051, 0.185760959982872, 0.3233932852745056, 0.18621136248111725]","[0.11499983072280884, 0.12328236550092697, 0.14293131232261658, 0.053685497492551804, 0.017949305474758148]","[0.794653594493866, 0.6726276278495789, 0.41015714406967163, 0.7140470147132874, 0.41115158796310425]","[0.11414660513401031, 0.12279369682073593, 0.14289964735507965, 0.05334799736738205, 0.017270900309085846]","[0.0008532453211955726, 0.0004886592505499721, 3.164770532748662e-05, 0.0003374763473402709, 0.0006784432916902006]",,,0.0,1,"[3, 1, 4, 2]",6.11614465713501,62.12533950805664,"[0.3755261, 0.40257227, 0.46673492, 0.17530726, 0.05861254]",0.6703238095238095,0.011803676080093584,0.0
4,"[0.0, 0.2935008108615875, 0.19883295893669128, 0.32379135489463806, 0.18387489020824432]","[0.17154733836650848, 0.014129449613392353, 0.13818851113319397, 0.09470419585704803, 0.03779273480176926]","[0.7698264718055725, 0.609865128993988, 0.41315484046936035, 0.6728058457374573, 0.3820735216140747]","[0.1721683293581009, 0.014716463163495064, 0.13785362243652344, 0.09373901784420013, 0.0379013791680336]","[-0.0006210050778463483, -0.0005870082532055676, 0.00033480467391200364, 0.0009651706786826253, -0.00010862164344871417]",,,0.0,1,"[4, 3, 1, 2]",6.015097618103027,61.335147857666016,"[0.54638273, 0.04500266, 0.44013399, 0.30163532, 0.12037084]",0.7527619047619049,0.060109861734580106,0.0
5,"[0.0, 0.28695863485336304, 0.21119265258312225, 0.3154653012752533, 0.18638338148593903]","[0.0535099133849144, -0.01835237443447113, 0.08325310051441193, -0.026564273983240128, 0.026152286678552628]","[0.710605800151825, 0.5427867770195007, 0.39947423338890076, 0.5967075824737549, 0.3525471091270447]","[0.05416231229901314, -0.01800195313990116, 0.08332142233848572, -0.026584962382912636, 0.026131203398108482]","[-0.0006524027558043599, -0.0003504201304167509, -6.833040970377624e-05, 2.0680452507804148e-05, 2.1087689674459398e-05]",,,0.0,1,"[1, 3, 4, 2]",5.948081016540527,63.515716552734375,"[0.17761984, -0.06091854, 0.27634886, -0.08817697, 0.08680943]",0.7363047619047619,0.04780657512929931,0.0
6,"[0.0, 0.27904701232910156, 0.22306488454341888, 0.3155367374420166, 0.18235130608081818]","[-0.02283809334039688, -0.015154339373111725, 0.07065778225660324, 0.023882845416665077, -0.004726473242044449]","[0.6309980750083923, 0.4828365743160248, 0.38597041368484497, 0.5459749698638916, 0.31552350521087646]","[-0.021820776164531708, -0.014753086492419243, 0.07003533840179443, 0.023057008162140846, -0.004777603317052126]","[-0.001017318689264357, -0.0004012412391602993, 0.000622452178504318, 0.0008258238667622209, 5.112838698551059e-05]",,,0.0,1,"[4, 3, 1, 2]",5.959751129150391,62.47929763793945,"[-0.08547136, -0.05671498, 0.26443613, 0.08938134, -0.01768878]",0.740647619047619,0.09302937144532192,0.0
7,"[0.0, 0.2742583453655243, 0.23173120617866516, 0.3137023150920868, 0.1803082376718521]","[0.027807261794805527, -0.0013634858187288046, 0.05302387848496437, 0.013965374790132046, 0.0038134194910526276]","[0.5780594944953918, 0.4340546727180481, 0.3667491376399994, 0.49648064374923706, 0.28536465764045715]","[0.02755153179168701, -0.0015041886363178492, 0.05300949141383171, 0.013927638530731201, 0.003547459375113249]","[0.00025572997401468456, 0.00014070019824430346, 1.4391697732207831e-05, 3.773679054575041e-05, 0.00026597228134050965]",,,0.0,1,"[1, 3, 4, 2]",6.005782604217529,63.024208068847656,"[0.10161212, -0.00498239, 0.19375762, 0.05103168, 0.01393484]",0.7363809523809525,0.0596386321986585,0.0
8,"[0.0, 0.26557260751724243, 0.23781026899814606, 0.31956300139427185, 0.17705413699150085]","[0.0934884250164032, -0.012729860842227936, 0.0374220535159111, 0.04215439409017563, 0.00045010331086814404]","[0.5580490827560425, 0.38550275564193726, 0.3452032208442688, 0.4638747572898865, 0.25701016187667847]","[0.09433086961507797, -0.01317463256418705, 0.03747328743338585, 0.04133157432079315, 0.0007067671976983547]","[-0.0008424517582170665, 0.0004447777755558491, -5.1226012146798894e-05, 0.0008228248916566372, -0.00025666781584732234]",,,0.0,1,"[4, 1, 3, 2]",6.005147933959961,62.08085632324219,"[0.37795517, -0.0514643, 0.15128994, 0.17042185, 0.00181968]",0.7442285714285715,0.11685937498178744,0.0
9,"[0.0, 0.26362693309783936, 0.2518794536590576, 0.3163856565952301, 0.1681079864501953]","[0.011418009176850319, -0.0017613819800317287, 0.06734983623027802, -0.005764585919678211, -0.03451883792877197]","[0.5056859850883484, 0.3464215099811554, 0.33098459243774414, 0.41574960947036743, 0.2209039032459259]","[0.011112320236861706, -0.0019240633118897676, 0.06741660833358765, -0.005856973119080067, -0.034561336040496826]","[0.0003056934510823339, 0.00016267807222902775, -6.677729106741026e-05, 9.239163773600012e-05, 4.2506180761847645e-05]",,,0.0,1,"[3, 1, 4, 2]",5.966064929962158,62.590911865234375,"[0.03441807, -0.00530945, 0.20301712, -0.01737658, -0.10405245]",0.7310476190476191,0.0931301168485843,0.0
10,"[0.0, 0.27966010570526123, 0.24430935084819794, 0.3199129104614258, 0.15611767768859863]","[0.10223478078842163, 0.07296086847782135, -0.01723838411271572, 0.027867164462804794, -0.03786032646894455]","[0.48733392357826233, 0.3347710072994232, 0.29245391488075256, 0.38295620679855347, 0.1868828535079956]","[0.10269619524478912, 0.07290533185005188, -0.017267197370529175, 0.02787724696099758, -0.03741128370165825]","[-0.0004614295612554997, 5.555060852202587e-05, 2.8809939976781607e-05, -1.008288745651953e-05, -0.0004490441642701626]",,,0.0,1,"[1, 4, 3, 2]",6.0201616287231445,64.36080169677734,"[0.32216546, 0.22991659, -0.05432214, 0.08781588, -0.11930665]",0.7312761904761905,0.09828585173153365,0.0
11,"[0.0, 0.26812392473220825, 0.2588493824005127, 0.31688976287841797, 0.15613697469234467]","[-0.012119639664888382, 0.008476052433252335, 0.14272648096084595, 0.06561848521232605, 0.0402374304831028]","[0.4361085891723633, 0.3030366599559784, 0.29255449771881104, 0.3581523895263672, 0.17646777629852295]","[-0.011692311614751816, 0.008591975085437298, 0.1426355242729187, 0.06561683118343353, 0.04037970304489136]","[-0.00042734030284918845, -0.00011590102076297626, 9.093045810004696e-05, 1.6381993646064075e-06, -0.00014225889754015952]",,,0.0,1,"[3, 1, 4, 2]",6.055574417114258,63.064537048339844,"[-0.02491919, 0.01742761, 0.29345989, 0.13491815, 0.08273217]",0.7439238095238095,0.10454939907217875,0.0
12,"[0.0, 0.2780263423919678, 0.24226287007331848, 0.3394351601600647, 0.14027558267116547]","[0.14170145988464355, 0.027373498305678368, -0.0624215304851532, 0.06919403374195099, -0.05755334347486496]","[0.4346246123313904, 0.2808709144592285, 0.2447415590286255, 0.3429080545902252, 0.1417107880115509]","[0.14216013252735138, 0.027563897892832756, -0.06254644691944122, 0.06930460035800934, -0.057239945977926254]","[-0.00045865625725127757, -0.00019039820472244173, 0.0001249125925824046, -0.00011058279778808355, -0.00031336257234215736]",,,0.0,1,"[1, 3, 4, 2]",6.044689178466797,63.840213775634766,"[0.42126879, 0.08137955, -0.18557495, 0.20570914, -0.17110217]",0.7051428571428572,0.06983918100293163,0.0
13,"[0.0, 0.2666022479534149, 0.2501124143600464, 0.33833274245262146, 0.14495263993740082]","[0.07090146839618683, 0.016573455184698105, 0.1113375872373581, 0.09014055132865906, 0.06518528610467911]","[0.40365734696388245, 0.2557046115398407, 0.23988881707191467, 0.3245030343532562, 0.13902755081653595]","[0.07142936438322067, 0.016958273947238922, 0.1111321896314621, 0.08945293724536896, 0.06513997912406921]","[-0.0005278793978504837, -0.0003848087217193097, 0.0002053908392554149, 0.0006876136758364737, 4.5316992327570915e-05]",,,0.0,1,"[4, 1, 3, 2]",6.03010892868042,64.34212493896484,"[0.12495222, 0.029208, 0.19621424, 0.15885794, 0.11487839]",0.7075809523809523,0.09465731622970386,0.0
14,"[0.0, 0.28662875294685364, 0.22772200405597687, 0.3513210117816925, 0.13432817161083221]","[0.05210726708173752, 0.09099166840314865, -0.06708969175815582, 0.06946730613708496, -0.03017447330057621]","[0.3756517469882965, 0.2517178952693939, 0.19998587667942047, 0.3085307478904724, 0.11796724051237106]","[0.052353404462337494, 0.09081792831420898, -0.06713950634002686, 0.06944788992404938, -0.029993906617164612]","[-0.0002461374970152974, 0.00017375579045619816, 4.98027766298037e-05, 1.9401228200877085e-05, -0.00018055950931739062]",,,0.0,1,"[4, 3, 1, 2]",6.007334232330322,64.1784896850586,"[0.12360142, 0.21583745, -0.15914059, 0.16478042, -0.07157558]",0.7213714285714287,0.09944053576763878,0.0
15,"[0.0, 0.28050196170806885, 0.2395600974559784, 0.3454984128475189, 0.13443955779075623]","[0.03160615637898445, 0.015276863239705563, 0.0885145515203476, 0.02643774077296257, 0.020796146243810654]","[0.3437372148036957, 0.2292773425579071, 0.1958121806383133, 0.2824042737483978, 0.10988850891590118]","[0.03135961294174194, 0.01507965475320816, 0.08855412900447845, 0.02639741078019142, 0.020867619663476944]","[0.00024654026492498815, 0.00019720471755135804, -3.9594207919435576e-05, 4.0316353988600895e-05, -7.146136340452358e-05]",,,0.0,1,"[4, 3, 1, 2]",5.98237943649292,64.0981216430664,"[0.05650643, 0.02731243, 0.15824896, 0.04726619, 0.03717997]",0.7401142857142857,0.11730094109028211,0.0
16,"[0.0, 0.2944944202899933, 0.23437732458114624, 0.3598398268222809, 0.1112884059548378]","[0.015330535359680653, 0.004977312404662371, -0.04611876979470253, -0.0023754658177495003, -0.0853935107588768]","[0.3130384087562561, 0.20754273235797882, 0.1651756465435028, 0.25359439849853516, 0.07842966169118881]","[0.015257388353347778, 0.005003317259252071, -0.04611861705780029, -0.002393912523984909, -0.08545264601707458]","[7.314688991755247e-05, -2.600874904601369e-05, -1.5083752202826872e-07, 1.8453587472322397e-05, 5.9133519243914634e-05]",,,0.0,1,"[3, 4, 1, 2]",6.049231052398682,63.81309127807617,"[0.03674939, 0.0119313, -0.110553, -0.00569432, -0.20469993]",0.704304761904762,0.09882632103128319,0.0
17,"[0.0, 0.29880163073539734, 0.2343003898859024, 0.37551501393318176, 0.09138299524784088]","[0.07627218961715698, 0.027677709236741066, 0.008558612316846848, 0.07383305579423904, -0.07229144871234894]","[0.29444801807403564, 0.19140192866325378, 0.15008467435836792, 0.24054184556007385, 0.05853676795959473]","[0.07642251998186111, 0.027734193950891495, 0.00854412280023098, 0.07380452007055283, -0.07213269919157028]","[-0.00015033937233965844, -5.647255602525547e-05, 1.44979221659014e-05, 2.854982994904276e-05, -0.0001587492151884362]",,,0.0,1,"[1, 3, 4, 2]",6.084035396575928,65.7349853515625,"[0.12713461, 0.0461347, 0.01426596, 0.12306893, -0.12049929]",0.7330285714285715,0.12064253573059414,0.0
18,"[0.0, 0.3170921504497528, 0.2356158345937729, 0.36987990140914917, 0.07741214334964752]","[-0.01735028624534607, 0.01434432715177536, -0.02593770995736122, -0.06367447972297668, -0.05146142095327377]","[0.2616480588912964, 0.17503558099269867, 0.13006047904491425, 0.20417453348636627, 0.04273167997598648]","[-0.01723986677825451, 0.014393755234777927, -0.025946028530597687, -0.06362651288509369, -0.05145419389009476]","[-0.00011041758261853829, -4.9441401642980054e-05, 8.307011739816517e-06, -4.795648783328943e-05, -7.235817520268029e-06]",,,0.0,1,"[3, 4, 1, 2]",6.015596389770508,63.7321891784668,"[-0.03355131, 0.0277385, -0.05015734, -0.12313125, -0.0995141]",0.6965333333333333,0.07243822241761833,0.0
19,"[0.0, 0.32760295271873474, 0.21948294341564178, 0.391679048538208, 0.061235059052705765]","[-0.06984728574752808, 0.11849789321422577, -0.011238775216042995, 0.1777801811695099, -0.048796504735946655]","[0.2266099601984024, 0.17258580029010773, 0.11562667042016983, 0.20634198188781738, 0.03225948289036751]","[-0.06939522176980972, 0.1183091253042221, -0.01164010725915432, 0.1776474267244339, -0.0483129657804966]","[-0.0004520552174653858, 0.00018876719695981592, 0.0004013270081486553, 0.00013276217214297503, -0.0004835561558138579]",,,0.0,1,"[4, 3, 1, 2]",6.075575828552246,65.00027465820312,"[-0.08873283, 0.15053774, -0.01427755, 0.22584899, -0.06199027]",0.7349333333333333,0.15137423503941644,0.0
20,"[0.0, 0.34786441922187805, 0.23712949454784393, 0.39872148633003235, 0.0162846390157938]","[-0.013058020733296871, -0.02473316714167595, -0.006582782603800297, -0.07171328365802765, -0.12416266649961472]","[0.20163871347904205, 0.15095138549804688, 0.10289936512708664, 0.1730201691389084, 0.0070665143430233]","[-0.013251837342977524, -0.024837348610162735, -0.006582191213965416, -0.07189396023750305, -0.12453072518110275]","[0.00019381025049369782, 0.00010416578879812732, -6.16366776284849e-07, 0.00018066736811306328, 0.0003680338559206575]",,,0.0,1,"[3, 1, 4, 2]",6.089962005615234,67.30850219726562,"[-0.02310242, -0.04375824, -0.01164634, -0.12687607, -0.21967019]",0.7028571428571428,0.112220421088563,0.0
