round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.0, 0.26191097497940063, 0.2689021825790405, 0.2344290167093277, 0.23475782573223114]","[-0.27829504013061523, 0.1381920874118805, 0.14188086986541748, 0.12369178980588913, 0.1238652765750885]","[-0.9825112819671631, 0.487882524728775, 0.5009056329727173, 0.43668970465660095, 0.43730220198631287]","[-0.27746737003326416, 0.13781079649925232, 0.1414235234260559, 0.12397844344377518, 0.12349142134189606]","[-0.0008276161970570683, 0.0003812806389760226, 0.00045735781895928085, -0.00028668507002294064, 0.0003738829691428691]",,,0.0,1,"[1, 4, 2, 3]",6.34710693359375,62.683685302734375,"[-0.98251128, 0.48788252, 0.50090563, 0.4366897, 0.4373022]",0.7170285714285715,0.030923493269286784,0.0
2,"[0.0, 0.2522956132888794, 0.2648422420024872, 0.24474681913852692, 0.23811529576778412]","[-0.10984006524085999, -0.016635339707136154, 0.007669266313314438, 0.06569215655326843, 0.0360846184194088]","[-0.9284696578979492, 0.4323987066745758, 0.45390185713768005, 0.4194611608982086, 0.40809565782546997]","[-0.11136060208082199, -0.01782984659075737, 0.006984531879425049, 0.0665799081325531, 0.03553949296474457]","[0.0015205275267362595, 0.0011944732395932078, 0.0006847321637906134, -0.0008877135114744306, 0.0005451317992992699]",,,0.0,1,"[1, 2, 4, 3]",6.1891632080078125,61.39069366455078,"[-0.44209534, -0.06695559, 0.03086803, 0.26440439, 0.145237]",0.6742857142857143,0.005942853309502394,0.0
3,"[0.0, 0.24921299517154694, 0.25501391291618347, 0.2590343952178955, 0.23673871159553528]","[-0.1278829276561737, 0.0363154374063015, 0.010343194007873535, 0.10803191363811493, 0.04073290154337883]","[-0.8847130537033081, 0.4030992090702057, 0.4124821126461029, 0.4189852178096771, 0.3829222023487091]","[-0.1282995194196701, 0.036472368985414505, 0.010321948677301407, 0.10820184648036957, 0.040853358805179596]","[0.0004165923164691776, -0.00015692293527536094, 2.1243908122414723e-05, -0.00016986903210636228, -0.00012048184726154432]",,,0.0,1,"[1, 2, 4, 3]",6.015444278717041,60.88880157470703,"[-0.49090382, 0.13940397, 0.03970439, 0.41470179, 0.15636127]",0.7104,0.030891316583596395,0.0
4,"[0.0, 0.2507086396217346, 0.2435135543346405, 0.27738386392593384, 0.22839388251304626]","[-0.10542653501033783, 0.025916146114468575, -0.018884794786572456, 0.085456982254982, -0.009408153593540192]","[-0.8413638472557068, 0.3738812804222107, 0.3631512522697449, 0.4136619567871094, 0.3406033217906952]","[-0.10657235980033875, 0.026069439947605133, -0.0187077559530735, 0.08585062623023987, -0.01031408179551363]","[0.0011458118679001927, -0.00015328184235841036, -0.00017699769523460418, -0.0003936607390642166, 0.0009059303556568921]",,,0.0,1,"[1, 2, 3, 4]",5.99544095993042,60.29597854614258,"[-0.45122164, 0.11092015, -0.08082622, 0.36575273, -0.04026655]",0.6812952380952382,0.015248806507660362,0.0
5,"[0.0, 0.24219268560409546, 0.2372203916311264, 0.2923947274684906, 0.2281922549009323]","[-0.16803041100502014, 0.004605351947247982, 0.013553274795413017, 0.11723294109106064, 0.038876041769981384]","[-0.808305025100708, 0.3378930687904358, 0.33095601201057434, 0.40793201327323914, 0.31836047768592834]","[-0.16878840327262878, 0.00495120557025075, 0.013609065674245358, 0.11766621470451355, 0.038538094609975815]","[0.0007579689263366163, -0.0003458470746409148, -5.5781642004149035e-05, -0.00043327693128958344, 0.0003379471891093999]",,,0.0,1,"[2, 1, 4, 3]",6.0307440757751465,60.87287902832031,"[-0.5107761, 0.01399927, 0.04119902, 0.35636276, 0.11817475]",0.6873904761904761,0.032334655493069964,0.0
6,"[0.0, 0.24952799081802368, 0.21930290758609772, 0.30303019285202026, 0.2281389683485031]","[-0.1314389407634735, 0.036333583295345306, -0.048800282180309296, 0.049847885966300964, 0.0108199967071414]","[-0.7772812843322754, 0.3178718090057373, 0.2793683111667633, 0.38602787256240845, 0.2906244993209839]","[-0.13321101665496826, 0.036958567798137665, -0.04910600930452347, 0.050003841519355774, 0.0111044617369771]","[0.001772077172063291, -0.0006249716388992965, 0.0003057291032746434, -0.00015595630975440145, -0.00028446479700505733]",,,0.0,1,"[1, 2, 4, 3]",5.965246200561523,60.6529426574707,"[-0.49806753, 0.13768049, -0.18492112, 0.18889084, 0.0410007]",0.6582095238095238,0.04828718559265355,0.0
7,"[0.0, 0.24354583024978638, 0.20028498768806458, 0.3230513036251068, 0.23311789333820343]","[-0.3116219937801361, 0.01519838348031044, -0.055840976536273956, 0.15567322075366974, 0.06643825769424438]","[-0.7732585072517395, 0.2896793782711029, 0.2382238656282425, 0.3842451572418213, 0.2772761285305023]","[-0.31367969512939453, 0.015161246061325073, -0.05580645054578781, 0.15533694624900818, 0.06676249206066132]","[0.0020577218383550644, 3.7131674616830423e-05, -3.453588578850031e-05, 0.00033626300864852965, -0.00032422642107121646]",,,0.0,1,"[1, 2, 4, 3]",5.998505592346191,60.31690216064453,"[-0.73705357, 0.03594747, -0.13207601, 0.36820093, 0.15714088]",0.6944761904761906,0.05054657329129664,0.0
8,"[0.0, 0.23813295364379883, 0.19427354633808136, 0.3371433615684509, 0.23045013844966888]","[-0.10615422576665878, -0.018798941746354103, -0.020758748054504395, 0.047319553792476654, -0.009456729516386986]","[-0.7293704152107239, 0.25478991866111755, 0.20786263048648834, 0.36072593927383423, 0.2465697079896927]","[-0.1071522980928421, -0.01859414018690586, -0.021021639928221703, 0.04772764444351196, -0.010220402851700783]","[0.000998057657852769, -0.0002048000751528889, 0.00026288884691894054, -0.0004080786311533302, 0.000763661926612258]",,,0.0,1,"[2, 1, 4, 3]",6.007616996765137,61.577674865722656,"[-0.33437762, -0.05921521, -0.06538845, 0.14905293, -0.02978797]",0.6422857142857143,0.03131192289153295,0.0
9,"[0.0, 0.23047113418579102, 0.17237317562103271, 0.36181962490081787, 0.23533610999584198]","[-0.2922632098197937, -0.0444418229162693, -0.10912203043699265, 0.1024794727563858, 0.014263876713812351]","[-0.7164045572280884, 0.22019162774085999, 0.1646849662065506, 0.34568169713020325, 0.22483961284160614]","[-0.2930094599723816, -0.04401315003633499, -0.10886389017105103, 0.10246410965919495, 0.014467965811491013]","[0.0007462206413038075, -0.0004286864714231342, -0.0002581241715233773, 1.5355906725744717e-05, -0.0002040956460405141]",,,0.0,1,"[1, 2, 3, 4]",5.993066787719727,61.498939514160156,"[-0.59971219, -0.0911928, -0.22391395, 0.2102837, 0.02926889]",0.6589714285714287,0.06530370518504713,0.0
10,"[0.0, 0.2289668172597885, 0.14783571660518646, 0.3906674385070801, 0.23253002762794495]","[-0.2076045423746109, -0.02766488306224346, -0.12620842456817627, 0.0972268134355545, -0.03397269546985626]","[-0.6835915446281433, 0.19299840927124023, 0.12461218982934952, 0.3292974531650543, 0.19600187242031097]","[-0.2099926620721817, -0.02712467685341835, -0.12730672955513, 0.09630902111530304, -0.03457409888505936]","[0.002388108754530549, -0.0005402161041274667, 0.0010982798412442207, 0.0009177724714390934, 0.0006014188402332366]",,,0.0,1,"[1, 2, 3, 4]",6.041259765625,61.604095458984375,"[-0.38827485, -0.05174058, -0.23604281, 0.1818396, -0.06353784]",0.6102095238095238,0.05253042209633019,0.0
11,"[0.0, 0.22741597890853882, 0.1257021427154541, 0.4125535190105438, 0.23432835936546326]","[-0.3031238317489624, -0.03347683697938919, -0.11570301651954651, 0.05210702866315842, -0.018978655338287354]","[-0.6655684113502502, 0.1681394726037979, 0.09293758124113083, 0.3050204813480377, 0.17325012385845184]","[-0.30424100160598755, -0.032929107546806335, -0.11536745727062225, 0.0527392216026783, -0.019155310466885567]","[0.0011171767255291343, -0.000547727569937706, -0.0003355809603817761, -0.00063220044830814, 0.00017666505300439894]",,,0.0,1,"[2, 1, 3, 4]",6.023918628692627,62.62662124633789,"[-0.50336069, -0.05559089, -0.19213386, 0.08652777, -0.03151553]",0.6232380952380953,0.06654016801229357,0.0
12,"[0.0, 0.21019497513771057, 0.10399259626865387, 0.45021387934684753, 0.2355985790491104]","[-0.2826988697052002, -0.10474683344364166, -0.12143005430698395, 0.16905565559864044, -0.008835885673761368]","[-0.6346559524536133, 0.13811840116977692, 0.06833317875862122, 0.2958340048789978, 0.15481102466583252]","[-0.2843257188796997, -0.10564497858285904, -0.12184537947177887, 0.17031413316726685, -0.009511854499578476]","[0.0016268525505438447, 0.0008981444989331067, 0.00041530761518515646, -0.001258471398614347, 0.000675972958561033]",,,0.0,1,"[1, 2, 4, 3]",6.035069465637207,63.99571990966797,"[-0.356444, -0.13207121, -0.15310644, 0.2131557, -0.01114082]",0.6197333333333332,0.0817917539120725,0.0
13,"[0.0, 0.1985350102186203, 0.08883681893348694, 0.4736315906047821, 0.23899661004543304]","[-0.3727814555168152, -0.08260561525821686, -0.08012956380844116, 0.025464940816164017, -0.023716051131486893]","[-0.6219469904899597, 0.11305925995111465, 0.05058969184756279, 0.26971784234046936, 0.13610082864761353]","[-0.3754614591598511, -0.082715705037117, -0.08035816997289658, 0.025059793144464493, -0.025040529668331146]","[0.002679988509044051, 0.00011010330490535125, 0.00022861039906274527, 0.00040513681597076356, 0.0013244390720501542]",,,0.0,1,"[2, 1, 3, 4]",6.056896686553955,64.72350311279297,"[-0.50756657, -0.112473, -0.10910169, 0.0346722, -0.03229097]",0.6168380952380952,0.0637878064117331,0.0
14,"[0.0, 0.19826911389827728, 0.057263415306806564, 0.4952501654624939, 0.24921727180480957]","[-0.3545572757720947, -0.034227482974529266, -0.14293742179870605, 0.008633946999907494, 0.001564585603773594]","[-0.6027693152427673, 0.09760064631700516, 0.028188688680529594, 0.2437935769557953, 0.12268056720495224]","[-0.3562776446342468, -0.03430907800793648, -0.14244888722896576, 0.00890612043440342, 0.000903623178601265]","[0.0017203703755512834, 8.160254947142676e-05, -0.0004885231028310955, -0.0002721852797549218, 0.0006609749398194253]",,,0.0,1,"[1, 2, 3, 4]",6.149866580963135,64.6989974975586,"[-0.43017033, -0.04152685, -0.17342032, 0.01047523, 0.00189825]",0.5916952380952382,0.04572908246666474,0.0
15,"[0.0, 0.1827438920736313, 0.07853952795267105, 0.49827033281326294, 0.24044620990753174]","[-0.5630980730056763, -0.036605991423130035, 0.12824945151805878, 0.13382551074028015, 0.011885196901857853]","[-0.5909180045127869, 0.08469251543283463, 0.03639908507466316, 0.23092301189899445, 0.11143461614847183]","[-0.564145565032959, -0.03682868182659149, 0.1289903223514557, 0.13400301337242126, 0.012146780267357826]","[0.0010475327726453543, 0.00022270130284596235, -0.000740881368983537, -0.00017755627050064504, -0.00026156220701523125]",,,0.0,1,"[2, 1, 3, 4]",6.136191368103027,68.1971664428711,"[-0.48425606, -0.03148061, 0.11029264, 0.11508797, 0.01022109]",0.6142476190476192,0.07739230539747388,0.0
