dataset,method,n_seeds,n_diverged,auc_mean,auc_std,auc_n_ok,dpd_mean,dpd_std,dpd_n_ok,eod_mean,eod_std,eod_n_ok,osc_mean,osc_std,osc_n_ok
german,bfwa,3,0,0.6591,0.0495,3,0.0973,0.0292,3,0.181,0.0436,3,0.0003,0.0001,3
german,fedavg-gat,3,0,0.7251,0.0425,3,0.1395,0.0945,3,0.1545,0.1167,3,0.0,0.0,3
german,fairshare_a0.0,3,0,0.6553,0.0414,3,0.0753,0.0352,3,0.0985,0.0591,3,0.0004,0.0001,3
german,fairshare_a0.1,3,0,0.6569,0.0505,3,0.0747,0.0407,3,0.1106,0.0638,3,0.0004,0.0002,3
german,fairshare_a1.0,3,0,0.6653,0.0378,3,0.0895,0.0415,3,0.1362,0.0507,3,0.0004,0.0002,3
bail,bfwa,3,0,0.7816,0.0226,3,0.0064,0.0044,3,0.046,0.0308,3,0.0009,0.0006,3
bail,fedavg-gat,3,0,0.7751,0.0267,3,0.019,0.0056,3,0.0314,0.0307,3,0.0,0.0,3
bail,fairshare_a0.0,3,0,0.7923,0.0205,3,0.0123,0.002,3,0.0287,0.0216,3,0.0011,0.0006,3
bail,fairshare_a0.1,3,0,0.78,0.0327,3,0.0097,0.004,3,0.0341,0.0226,3,0.0014,0.0007,3
bail,fairshare_a1.0,3,0,0.7927,0.0205,3,0.0128,0.0023,3,0.0297,0.015,3,0.0008,0.0006,3
