aggregator,attack,seed,val_source,grad_clip,alpha,auc,dpd,eod,attacker_weight_frac,atk_w_mass,atk_w_max,atk_w_zeroed_frac,fair_share,benign_zeroed_frac,benign_w_min_med,g_norm_median_med,g_norm_max_med,fallback_frac,warmup_frac,nan_round_frac,degenerate_frac
fu_shapley,none,0,pooled,10.0,0.1,0.728,0.0312,0.0113,0.0,0.0,0.0,1.0,0.0,0.05,0.0701,6.0414,6.1494,0.0,0.0,0.0,0.0
fu_shapley,none,1,pooled,10.0,0.1,0.5745,0.1168,0.264,0.0,0.0,0.0,1.0,0.0,0.1,0.1311,6.0207,6.1136,0.0,0.0,0.0,0.0
fu_shapley,none,2,pooled,10.0,0.1,0.6996,0.0694,0.1026,0.0,0.0,0.0,1.0,0.0,0.0,0.1014,6.0916,6.331,0.0,0.0,0.0,0.0
fu_shapley,sign_flip,0,pooled,10.0,0.1,0.7115,0.0434,0.0646,0.0,0.0,0.0,1.0,0.2,0.05,0.1385,6.0874,60.7896,0.0,0.0,0.0,0.0
fu_shapley,sign_flip,1,pooled,10.0,0.1,0.6198,0.0858,0.184,0.0,0.0,0.0,1.0,0.2,0.0,0.1479,6.0642,62.6658,0.0,0.0,0.0,0.0
fu_shapley,sign_flip,2,pooled,10.0,0.1,0.7138,0.0795,0.1034,0.0,0.0,0.0,1.0,0.2,0.0,0.165,6.0518,63.1384,0.0,0.0,0.0,0.0
fu_shapley,fairness_poison,0,pooled,10.0,0.1,0.7213,0.0814,0.0801,1.0,0.1201,0.2687,0.0,0.2,0.05,0.1214,6.0589,6.1596,0.0,0.0,0.0,0.0
fu_shapley,fairness_poison,1,pooled,10.0,0.1,0.6198,0.0858,0.184,0.0,0.0,0.0,1.0,0.2,0.0,0.1479,6.0642,6.3674,0.0,0.0,0.0,0.0
fu_shapley,fairness_poison,2,pooled,10.0,0.1,0.7264,0.1411,0.1838,0.45,0.047,0.2007,0.55,0.2,0.0,0.165,6.0489,6.4945,0.0,0.0,0.0,0.0
fu_shapley,scaling,0,pooled,10.0,0.1,0.6582,0.0177,0.0141,1.0,0.3599,0.4338,0.0,0.2,0.1,0.0709,21.5164,178.0747,0.0,0.0,0.05,0.0
fu_shapley,scaling,1,pooled,10.0,0.1,0.4951,0.1438,0.148,1.0,0.2835,0.3453,0.0,0.2,0.0,0.1725,15.4223,149.071,0.0,0.0,0.0,0.0
fu_shapley,scaling,2,pooled,10.0,0.1,0.6418,0.0311,0.0949,1.0,0.1926,0.2525,0.0,0.2,0.0,0.1456,12.3305,104.3145,0.0,0.0,0.0,0.0
robust_fu_shapley,none,0,pooled,10.0,0.1,0.6153,0.0069,0.0722,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0427,6.3922,0.0,0.0,0.0,0.0
robust_fu_shapley,none,1,pooled,10.0,0.1,0.5665,0.0536,0.04,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0611,6.1833,0.0,0.0,0.0,0.0
robust_fu_shapley,none,2,pooled,10.0,0.1,0.7189,0.0873,0.1453,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.032,6.3738,0.0,0.0,0.0,0.0
robust_fu_shapley,sign_flip,0,pooled,10.0,0.1,0.7124,0.0445,0.0535,0.0,0.0,0.0,1.0,0.2,0.05,0.1382,6.0857,60.7711,0.0,0.0,0.0,0.0
robust_fu_shapley,sign_flip,1,pooled,10.0,0.1,0.6248,0.0893,0.188,0.0,0.0,0.0,1.0,0.2,0.0,0.1478,6.0569,62.6651,0.0,0.0,0.0,0.0
robust_fu_shapley,sign_flip,2,pooled,10.0,0.1,0.6765,0.1133,0.2068,0.0,0.0,0.0,1.0,0.2,0.0,0.1557,6.0359,63.7561,0.0,0.0,0.0,0.0
robust_fu_shapley,fairness_poison,0,pooled,10.0,0.1,0.6657,0.0738,0.0424,0.8,0.1143,0.4106,0.2,0.2,0.85,0.0,6.1507,6.2416,0.0,0.0,0.0,0.0
robust_fu_shapley,fairness_poison,1,pooled,10.0,0.1,0.6217,0.0819,0.164,0.0,0.0,0.0,1.0,0.2,0.05,0.1478,6.0569,6.3659,0.0,0.0,0.0,0.0
robust_fu_shapley,fairness_poison,2,pooled,10.0,0.1,0.7263,0.132,0.153,0.2,0.0181,0.1813,0.8,0.2,0.4,0.0826,6.0516,6.5306,0.0,0.0,0.0,0.0
robust_fu_shapley,scaling,0,pooled,10.0,0.1,0.7155,0.0313,0.0594,0.0,0.0,0.0,1.0,0.2,0.05,0.1319,6.0854,60.8066,0.0,0.0,0.0,0.0
robust_fu_shapley,scaling,1,pooled,10.0,0.1,0.5808,0.0754,0.108,0.0,0.0,0.0,1.0,0.2,0.0,0.1495,6.037,62.4884,0.0,0.0,0.0,0.0
robust_fu_shapley,scaling,2,pooled,10.0,0.1,0.7029,0.1122,0.1761,0.0,0.0,0.0,1.0,0.2,0.0,0.1561,6.0301,63.7322,0.0,0.0,0.0,0.0
bfwa,none,0,pooled,10.0,0.1,0.687,0.0179,0.089,0.0,0.0,0.0,1.0,0.0,0.25,0.054,6.0575,6.1457,0.0,0.0,0.0,0.0
bfwa,none,1,pooled,10.0,0.1,0.5938,0.0894,0.156,0.0,0.0,0.0,1.0,0.0,0.0,0.1283,6.058,6.1447,0.0,0.0,0.0,0.0
bfwa,none,2,pooled,10.0,0.1,0.6928,0.0612,0.0855,0.0,0.0,0.0,1.0,0.0,0.0,0.1265,6.0596,6.3311,0.0,0.0,0.0,0.0
bfwa,sign_flip,0,pooled,10.0,0.1,0.7256,0.0101,0.0367,0.0,0.0,0.0,1.0,0.2,0.15,0.0634,6.1117,61.0346,0.0,0.0,0.0,0.0
bfwa,sign_flip,1,pooled,10.0,0.1,0.6347,0.084,0.112,0.0,0.0,0.0,1.0,0.2,0.05,0.1498,6.0601,62.1724,0.0,0.0,0.0,0.0
bfwa,sign_flip,2,pooled,10.0,0.1,0.7261,0.1165,0.1761,0.0,0.0,0.0,1.0,0.2,0.0,0.1584,6.0808,63.5063,0.0,0.0,0.0,0.0
bfwa,fairness_poison,0,pooled,10.0,0.1,0.7165,0.0507,0.0205,1.0,0.1106,0.2776,0.0,0.2,0.1,0.0833,6.0693,6.2166,0.0,0.0,0.0,0.0
bfwa,fairness_poison,1,pooled,10.0,0.1,0.6347,0.084,0.112,0.0,0.0,0.0,1.0,0.2,0.05,0.1498,6.0601,6.3136,0.0,0.0,0.0,0.0
bfwa,fairness_poison,2,pooled,10.0,0.1,0.7261,0.1165,0.1761,0.0,0.0,0.0,1.0,0.2,0.0,0.1584,6.0808,6.5442,0.0,0.0,0.0,0.0
bfwa,scaling,0,pooled,10.0,0.1,0.6309,0.0697,0.0686,1.0,0.3958,0.4434,0.0,0.2,0.1,0.0474,26.7295,230.2148,0.0,0.0,0.15,0.0
bfwa,scaling,1,pooled,10.0,0.1,0.5546,0.0596,0.096,1.0,0.2596,0.3285,0.0,0.2,0.0,0.1652,14.5287,119.651,0.0,0.0,0.0,0.0
bfwa,scaling,2,pooled,10.0,0.1,0.6557,0.0248,0.0359,1.0,0.2046,0.2677,0.0,0.2,0.0,0.1338,11.5862,104.842,0.0,0.0,0.0,0.0
cgsv,none,0,pooled,10.0,0.1,0.7388,0.2066,0.2161,0.0,0.0,0.0,1.0,0.0,0.0,0.1361,nan,nan,0.0,0.0,0.0,0.0
cgsv,none,1,pooled,10.0,0.1,0.667,0.0172,0.024,0.0,0.0,0.0,1.0,0.0,0.0,0.1749,nan,nan,0.0,0.0,0.0,0.0
cgsv,none,2,pooled,10.0,0.1,0.6664,0.0049,0.035,0.0,0.0,0.0,1.0,0.0,0.0,0.1494,nan,nan,0.0,0.0,0.0,0.0
cgsv,sign_flip,0,pooled,10.0,0.1,0.5028,0.0104,0.0163,1.0,0.6939,1.0,0.0,0.2,0.75,0.0,nan,nan,0.0,0.0,0.0,0.0
